,0
0,-731
1,-731
2,-731
3,-730
4,-731
5,-731
6,-731
7,-730
8,-730
9,-730
10,-731
11,-731
12,-730
13,-731
14,-730
15,-731
16,-731
17,-729
18,-731
19,-731
20,-729
21,-730
22,-731
23,-730
24,-731
25,-731
26,-730
27,-731
28,-731
29,-730
30,-730
31,-731
32,-731
33,-730
34,-731
35,-731
36,-730
37,-730
38,-731
39,-730
40,-730
41,-730
42,-731
43,-730
44,-730
45,-731
46,-731
47,-731
48,-731
49,-731
50,-731
51,-731
52,-730
53,-730
54,-731
55,-731
56,-730
57,-731
58,-730
59,-731
60,-730
61,-730
62,-730
63,-731
64,-730
65,-730
66,-730
67,-731
68,-730
69,-730
70,-731
71,-730
72,-731
73,-730
74,-730
75,-730
76,-731
77,-730
78,-730
79,-730
80,-731
81,-730
82,-730
83,-731
84,-730
85,-729
86,-730
87,-729
88,-730
89,-731
90,-731
91,-730
92,-730
93,-730
94,-730
95,-731
96,-730
97,-730
98,-731
99,-731
100,-731
