,0
0,-757
1,-757
2,-757
3,-757
4,-757
5,-756
6,-757
7,-758
8,-756
9,-756
10,-757
11,-756
12,-757
13,-757
14,-756
15,-757
16,-757
17,-757
18,-756
19,-756
20,-757
21,-757
22,-757
23,-758
24,-756
25,-757
26,-757
27,-757
28,-756
29,-756
30,-757
31,-757
32,-757
33,-757
34,-756
35,-756
36,-757
37,-756
38,-757
39,-756
40,-757
41,-756
42,-756
43,-757
44,-757
45,-757
46,-757
47,-757
48,-757
49,-756
50,-757
51,-757
52,-756
53,-756
54,-757
55,-757
56,-757
57,-756
58,-756
59,-756
60,-757
61,-757
62,-756
63,-757
64,-756
65,-756
66,-758
67,-757
68,-757
69,-757
70,-757
71,-757
72,-756
73,-756
74,-756
75,-756
76,-757
77,-757
78,-757
79,-757
80,-756
81,-757
82,-757
83,-756
84,-757
85,-757
86,-756
87,-756
88,-757
89,-757
90,-757
91,-756
92,-757
93,-756
94,-756
95,-756
96,-756
97,-756
98,-757
99,-756
100,-756
