,0
0,-731
1,-730
2,-730
3,-732
4,-731
5,-730
6,-730
7,-731
8,-731
9,-731
10,-730
11,-731
12,-731
13,-732
14,-731
15,-731
16,-731
17,-731
18,-731
19,-730
20,-731
21,-731
22,-731
23,-730
24,-730
25,-731
26,-731
27,-731
28,-732
29,-731
30,-731
31,-731
32,-731
33,-731
34,-730
35,-731
36,-731
37,-731
38,-731
39,-731
40,-731
41,-732
42,-730
43,-730
44,-731
45,-731
46,-731
47,-732
48,-731
49,-730
50,-730
51,-732
52,-731
53,-731
54,-731
55,-731
56,-731
57,-731
58,-731
59,-731
60,-730
61,-731
62,-731
63,-731
64,-730
65,-731
66,-730
67,-730
68,-731
69,-731
70,-731
71,-731
72,-730
73,-731
74,-730
75,-731
76,-731
77,-731
78,-731
79,-731
80,-730
81,-731
82,-731
83,-731
84,-731
85,-731
86,-731
87,-730
88,-730
89,-730
90,-731
91,-731
92,-731
93,-730
94,-731
95,-730
96,-732
97,-730
98,-731
99,-730
100,-730
