,0
0,-627
1,-627
2,-631
3,-631
4,-629
5,-627
6,-627
7,-632
8,-632
9,-629
10,-627
11,-627
12,-630
13,-631
14,-629
15,-627
16,-628
17,-631
18,-632
19,-629
20,-627
21,-628
22,-630
23,-631
24,-629
25,-627
26,-628
27,-631
28,-632
29,-629
30,-627
31,-627
32,-631
33,-631
34,-629
35,-627
36,-628
37,-632
38,-631
39,-629
40,-628
41,-627
42,-631
43,-631
44,-630
45,-627
46,-627
47,-631
48,-631
49,-630
50,-627
51,-628
52,-631
53,-631
54,-629
55,-626
56,-628
57,-631
58,-631
59,-630
60,-627
61,-628
62,-631
63,-631
64,-629
65,-627
66,-628
67,-630
68,-631
69,-629
70,-628
71,-628
72,-631
73,-632
74,-629
75,-627
76,-628
77,-631
78,-631
79,-629
80,-627
81,-628
82,-631
83,-631
84,-630
85,-627
86,-629
87,-631
88,-631
89,-630
90,-627
91,-628
92,-631
93,-632
94,-629
95,-627
96,-628
97,-631
98,-632
99,-631
100,-626
