,0
0,-500
1,-501
2,-500
3,-498
4,-498
5,-501
6,-503
7,-500
8,-497
9,-498
10,-500
11,-502
12,-500
13,-497
14,-499
15,-500
16,-502
17,-501
18,-498
19,-498
20,-500
21,-502
22,-501
23,-498
24,-498
25,-501
26,-502
27,-500
28,-498
29,-497
30,-500
31,-502
32,-500
33,-498
34,-497
35,-500
36,-501
37,-501
38,-498
39,-498
40,-500
41,-501
42,-501
43,-497
44,-497
45,-500
46,-501
47,-500
48,-498
49,-498
50,-499
51,-502
52,-500
53,-497
54,-497
55,-499
56,-502
57,-500
58,-498
59,-498
60,-499
61,-502
62,-500
63,-498
64,-497
65,-499
66,-502
67,-501
68,-499
69,-498
70,-499
71,-501
72,-501
73,-499
74,-497
75,-498
76,-501
77,-501
78,-499
79,-497
80,-499
81,-502
82,-501
83,-497
84,-498
85,-499
86,-502
87,-501
88,-498
89,-498
90,-499
91,-502
92,-501
93,-499
94,-497
95,-499
96,-502
97,-501
98,-498
99,-498
100,-498
101,-501
102,-501
103,-498
104,-497
105,-499
106,-501
107,-501
108,-498
109,-497
110,-500
111,-501
112,-501
113,-498
114,-497
115,-498
116,-501
117,-500
118,-498
119,-497
120,-498
121,-501
122,-501
123,-499
124,-498
125,-498
126,-501
127,-501
128,-499
129,-497
130,-498
131,-501
132,-501
133,-499
134,-497
135,-498
136,-501
137,-501
138,-499
139,-496
140,-498
141,-502
142,-501
143,-499
144,-497
145,-498
146,-500
147,-502
148,-499
149,-497
150,-498
151,-501
152,-501
153,-500
154,-497
155,-498
156,-500
157,-501
158,-500
159,-498
160,-498
161,-501
162,-501
163,-500
164,-497
165,-498
166,-501
167,-501
168,-501
169,-497
170,-498
171,-501
172,-501
173,-501
174,-497
175,-498
176,-501
177,-502
178,-500
179,-497
180,-498
181,-501
182,-502
183,-500
184,-498
185,-498
186,-500
187,-502
188,-500
189,-498
190,-498
191,-500
192,-502
193,-500
194,-497
195,-498
196,-501
197,-502
198,-500
199,-498
200,-498
201,-499
202,-503
203,-500
204,-499
205,-498
206,-500
207,-502
208,-501
209,-498
210,-498
211,-500
212,-502
213,-501
214,-497
215,-498
216,-500
217,-503
218,-501
219,-498
220,-498
221,-499
222,-501
223,-501
224,-498
225,-497
226,-500
227,-501
228,-501
229,-498
230,-498
231,-499
232,-502
233,-501
234,-498
235,-497
236,-500
237,-502
238,-501
239,-498
240,-497
241,-499
242,-502
243,-501
244,-498
245,-498
246,-498
247,-502
248,-501
249,-498
250,-497
251,-499
252,-501
253,-501
254,-499
255,-497
256,-499
257,-502
258,-501
259,-500
260,-498
261,-499
262,-502
263,-501
264,-499
265,-498
266,-499
267,-501
268,-501
269,-498
270,-497
271,-499
272,-502
273,-501
274,-499
275,-498
276,-499
277,-502
278,-501
279,-499
280,-498
281,-499
282,-502
283,-501
284,-499
285,-498
286,-499
287,-502
288,-501
289,-499
290,-497
291,-498
292,-501
293,-502
294,-499
295,-497
296,-498
297,-502
298,-501
299,-500
300,-499
301,-498
302,-501
303,-502
304,-500
305,-497
306,-498
307,-501
308,-502
309,-501
310,-497
311,-498
312,-501
313,-502
314,-500
315,-498
316,-498
317,-501
318,-502
319,-501
320,-497
321,-497
322,-501
323,-501
324,-501
325,-497
326,-498
327,-500
328,-501
329,-500
330,-497
331,-498
332,-502
333,-503
334,-501
335,-498
336,-498
337,-501
338,-502
339,-500
340,-498
341,-498
342,-500
343,-502
344,-500
345,-498
346,-498
347,-500
348,-502
349,-502
350,-498
351,-498
352,-500
353,-502
354,-500
355,-498
356,-498
357,-500
358,-502
359,-500
360,-497
361,-497
362,-500
363,-502
364,-501
365,-497
366,-498
367,-500
368,-502
369,-501
370,-498
371,-497
372,-500
373,-502
374,-501
375,-498
376,-497
377,-500
378,-501
379,-501
380,-499
381,-497
382,-500
383,-502
384,-501
385,-498
386,-497
387,-500
388,-502
389,-500
390,-498
391,-497
392,-499
393,-502
394,-501
395,-498
396,-497
397,-499
398,-503
399,-501
400,-498
401,-498
402,-499
403,-501
404,-500
405,-499
406,-497
407,-499
408,-501
409,-501
410,-498
411,-497
412,-498
413,-502
414,-501
415,-499
416,-497
417,-498
418,-501
419,-501
420,-499
421,-497
422,-498
423,-501
424,-501
425,-499
426,-498
427,-498
428,-501
429,-501
430,-498
431,-498
432,-498
433,-501
434,-501
435,-499
436,-498
437,-499
438,-500
439,-501
440,-499
441,-497
442,-498
443,-501
444,-501
445,-500
446,-497
447,-498
448,-502
449,-502
450,-499
451,-497
452,-500
453,-501
454,-501
455,-500
456,-498
457,-499
458,-501
459,-502
460,-500
461,-497
462,-498
463,-502
464,-501
465,-500
466,-498
467,-498
468,-501
469,-502
470,-500
471,-498
472,-497
473,-501
474,-501
475,-501
476,-497
477,-498
478,-501
479,-502
480,-500
481,-498
482,-498
483,-501
484,-501
485,-500
486,-497
487,-498
488,-500
489,-501
490,-499
491,-498
492,-498
493,-500
494,-502
495,-499
496,-497
497,-497
498,-500
499,-502
500,-500
501,-497
502,-498
503,-500
504,-501
505,-500
506,-498
507,-499
508,-501
509,-501
510,-502
511,-498
512,-497
513,-500
514,-502
515,-501
516,-498
517,-498
518,-498
519,-503
520,-501
521,-498
522,-497
523,-500
524,-501
525,-501
526,-499
527,-498
528,-500
529,-502
530,-501
531,-498
532,-498
533,-498
534,-502
535,-501
536,-498
537,-497
538,-500
539,-502
540,-502
541,-499
542,-497
543,-498
544,-502
545,-501
546,-499
547,-498
548,-499
549,-501
550,-501
551,-499
552,-497
553,-499
554,-502
555,-501
556,-498
557,-498
558,-499
559,-502
560,-502
561,-499
562,-498
563,-498
564,-501
565,-501
566,-499
567,-498
568,-499
569,-502
570,-502
571,-500
572,-497
573,-498
574,-502
575,-502
576,-499
577,-498
578,-500
579,-503
580,-501
581,-500
582,-498
583,-498
584,-502
585,-501
586,-499
587,-498
588,-499
589,-502
590,-502
591,-500
592,-498
593,-499
594,-501
595,-502
596,-499
597,-498
598,-499
599,-502
600,-502
601,-499
602,-498
603,-498
604,-501
605,-502
606,-500
607,-497
608,-498
609,-502
610,-501
611,-501
612,-497
613,-499
614,-502
615,-501
616,-501
617,-498
618,-498
619,-501
620,-501
621,-501
622,-498
623,-499
624,-501
625,-503
626,-501
627,-498
628,-498
629,-501
630,-503
631,-501
632,-499
633,-498
634,-500
635,-502
636,-501
637,-498
638,-498
639,-501
640,-503
641,-501
642,-497
643,-498
644,-500
645,-501
646,-501
647,-498
648,-498
649,-501
650,-503
651,-501
652,-497
653,-498
654,-501
655,-503
656,-501
657,-498
658,-498
659,-501
660,-502
661,-500
662,-498
663,-497
664,-500
665,-502
666,-500
667,-497
668,-498
669,-500
670,-502
671,-501
672,-497
673,-498
674,-501
675,-503
676,-502
677,-498
678,-498
679,-499
680,-502
681,-501
682,-498
683,-498
684,-500
685,-502
686,-501
687,-499
688,-498
689,-499
690,-502
691,-501
692,-500
693,-498
694,-498
695,-502
696,-502
697,-499
698,-498
699,-499
700,-501
701,-501
702,-499
703,-498
704,-499
705,-503
706,-502
707,-498
708,-498
709,-500
710,-503
711,-501
712,-499
713,-498
714,-499
715,-502
716,-502
717,-499
718,-498
719,-499
720,-502
721,-502
722,-500
723,-498
724,-499
725,-503
726,-502
727,-499
728,-498
729,-500
730,-502
731,-502
732,-499
733,-498
734,-499
735,-502
736,-501
737,-499
738,-498
739,-499
740,-502
741,-501
742,-500
743,-497
744,-498
745,-501
746,-500
747,-500
748,-497
749,-499
750,-501
751,-502
752,-501
753,-499
754,-499
755,-502
756,-503
757,-499
758,-498
759,-498
760,-502
761,-501
762,-500
763,-498
764,-500
765,-502
766,-502
767,-500
768,-498
769,-498
770,-502
771,-501
772,-500
773,-498
774,-499
775,-502
776,-502
777,-500
778,-498
779,-498
780,-502
781,-502
782,-500
783,-498
784,-499
785,-502
786,-502
787,-501
788,-498
789,-498
790,-501
791,-502
792,-500
793,-497
794,-498
795,-501
796,-503
797,-501
798,-498
799,-498
800,-502
801,-503
802,-501
803,-498
804,-498
805,-501
806,-502
807,-500
808,-498
809,-498
810,-501
811,-503
812,-500
813,-498
814,-499
815,-501
816,-502
817,-501
818,-498
819,-499
820,-501
821,-502
822,-501
823,-498
824,-499
825,-501
826,-503
827,-501
828,-498
829,-499
830,-501
831,-502
832,-501
833,-499
834,-498
835,-501
836,-502
837,-501
838,-498
839,-498
840,-501
841,-502
842,-501
843,-499
844,-498
845,-500
846,-502
847,-501
848,-499
849,-498
850,-501
851,-503
852,-501
853,-498
854,-498
855,-500
856,-503
857,-502
858,-499
859,-499
860,-500
861,-502
862,-501
863,-499
864,-498
865,-500
866,-502
867,-502
868,-499
869,-498
870,-500
871,-503
872,-502
873,-499
874,-497
875,-500
876,-503
877,-501
878,-499
879,-498
880,-500
881,-503
882,-501
883,-499
884,-498
885,-500
886,-502
887,-501
888,-499
889,-498
890,-500
891,-502
892,-502
893,-500
894,-498
895,-499
896,-503
897,-501
898,-499
899,-498
900,-500
901,-502
902,-501
903,-499
904,-498
905,-498
906,-503
907,-501
908,-499
909,-498
910,-499
911,-502
912,-502
913,-500
914,-497
915,-500
916,-502
917,-503
918,-499
919,-497
920,-500
921,-502
922,-502
923,-500
924,-498
925,-499
926,-502
927,-503
928,-500
929,-498
930,-499
931,-501
932,-503
933,-500
934,-498
935,-500
936,-502
937,-503
938,-500
939,-498
940,-499
941,-501
942,-501
943,-499
944,-499
945,-501
946,-501
947,-502
948,-500
949,-499
950,-499
951,-502
952,-502
953,-500
954,-498
955,-499
956,-502
957,-502
958,-500
959,-498
960,-500
961,-502
962,-502
963,-501
964,-498
965,-500
966,-502
967,-502
968,-500
969,-498
970,-499
971,-502
972,-502
973,-501
974,-498
975,-499
976,-502
977,-503
978,-501
979,-498
980,-500
981,-502
982,-502
983,-501
984,-498
985,-500
986,-502
987,-503
988,-502
989,-498
990,-499
991,-501
992,-503
993,-501
994,-499
995,-499
996,-502
997,-502
998,-501
999,-498
1000,-498
