,0
0,-743
1,-743
2,-744
3,-745
4,-746
5,-746
6,-749
7,-748
8,-747
9,-746
10,-746
11,-745
12,-746
13,-746
14,-746
15,-745
16,-745
17,-744
18,-744
19,-744
20,-744
21,-745
22,-744
23,-745
24,-746
25,-744
26,-745
27,-745
28,-744
29,-745
30,-744
31,-743
32,-741
33,-742
34,-741
35,-742
36,-743
37,-743
38,-742
39,-742
40,-743
41,-742
42,-743
43,-743
44,-744
45,-743
46,-741
47,-741
48,-740
49,-739
50,-739
51,-740
52,-741
53,-740
54,-740
55,-740
56,-742
57,-744
58,-743
59,-743
60,-744
61,-744
62,-745
63,-744
64,-743
65,-744
66,-744
67,-743
68,-742
69,-744
70,-744
71,-744
72,-744
73,-743
74,-745
75,-746
76,-744
77,-743
78,-745
79,-743
80,-744
81,-744
82,-744
83,-744
84,-744
85,-745
86,-745
87,-744
88,-743
89,-744
90,-745
91,-745
92,-743
93,-744
94,-744
95,-744
96,-745
97,-744
98,-744
99,-744
100,-745
