,0
0,-768
1,-771
2,-769
3,-767
4,-766
5,-767
6,-770
7,-769
8,-767
9,-766
10,-768
11,-770
12,-769
13,-767
14,-767
15,-768
16,-770
17,-770
18,-766
19,-766
20,-768
21,-771
22,-770
23,-768
24,-766
25,-768
26,-771
27,-770
28,-768
29,-766
30,-768
31,-771
32,-770
33,-767
34,-767
35,-767
36,-771
37,-770
38,-767
39,-767
40,-768
41,-771
42,-770
43,-768
44,-767
45,-767
46,-771
47,-770
48,-768
49,-766
50,-768
51,-772
52,-770
53,-768
54,-767
55,-768
56,-771
57,-771
58,-769
59,-767
60,-768
61,-771
62,-771
63,-769
64,-767
65,-769
66,-771
67,-771
68,-769
69,-766
70,-768
71,-770
72,-770
73,-768
74,-765
75,-767
76,-770
77,-771
78,-768
79,-766
80,-769
81,-771
82,-772
83,-769
84,-768
85,-768
86,-772
87,-771
88,-770
89,-767
90,-768
91,-771
92,-772
93,-769
94,-767
95,-768
96,-771
97,-770
98,-769
99,-767
100,-768
101,-771
102,-771
103,-770
104,-767
105,-769
106,-771
107,-772
108,-770
109,-767
110,-767
111,-771
112,-771
113,-770
114,-767
115,-767
116,-770
117,-772
118,-769
119,-767
120,-767
121,-771
122,-772
123,-770
124,-768
125,-767
126,-770
127,-772
128,-770
129,-768
130,-768
131,-770
132,-772
133,-770
134,-767
135,-768
136,-771
137,-772
138,-771
139,-768
140,-767
141,-771
142,-772
143,-771
144,-767
145,-768
146,-771
147,-771
148,-770
149,-768
150,-767
151,-770
152,-771
153,-770
154,-768
155,-768
156,-770
157,-772
158,-770
159,-768
160,-768
161,-770
162,-772
163,-770
164,-768
165,-767
166,-770
167,-771
168,-770
169,-767
170,-767
171,-769
172,-772
173,-770
174,-768
175,-768
176,-770
177,-772
178,-770
179,-768
180,-767
181,-769
182,-771
183,-771
184,-768
185,-767
186,-770
187,-771
188,-771
189,-767
190,-767
191,-770
192,-771
193,-771
194,-768
195,-767
196,-769
197,-771
198,-771
199,-768
200,-767
201,-770
202,-772
203,-771
204,-768
205,-767
206,-768
207,-771
208,-770
209,-767
210,-767
211,-768
212,-771
213,-770
214,-768
215,-767
216,-769
217,-771
218,-771
219,-769
220,-767
221,-769
222,-771
223,-770
224,-768
225,-767
226,-768
227,-772
228,-771
