,0
0,-733
1,-734
2,-733
3,-735
4,-734
5,-734
6,-734
7,-733
8,-735
9,-734
10,-734
11,-734
12,-734
13,-733
14,-733
15,-734
16,-734
17,-734
18,-734
19,-734
20,-734
21,-733
22,-734
23,-733
24,-733
25,-733
26,-734
27,-733
28,-734
29,-734
30,-734
31,-733
32,-734
33,-733
34,-734
35,-734
36,-734
37,-735
38,-733
39,-733
40,-734
41,-733
42,-733
43,-735
44,-733
45,-733
46,-734
47,-734
48,-734
49,-733
50,-735
51,-734
52,-733
53,-734
54,-733
55,-733
56,-733
57,-733
58,-733
59,-734
60,-734
61,-733
62,-734
63,-734
64,-733
65,-733
66,-733
67,-734
68,-734
69,-734
70,-733
71,-734
72,-733
73,-734
74,-734
75,-733
76,-734
77,-733
78,-733
79,-735
80,-733
81,-734
82,-734
83,-734
84,-734
85,-734
86,-733
87,-733
88,-734
89,-734
90,-734
91,-734
92,-734
93,-734
94,-733
95,-734
96,-734
97,-734
98,-733
99,-734
100,-734
