,0
0,-628
1,-631
2,-631
3,-628
4,-626
5,-627
6,-631
7,-631
8,-628
9,-626
10,-627
11,-630
12,-630
13,-628
14,-627
15,-628
16,-631
17,-631
18,-628
19,-627
20,-628
21,-630
22,-631
23,-628
24,-627
25,-628
26,-631
27,-631
28,-630
29,-627
30,-628
31,-631
32,-630
33,-628
34,-628
35,-628
36,-630
37,-631
38,-629
39,-626
40,-628
41,-631
42,-630
43,-628
44,-627
45,-627
46,-631
47,-631
48,-629
49,-627
50,-627
51,-631
52,-631
53,-629
54,-627
55,-628
56,-631
57,-631
58,-629
59,-627
60,-627
61,-631
62,-631
63,-628
64,-627
65,-628
66,-631
67,-630
68,-629
69,-626
70,-627
71,-629
72,-630
73,-629
74,-626
75,-626
76,-631
77,-631
78,-628
79,-626
80,-628
81,-631
82,-631
83,-628
84,-628
85,-628
86,-631
87,-631
88,-629
89,-627
90,-628
91,-631
92,-631
93,-629
94,-626
95,-627
96,-631
97,-632
98,-629
99,-626
100,-628
