,0
0,-497
1,-500
2,-501
3,-499
4,-498
5,-496
6,-498
7,-500
8,-499
9,-497
10,-497
11,-499
12,-502
13,-500
14,-497
15,-495
16,-497
17,-500
18,-500
19,-497
20,-497
21,-500
22,-502
23,-500
24,-498
25,-494
26,-497
27,-500
28,-499
29,-498
30,-497
31,-498
32,-501
33,-499
34,-496
35,-495
36,-497
37,-500
38,-500
39,-498
40,-497
41,-498
42,-500
43,-499
44,-498
45,-496
46,-497
47,-501
48,-501
49,-499
50,-496
51,-497
52,-500
53,-499
54,-497
55,-496
56,-498
57,-502
58,-502
59,-499
60,-496
61,-497
62,-499
63,-499
64,-498
65,-497
66,-499
67,-502
68,-501
69,-497
70,-495
71,-496
72,-500
73,-499
74,-499
75,-497
76,-499
77,-501
78,-499
79,-497
80,-495
81,-497
82,-499
83,-501
84,-499
85,-497
86,-499
87,-500
88,-499
89,-497
90,-495
91,-497
92,-500
93,-501
94,-499
95,-497
96,-496
97,-500
98,-499
99,-497
100,-495
101,-497
102,-501
103,-501
104,-499
105,-496
106,-496
107,-498
108,-499
109,-498
110,-496
111,-498
112,-500
113,-501
114,-499
115,-495
116,-496
117,-499
118,-500
119,-499
120,-497
121,-498
122,-500
123,-501
124,-499
125,-495
126,-495
127,-499
128,-501
129,-500
130,-497
131,-497
132,-499
133,-500
134,-498
135,-495
136,-496
137,-499
138,-501
139,-499
140,-496
141,-495
142,-498
143,-499
144,-497
145,-495
146,-496
147,-499
148,-501
149,-499
150,-495
151,-495
152,-498
153,-499
154,-497
155,-496
156,-496
157,-499
158,-501
159,-499
160,-495
161,-495
162,-497
163,-500
164,-498
165,-496
166,-497
167,-498
168,-500
169,-498
170,-495
171,-494
172,-497
173,-499
174,-498
175,-498
176,-497
177,-497
178,-499
179,-497
180,-495
181,-494
182,-497
183,-500
184,-499
185,-498
186,-496
187,-497
188,-499
189,-497
190,-495
191,-494
192,-498
193,-499
194,-499
195,-496
196,-495
197,-496
198,-499
199,-498
200,-496
201,-495
202,-497
203,-500
204,-499
205,-495
206,-494
207,-495
208,-498
209,-499
210,-497
211,-495
212,-497
213,-500
214,-499
215,-495
216,-494
217,-496
218,-499
219,-499
220,-496
221,-495
222,-497
223,-499
224,-498
225,-495
226,-494
227,-496
228,-499
229,-499
230,-497
231,-495
232,-496
233,-498
234,-498
235,-495
236,-494
237,-497
238,-499
239,-500
240,-497
241,-494
242,-496
243,-497
244,-498
245,-496
246,-494
247,-497
248,-499
249,-499
250,-496
251,-494
252,-495
253,-498
254,-498
255,-496
256,-495
257,-497
258,-499
259,-499
260,-496
261,-494
262,-495
263,-498
264,-499
265,-497
266,-496
267,-496
268,-498
269,-498
270,-496
271,-494
272,-495
273,-498
274,-500
275,-498
276,-496
277,-496
278,-497
279,-498
280,-495
281,-493
282,-496
283,-498
284,-500
285,-498
286,-495
287,-495
288,-497
289,-498
290,-497
291,-494
292,-496
293,-499
294,-499
295,-498
296,-495
297,-495
298,-497
299,-497
300,-497
301,-496
302,-497
303,-499
304,-499
305,-497
306,-495
307,-495
308,-497
309,-498
310,-498
311,-496
312,-495
313,-498
314,-499
315,-497
316,-494
317,-495
318,-497
319,-499
320,-498
321,-495
322,-496
323,-498
324,-499
325,-496
326,-494
327,-495
328,-498
329,-501
330,-498
331,-495
332,-494
333,-496
334,-498
335,-496
336,-494
337,-495
338,-497
339,-500
340,-498
341,-495
342,-494
343,-496
344,-498
345,-497
346,-496
347,-495
348,-498
349,-500
350,-498
351,-495
352,-494
353,-495
354,-498
355,-498
356,-496
357,-495
358,-497
359,-498
360,-498
361,-494
362,-493
363,-496
364,-498
365,-497
366,-496
367,-495
368,-496
369,-499
370,-497
371,-495
372,-495
373,-496
374,-499
375,-498
376,-495
377,-495
378,-495
379,-498
380,-496
381,-495
382,-494
383,-496
384,-498
385,-498
386,-495
387,-494
388,-496
389,-498
390,-497
391,-495
392,-494
393,-496
394,-499
395,-497
396,-495
397,-493
398,-495
399,-498
400,-498
401,-496
402,-495
403,-496
404,-498
405,-497
406,-495
407,-493
408,-494
409,-498
410,-499
411,-496
412,-494
413,-496
414,-498
415,-497
416,-494
417,-493
418,-495
419,-498
420,-498
421,-496
422,-494
423,-495
424,-496
425,-497
426,-494
427,-494
428,-496
429,-499
430,-499
431,-496
432,-494
433,-495
434,-497
435,-496
436,-495
437,-494
438,-496
439,-498
440,-498
441,-497
442,-493
443,-495
444,-496
445,-498
446,-495
447,-494
448,-495
449,-498
450,-498
451,-497
452,-493
453,-494
454,-498
455,-499
456,-497
457,-494
458,-496
459,-497
460,-497
461,-496
462,-494
463,-493
464,-497
465,-498
466,-496
467,-495
468,-494
469,-497
470,-497
471,-495
472,-493
473,-494
474,-497
475,-499
476,-497
477,-494
478,-494
479,-496
480,-497
481,-496
482,-494
483,-495
484,-498
485,-499
486,-496
487,-493
488,-494
489,-496
490,-497
491,-496
492,-494
493,-495
494,-497
495,-499
496,-496
497,-493
498,-493
499,-496
500,-498
501,-497
502,-495
503,-495
504,-497
505,-497
506,-496
507,-493
508,-493
509,-496
510,-499
511,-497
512,-494
513,-495
514,-496
515,-498
516,-496
517,-494
518,-494
519,-497
520,-500
521,-498
522,-494
523,-494
524,-496
525,-497
526,-496
527,-494
528,-494
529,-497
530,-499
531,-497
532,-494
533,-493
534,-495
535,-497
536,-497
537,-494
538,-495
539,-496
540,-498
541,-496
542,-493
543,-493
544,-495
545,-498
546,-497
547,-495
548,-495
549,-496
550,-497
551,-497
552,-493
553,-494
554,-495
555,-498
556,-497
557,-495
558,-494
559,-497
560,-497
561,-496
562,-493
563,-494
564,-496
565,-498
566,-498
567,-495
568,-494
569,-495
570,-497
571,-496
572,-493
573,-494
574,-496
575,-498
576,-497
577,-494
578,-494
579,-494
580,-498
581,-497
582,-495
583,-493
584,-496
585,-498
586,-497
587,-494
588,-493
589,-495
590,-498
591,-497
592,-495
593,-495
594,-495
595,-498
596,-496
597,-493
598,-492
599,-495
600,-498
601,-498
602,-496
603,-493
604,-495
605,-498
606,-496
607,-495
608,-493
609,-495
610,-497
611,-497
612,-495
613,-495
614,-494
615,-497
616,-497
617,-495
618,-493
619,-495
620,-498
621,-498
622,-495
623,-494
624,-495
625,-497
626,-497
627,-495
628,-494
629,-495
630,-498
631,-498
632,-494
633,-493
634,-494
635,-497
636,-497
637,-495
638,-493
639,-495
640,-497
641,-496
642,-494
643,-492
644,-494
645,-496
646,-498
647,-496
648,-493
649,-495
650,-497
651,-497
652,-495
653,-492
654,-494
655,-497
656,-498
657,-495
658,-493
659,-494
660,-496
661,-497
662,-495
663,-494
664,-495
665,-498
666,-498
667,-496
668,-493
669,-494
670,-496
671,-497
672,-495
673,-493
674,-495
675,-498
676,-498
677,-495
678,-493
679,-493
680,-496
681,-497
682,-495
683,-493
684,-494
685,-497
686,-498
687,-495
688,-492
689,-493
690,-496
691,-497
692,-496
693,-494
694,-494
695,-496
696,-498
697,-495
698,-493
699,-493
700,-496
701,-498
702,-497
703,-494
704,-495
705,-496
706,-497
707,-496
708,-493
709,-494
710,-497
711,-499
712,-497
713,-493
714,-494
715,-495
716,-497
717,-495
718,-493
719,-495
720,-497
721,-499
722,-497
723,-494
724,-494
725,-496
726,-497
727,-495
728,-493
729,-495
730,-497
731,-499
732,-495
733,-493
734,-492
735,-496
736,-498
737,-497
738,-494
739,-495
740,-497
741,-497
742,-496
743,-493
744,-493
745,-496
746,-497
747,-497
748,-494
749,-494
750,-496
751,-497
752,-494
753,-493
754,-493
755,-497
756,-498
757,-497
758,-495
759,-493
760,-496
761,-497
762,-495
763,-493
764,-494
765,-495
766,-497
767,-497
768,-494
769,-493
770,-495
771,-498
772,-497
773,-493
774,-494
775,-496
776,-497
777,-496
778,-493
779,-493
780,-495
781,-497
782,-496
783,-495
784,-493
785,-495
786,-497
787,-496
788,-493
789,-492
790,-494
791,-498
792,-496
793,-495
794,-493
795,-495
796,-497
797,-496
798,-493
799,-493
800,-496
801,-497
802,-497
803,-494
804,-494
805,-495
806,-497
807,-497
808,-493
809,-492
810,-495
811,-497
812,-496
813,-495
814,-493
815,-494
816,-496
817,-495
818,-494
819,-494
820,-498
821,-496
822,-494
823,-492
824,-494
825,-496
826,-495
827,-495
828,-493
829,-495
830,-497
831,-497
832,-494
833,-492
834,-492
835,-497
836,-496
837,-495
838,-494
839,-494
840,-496
841,-496
842,-493
843,-492
844,-494
845,-497
846,-497
847,-494
848,-494
849,-493
850,-496
851,-495
852,-493
853,-492
854,-495
855,-497
856,-498
857,-495
858,-493
859,-494
860,-497
861,-497
862,-494
863,-493
864,-496
865,-498
866,-497
867,-495
868,-493
869,-493
870,-495
871,-496
872,-494
873,-492
874,-494
875,-497
876,-496
877,-494
878,-492
879,-493
880,-497
881,-497
882,-495
883,-494
884,-494
885,-497
886,-497
887,-495
888,-492
889,-494
890,-498
891,-497
892,-496
893,-493
894,-495
895,-497
896,-497
897,-495
898,-492
899,-494
900,-497
901,-498
902,-495
903,-493
904,-494
905,-497
906,-496
907,-495
908,-492
909,-495
910,-497
911,-498
912,-495
913,-493
914,-492
915,-496
916,-497
917,-496
918,-494
919,-494
920,-497
921,-498
922,-495
923,-492
924,-493
925,-496
926,-497
927,-496
928,-493
929,-495
930,-496
931,-498
932,-496
933,-493
934,-494
935,-497
936,-498
937,-496
938,-493
939,-495
940,-496
941,-498
942,-495
943,-493
944,-494
945,-497
946,-498
947,-497
948,-494
949,-494
950,-496
951,-498
952,-495
953,-494
954,-493
955,-497
956,-498
957,-497
958,-493
959,-493
960,-496
961,-497
962,-496
963,-494
964,-494
965,-497
966,-498
967,-495
968,-493
969,-494
970,-496
971,-498
972,-497
973,-495
974,-494
975,-497
976,-497
977,-496
978,-493
979,-493
980,-497
981,-498
982,-497
983,-495
984,-494
985,-496
986,-498
987,-497
988,-494
989,-494
990,-496
991,-498
992,-496
993,-494
994,-494
995,-496
996,-497
997,-496
998,-494
999,-494
1000,-496
