,0
0,64
1,65
2,64
3,64
4,64
5,65
6,64
7,64
8,65
9,64
10,64
11,64
12,64
13,65
14,64
15,65
16,65
17,63
18,64
19,63
20,63
21,63
22,64
23,64
24,65
25,64
26,64
27,63
28,65
29,64
30,64
31,64
32,64
33,64
34,63
35,65
36,64
37,63
38,64
39,64
40,63
41,64
42,63
43,65
44,65
45,63
46,64
47,64
48,64
49,64
50,64
51,64
52,65
53,63
54,65
55,64
56,64
57,64
58,64
59,63
60,64
61,64
62,64
63,65
64,64
65,64
66,64
67,63
68,65
69,64
70,64
71,64
72,64
73,64
74,64
75,64
76,64
77,64
78,63
79,63
80,64
81,64
82,64
83,63
84,63
85,64
86,64
87,65
88,64
89,64
90,64
91,65
92,65
93,65
94,65
95,63
96,63
97,64
98,64
99,63
100,64
101,63
102,63
103,65
104,63
105,64
106,63
107,64
108,63
109,63
110,64
111,64
112,63
113,64
114,64
115,63
116,64
117,64
118,65
119,63
120,64
121,63
122,64
123,63
124,63
125,64
126,64
127,64
128,63
129,64
130,63
131,65
132,64
133,64
134,64
135,64
136,64
137,63
138,63
139,63
140,64
141,64
142,64
143,63
144,64
145,63
146,63
147,63
148,64
149,64
150,63
151,63
152,64
153,65
154,63
155,63
156,64
157,64
158,64
159,64
160,64
161,63
162,62
163,63
164,63
165,64
166,64
167,64
168,63
169,63
170,64
171,63
172,63
173,63
174,63
175,64
176,63
177,63
178,63
179,62
180,64
181,64
182,64
183,64
184,62
185,63
186,63
187,64
188,64
189,63
190,64
191,63
192,64
193,63
194,63
195,63
196,64
197,63
198,62
199,64
200,64
201,63
202,64
203,64
204,63
205,63
206,63
207,64
208,63
209,63
210,64
211,62
212,63
213,63
214,63
215,63
216,64
217,63
218,63
219,64
220,63
221,63
222,63
223,63
224,63
225,63
226,63
227,63
228,63
229,64
230,63
231,64
232,63
233,64
234,63
235,64
236,64
237,63
238,63
239,63
240,63
241,63
242,63
243,63
244,61
245,63
246,63
247,63
248,63
249,63
250,64
251,63
252,63
253,63
254,63
255,64
256,62
257,63
258,63
259,63
260,64
261,64
262,62
263,64
264,63
265,64
266,64
267,63
268,63
269,63
270,63
271,63
272,63
273,63
274,64
275,63
276,63
277,64
278,64
279,63
280,63
281,63
282,62
283,63
284,64
285,63
286,64
287,64
288,64
289,63
290,63
291,64
292,63
293,64
294,64
295,64
296,63
297,63
298,64
299,63
300,63
301,62
302,63
303,63
304,64
305,62
306,64
307,62
308,63
309,63
310,63
311,63
312,63
313,63
314,63
315,63
316,63
317,65
318,64
319,64
320,63
321,63
322,63
323,63
324,63
325,63
326,63
327,64
328,63
329,63
330,62
331,63
332,63
333,63
334,63
335,63
336,63
337,62
338,63
339,64
340,63
341,63
342,63
343,63
344,64
345,63
346,62
347,63
348,62
349,62
350,63
351,64
352,63
353,63
354,64
355,64
356,63
357,63
358,63
359,62
360,64
361,63
362,63
363,63
364,63
365,63
366,62
367,64
368,63
369,62
370,63
371,63
372,63
373,64
374,64
375,63
376,63
377,63
378,63
379,63
380,63
381,64
382,64
383,64
384,63
385,63
386,64
387,64
388,63
389,63
390,63
391,63
392,64
393,63
394,64
395,64
396,64
397,64
398,63
399,63
400,62
401,64
402,63
403,64
404,63
405,63
406,64
407,64
408,63
409,63
410,64
411,63
412,63
413,63
414,63
415,63
416,64
417,63
418,64
419,64
420,64
421,64
422,63
423,63
424,63
425,63
426,64
427,64
428,65
429,63
430,64
431,64
432,63
433,64
434,63
435,65
436,64
437,64
438,64
439,64
440,63
441,64
442,64
443,63
444,64
445,63
446,63
447,63
448,64
449,64
450,64
451,64
452,64
453,65
454,63
455,63
456,64
457,64
458,64
459,63
460,64
461,64
462,63
463,64
464,63
465,64
466,64
467,64
468,64
469,63
470,64
471,65
472,64
473,64
474,64
475,63
476,64
477,64
478,64
479,63
480,64
481,63
482,64
483,64
484,63
485,64
486,64
487,64
488,63
489,63
490,64
491,65
492,64
493,63
494,64
495,64
496,65
497,64
498,63
499,64
500,64
501,64
502,64
503,65
504,64
505,63
506,64
507,63
508,64
509,62
510,63
511,64
512,64
513,64
514,64
515,63
516,64
517,63
518,64
519,64
520,64
521,63
522,64
523,63
524,64
525,63
526,64
527,64
528,64
529,64
530,64
531,64
532,63
533,64
534,64
535,64
536,63
537,64
538,64
539,65
540,64
541,64
542,64
543,64
544,64
545,63
546,65
547,63
548,64
549,64
550,65
551,64
552,64
553,64
554,64
555,64
556,64
557,64
558,64
559,64
560,65
561,64
562,63
563,64
564,64
565,64
566,64
567,64
568,64
569,64
570,64
571,64
572,63
573,64
574,63
575,64
576,64
577,64
578,64
579,64
580,64
581,65
582,64
583,64
584,64
585,65
586,64
587,65
588,65
589,64
590,64
591,64
592,64
593,64
594,63
595,65
596,64
597,64
598,63
599,64
600,64
601,63
602,64
603,63
604,63
605,64
606,64
607,63
608,63
609,64
610,65
611,63
612,65
613,63
614,64
615,64
616,64
617,65
618,64
619,64
620,63
621,64
622,64
623,64
624,64
625,63
626,64
