,0
0,97
1,98
2,97
3,97
4,97
5,97
6,97
7,97
8,97
9,96
10,98
11,98
12,96
13,97
14,97
15,98
16,96
17,98
18,96
19,96
20,98
21,97
22,96
23,97
24,96
25,97
26,96
27,98
28,97
29,97
30,97
31,97
32,98
33,97
34,97
35,96
36,97
37,97
38,96
39,96
40,97
41,96
42,96
43,98
44,96
45,96
46,97
47,96
48,96
49,95
50,97
51,96
52,96
53,97
54,97
55,96
56,98
57,96
58,97
59,96
60,97
61,96
62,96
63,96
64,96
65,96
66,97
67,96
68,96
69,96
70,96
71,96
72,98
73,97
74,95
75,96
76,96
77,97
78,96
79,97
80,96
81,97
82,96
83,96
84,98
85,95
86,97
87,96
88,97
89,97
90,96
91,97
92,96
93,97
94,97
95,96
96,96
97,96
98,97
99,97
100,96
101,95
102,96
103,96
104,97
105,97
106,96
107,96
108,96
109,95
110,97
111,104
112,103
113,99
114,98
115,100
116,96
117,97
118,95
119,97
120,97
121,100
122,98
123,97
124,97
125,97
126,99
127,99
128,97
129,96
130,96
131,96
132,96
133,93
134,92
135,93
136,95
137,97
138,96
139,96
140,95
141,94
142,94
143,96
144,96
145,97
146,96
147,97
148,96
149,97
150,97
151,97
152,95
153,94
154,94
155,92
156,89
157,87
158,87
159,90
160,96
161,97
162,103
163,108
164,107
165,108
166,115
167,120
168,127
169,134
170,142
171,150
172,151
173,151
174,154
175,159
176,162
177,164
178,164
179,164
180,165
181,168
182,166
183,162
184,162
185,164
186,166
187,165
188,164
189,162
190,163
191,165
192,165
193,164
194,162
195,163
196,164
197,164
198,165
199,162
200,162
201,163
202,166
203,165
204,162
205,162
206,163
207,166
208,165
209,164
210,163
211,162
212,164
213,164
214,165
215,163
216,163
217,164
218,164
219,164
220,163
221,162
222,162
223,164
224,165
225,163
226,162
227,162
228,164
229,165
230,164
231,162
232,162
233,164
234,165
235,164
236,162
237,162
238,164
239,165
240,164
241,163
242,161
243,163
244,164
245,164
246,163
247,163
248,163
249,164
250,165
251,163
252,162
253,162
254,164
255,165
256,164
257,162
258,163
259,164
260,165
261,164
262,162
263,162
264,162
265,164
266,165
267,165
268,162
269,163
270,163
271,163
272,164
273,162
274,162
275,163
276,164
277,164
278,163
279,163
280,163
281,165
282,165
283,164
284,162
285,163
286,164
287,164
288,164
289,162
290,162
291,163
292,166
293,164
294,163
295,163
296,163
297,163
298,164
299,163
300,162
301,163
302,164
303,164
304,163
305,162
306,163
307,163
308,162
309,163
310,162
311,162
312,164
313,165
314,165
315,162
316,162
317,164
318,164
319,165
320,162
321,162
322,162
323,164
324,164
325,163
326,163
327,162
328,163
329,164
330,163
331,162
332,163
333,163
334,163
335,164
336,163
337,161
338,163
339,164
340,163
341,163
342,162
343,164
344,164
345,165
346,163
347,163
348,162
349,164
350,164
351,163
352,162
353,162
354,164
355,164
356,163
357,162
358,162
359,163
360,164
361,164
362,164
363,163
364,163
365,164
366,164
367,164
368,162
369,163
370,164
371,165
372,164
373,163
374,161
375,163
376,164
377,164
378,162
379,162
380,162
381,163
382,164
383,163
384,162
385,162
386,163
387,165
388,162
389,162
390,161
391,164
392,164
393,164
394,164
395,162
396,163
397,164
398,163
399,163
400,161
401,162
402,163
403,164
404,162
405,162
406,162
407,164
408,163
409,164
410,162
411,162
412,163
413,164
414,164
415,163
416,162
417,162
418,163
419,164
420,163
421,162
422,162
423,164
424,163
425,164
426,163
427,163
428,163
429,164
430,163
431,163
432,162
433,162
434,164
435,164
436,162
437,162
438,163
439,164
440,164
441,163
442,162
443,162
444,163
445,163
446,163
447,162
448,162
449,163
450,165
451,163
452,162
453,163
454,162
455,163
456,163
457,162
458,162
459,164
460,164
461,164
462,162
463,162
464,163
465,163
466,164
467,164
468,162
469,162
470,163
471,165
472,164
473,163
474,162
475,163
476,165
477,163
478,163
479,162
480,163
481,163
482,165
483,163
484,162
485,163
486,163
487,164
488,164
489,162
490,163
491,163
492,165
493,165
494,163
495,164
496,163
497,164
498,164
499,162
500,163
501,163
502,165
503,164
504,164
505,163
506,163
507,163
508,165
509,164
510,163
511,163
512,164
513,164
514,165
515,164
516,163
517,164
518,164
519,165
520,162
521,163
522,163
523,164
524,164
525,164
526,163
527,164
528,165
529,165
530,165
531,163
532,163
533,164
534,165
535,165
536,163
537,163
538,163
539,164
540,165
541,163
542,163
543,164
544,165
545,164
546,164
547,163
548,164
549,163
550,165
551,165
552,163
553,163
554,165
555,166
556,165
557,163
558,163
559,164
560,164
561,166
562,164
563,165
564,163
565,164
566,165
567,165
568,163
569,164
570,165
571,165
572,165
573,163
574,164
575,163
576,167
577,165
578,163
579,163
580,164
581,165
582,165
583,165
584,163
585,164
586,165
587,165
588,165
589,164
590,164
591,165
592,164
593,165
594,164
595,163
596,164
597,165
598,165
599,165
600,163
601,164
602,165
603,165
604,165
605,163
606,164
607,165
608,165
609,165
610,163
611,165
612,165
613,165
614,165
615,164
616,165
617,165
618,165
619,165
620,165
621,164
622,164
623,165
624,166
625,165
626,164
627,164
628,164
629,165
630,165
631,164
632,164
633,164
634,165
635,165
636,164
637,164
638,164
639,165
640,164
641,164
642,163
643,165
644,165
645,166
646,165
647,163
648,164
649,164
650,165
651,165
652,164
653,164
654,164
655,165
656,165
657,163
658,163
659,164
660,165
661,165
662,164
663,163
664,164
665,165
666,166
667,164
668,164
669,164
670,164
671,165
672,164
673,163
674,163
675,164
676,164
677,164
678,163
679,163
680,164
681,165
682,163
683,164
684,164
685,163
686,165
687,164
688,164
689,164
690,164
691,163
692,165
693,164
694,163
695,162
696,164
697,165
698,165
699,163
700,164
701,164
702,165
703,163
704,164
705,163
706,164
707,164
708,165
709,164
710,163
711,163
712,164
713,165
714,165
715,164
716,164
717,164
718,164
719,164
720,164
721,163
722,163
723,164
724,165
725,164
726,163
727,162
728,164
729,164
730,164
731,164
732,164
733,165
734,164
735,165
736,163
737,163
738,164
739,164
740,164
741,164
742,163
743,163
744,164
745,165
746,164
747,162
748,162
749,164
750,165
751,163
752,163
753,163
754,164
755,164
756,164
757,163
758,163
759,163
760,165
761,164
762,164
763,164
764,164
765,164
766,164
767,163
768,162
769,163
770,164
771,164
772,164
773,163
774,163
775,164
776,165
777,165
778,162
779,164
780,164
781,164
782,165
783,163
784,164
785,163
786,163
787,164
788,164
789,163
790,164
791,164
792,164
793,165
794,164
795,162
796,164
797,164
798,165
799,165
800,164
801,163
802,164
803,165
804,164
805,163
806,163
807,163
808,163
809,164
810,163
811,164
812,163
813,165
814,164
815,165
816,163
817,164
818,164
819,165
820,163
821,163
822,164
823,165
824,165
825,165
826,163
827,163
828,164
829,165
830,164
831,164
832,164
833,164
834,164
835,164
836,164
837,163
838,164
839,165
840,165
841,164
842,164
843,163
844,164
845,165
846,165
847,164
848,163
849,164
850,164
851,165
852,164
853,163
854,164
855,165
856,165
857,163
858,164
859,164
860,165
861,165
862,164
863,164
864,163
865,165
866,165
867,165
868,164
869,165
870,165
871,166
872,165
873,164
874,164
875,165
876,165
877,165
878,164
879,164
880,164
881,165
882,164
883,165
884,165
885,165
886,165
887,166
888,165
889,165
890,164
891,164
892,165
893,164
894,165
895,165
896,166
897,165
898,165
899,164
900,164
901,164
902,165
903,165
904,164
905,164
906,164
907,165
908,166
909,166
910,164
911,164
912,165
913,165
914,166
915,164
916,163
917,165
918,166
919,165
920,165
921,165
922,165
923,165
924,165
925,165
926,165
927,164
928,164
929,165
930,165
931,164
932,164
933,164
934,165
935,165
936,165
937,163
938,164
939,165
940,165
941,164
942,165
943,165
944,165
945,166
946,164
947,165
948,164
949,165
950,165
951,164
952,164
953,165
954,165
955,165
956,164
957,163
958,164
959,163
960,165
961,165
962,163
963,164
964,164
965,165
966,165
967,165
968,164
969,165
970,164
971,165
972,164
973,164
974,164
975,164
976,165
977,164
978,164
979,163
980,163
981,165
982,165
983,164
984,165
985,164
986,165
987,165
988,165
989,163
990,164
991,164
992,164
993,164
994,163
995,164
996,164
997,165
998,165
999,163
1000,163
