,0
0,268
1,269
2,267
3,269
4,268
5,269
6,267
7,269
8,268
9,268
10,268
11,267
12,268
13,268
14,267
15,267
16,267
17,268
18,268
19,268
20,268
21,268
22,268
23,267
24,268
25,268
26,268
27,268
28,267
29,269
30,268
31,268
32,268
33,268
34,268
35,268
36,267
37,268
38,267
39,268
40,268
41,267
42,269
43,269
44,267
45,268
46,268
47,268
48,268
49,268
50,268
51,268
52,266
53,268
54,268
55,267
56,268
57,267
58,267
59,268
60,269
61,268
62,268
63,268
64,268
65,268
66,268
67,268
68,268
69,268
70,267
71,268
72,268
73,267
74,267
75,267
76,267
77,267
78,268
79,268
80,268
81,268
82,267
83,268
84,268
85,267
86,269
87,267
88,268
89,268
90,268
91,267
92,267
93,267
94,268
95,268
96,268
97,267
98,268
99,267
100,268
101,267
102,269
103,267
104,267
105,268
106,268
107,269
108,268
109,268
110,268
111,266
112,268
113,268
114,268
115,267
116,267
117,266
118,268
119,267
120,267
121,267
122,267
123,268
124,267
125,267
126,267
127,266
128,267
129,267
130,266
131,267
132,267
133,266
134,266
135,268
136,267
137,268
138,267
139,266
140,268
141,266
142,268
143,267
144,268
145,267
146,267
147,267
148,267
149,267
150,266
151,266
152,268
153,267
154,267
155,267
156,267
157,267
158,268
159,268
160,266
161,267
162,267
163,266
164,267
165,267
166,268
167,268
168,267
169,266
170,267
171,267
172,267
173,266
174,267
175,266
176,267
177,267
178,267
179,268
180,266
181,266
182,268
183,267
184,266
185,266
186,266
187,267
188,267
189,267
190,268
191,267
192,267
193,267
194,266
195,267
196,266
197,267
198,266
199,266
200,267
201,266
202,266
203,267
204,268
205,267
206,267
207,267
208,266
209,268
210,267
211,268
212,266
213,266
214,267
215,266
216,267
217,267
218,267
219,266
220,266
221,267
222,267
223,266
224,266
225,266
226,267
227,267
228,266
229,267
230,267
231,267
232,268
233,268
234,267
235,266
236,267
237,267
238,268
239,266
240,266
241,266
242,267
243,266
244,267
245,268
246,266
247,267
248,267
249,266
250,266
251,266
252,267
253,267
254,267
255,266
256,267
257,267
258,266
259,266
260,267
261,266
262,266
263,266
264,266
265,266
266,265
267,267
268,267
269,267
270,266
271,266
272,266
273,267
274,266
275,267
276,267
277,266
278,266
279,266
280,266
281,265
282,265
283,267
284,266
285,267
286,267
287,266
288,266
289,267
290,265
291,267
292,266
293,267
294,266
295,265
296,266
297,266
298,266
299,267
300,266
301,266
302,267
303,267
304,266
305,267
306,266
307,267
308,266
309,266
310,266
311,266
312,267
313,266
314,266
315,267
316,266
317,267
318,266
319,267
320,266
321,266
322,266
323,266
324,266
325,266
326,266
327,266
328,266
329,266
330,266
331,267
332,266
333,267
334,265
335,266
336,266
337,266
338,265
339,266
340,267
341,266
342,266
343,267
344,266
345,267
346,266
347,266
348,266
349,266
350,266
351,267
352,266
353,266
354,265
355,267
356,266
357,266
358,266
359,266
360,266
361,266
362,266
363,268
364,266
365,266
366,266
367,266
368,266
369,266
370,266
371,266
372,266
373,267
374,265
375,266
376,267
377,266
378,267
379,266
380,266
381,266
382,267
383,266
384,266
385,267
386,266
387,267
388,266
389,267
390,265
391,266
392,267
393,267
394,267
395,267
396,266
397,266
398,266
399,267
400,266
401,267
402,266
403,266
404,266
405,265
406,267
407,267
408,267
409,267
410,267
411,266
412,266
413,267
414,267
415,266
416,266
417,268
418,267
419,267
420,267
421,267
422,266
423,267
424,267
425,267
426,267
427,267
428,266
429,267
430,267
431,267
432,267
433,266
434,267
435,267
436,267
437,266
438,266
439,268
440,267
441,267
442,267
443,267
444,268
445,267
446,267
447,266
448,267
449,267
450,267
451,266
452,267
453,267
454,267
455,266
456,266
457,266
458,266
459,268
460,267
461,267
462,266
463,266
464,267
465,267
466,266
467,267
468,267
469,266
470,266
471,267
472,268
473,266
474,267
475,267
476,267
477,267
478,267
479,266
480,266
481,267
482,267
483,267
484,267
485,266
486,267
487,267
488,267
489,266
490,267
491,266
492,266
493,267
494,268
495,267
496,267
497,267
498,267
499,267
500,266
501,268
502,268
503,268
504,266
505,267
506,265
507,266
508,266
509,266
510,266
511,267
512,266
513,266
514,267
515,267
516,266
517,267
518,267
519,267
520,266
521,267
522,267
523,266
524,267
525,267
526,267
527,265
528,266
529,267
530,266
531,267
532,267
533,267
534,267
535,266
536,266
537,267
538,266
539,267
540,267
541,267
542,267
543,266
544,265
545,267
546,267
547,268
548,267
549,266
550,266
551,266
552,266
553,267
554,267
555,266
556,266
557,265
558,266
559,266
560,266
561,267
562,267
563,266
564,266
565,266
566,266
567,267
568,266
569,266
570,266
571,267
572,266
573,267
574,267
575,266
576,266
577,266
578,266
579,267
580,266
581,267
582,266
583,267
584,266
585,266
586,266
587,267
588,267
589,266
590,266
591,266
592,266
593,267
594,266
595,265
596,266
597,267
598,266
599,266
600,267
601,265
602,266
603,267
604,266
605,266
606,266
607,267
608,266
609,266
610,267
611,266
612,266
613,266
614,266
615,266
616,266
617,267
618,268
619,266
620,266
621,265
622,267
623,267
624,266
625,267
626,267
627,267
628,266
629,266
630,266
631,267
632,267
633,267
634,266
635,266
636,266
637,266
638,266
639,267
640,267
641,267
642,266
643,266
644,266
645,267
646,267
647,266
648,267
649,266
650,267
651,267
652,266
653,266
654,267
655,268
656,267
657,268
658,267
659,266
660,267
661,267
662,267
663,267
664,266
665,266
666,267
667,266
668,268
669,267
670,267
671,267
672,266
673,266
674,266
675,267
676,266
677,267
678,266
679,267
680,267
681,266
682,267
683,266
684,267
685,266
686,267
687,266
688,267
689,268
690,266
691,266
692,268
693,266
694,267
695,266
696,267
697,268
698,267
699,266
700,266
701,267
702,266
703,267
704,267
705,268
706,267
707,268
708,267
709,266
710,266
711,266
712,266
713,267
714,268
715,266
716,267
717,267
718,267
719,267
720,267
721,267
722,268
723,267
724,266
725,266
726,267
727,267
728,267
729,266
730,268
731,267
732,268
733,267
734,266
735,267
736,266
737,267
738,266
739,267
740,266
741,268
742,266
743,267
744,266
745,267
746,266
747,266
748,267
749,267
750,267
751,268
752,268
753,267
754,267
755,267
756,266
757,267
758,267
759,268
760,267
761,267
762,267
763,267
764,266
765,268
766,267
767,267
768,268
769,268
770,268
771,268
772,267
773,267
774,269
775,268
776,267
