,0
0,114
1,113
2,113
3,113
4,113
5,114
6,113
7,113
8,114
9,114
10,114
11,112
12,113
13,112
14,114
15,113
16,114
17,113
18,113
19,114
20,114
21,113
22,113
23,113
24,113
25,113
26,114
27,113
28,114
29,113
30,113
31,112
32,114
33,114
34,114
35,114
36,114
37,113
38,113
39,113
40,113
41,114
42,114
43,113
44,114
45,113
46,113
47,113
48,113
49,114
50,114
51,113
52,112
53,114
54,114
55,115
56,113
57,113
58,112
59,113
60,114
61,114
62,114
63,115
64,113
65,114
66,114
67,114
68,114
69,115
70,115
71,114
72,113
73,114
74,114
75,114
76,114
77,113
78,113
79,115
80,114
81,114
82,113
83,116
84,114
85,115
86,114
87,115
88,115
89,115
90,115
91,115
92,115
93,115
94,114
95,114
96,115
97,114
98,114
99,114
100,115
101,113
102,115
103,114
104,116
105,115
106,114
107,114
108,113
109,114
110,115
111,114
112,116
113,115
114,113
115,114
116,115
117,115
118,114
119,114
120,115
121,114
122,114
123,115
124,115
125,113
126,113
127,114
128,116
129,115
130,116
131,116
132,115
133,114
134,114
135,115
136,114
137,115
138,114
139,114
140,114
141,115
142,115
143,114
144,113
145,114
146,114
147,114
148,115
149,115
150,115
151,114
152,114
153,114
154,114
155,114
156,114
157,113
158,113
159,114
160,114
161,115
162,113
163,114
164,113
165,114
166,115
167,115
168,113
169,114
170,114
171,114
172,114
173,113
174,114
175,115
176,113
177,114
178,114
179,114
180,114
181,113
182,115
183,114
184,113
185,114
186,114
187,113
188,114
189,113
190,114
191,113
192,115
193,114
194,113
195,114
196,114
197,113
198,114
199,112
200,113
201,120
202,123
203,123
204,119
205,117
206,117
207,118
208,119
209,118
210,119
211,122
212,124
213,127
214,127
215,127
216,125
217,123
218,120
219,117
220,116
221,118
222,118
223,121
224,123
225,125
226,123
227,119
228,112
229,112
230,107
231,102
232,99
233,100
234,99
235,102
236,107
237,111
238,114
239,114
240,115
241,119
242,119
243,116
244,112
245,112
246,108
247,105
248,102
249,102
250,103
251,105
252,110
253,113
254,114
255,119
256,121
257,125
258,126
259,128
260,127
261,127
262,127
263,129
264,131
265,136
266,143
267,153
268,162
269,174
270,184
271,196
272,207
273,221
274,230
275,237
276,244
277,249
278,252
279,252
280,253
281,257
282,260
283,266
284,272
285,280
286,288
287,296
288,304
289,310
290,317
291,323
292,330
293,333
294,339
295,341
296,346
297,349
298,354
299,358
300,364
301,371
302,375
303,379
304,381
305,382
306,385
307,388
308,386
309,388
310,392
311,395
312,399
313,403
314,406
315,407
316,406
317,405
318,406
319,408
320,411
321,414
322,416
323,417
324,416
325,414
326,411
327,409
328,407
329,409
330,411
331,414
332,416
333,415
334,415
335,414
336,411
337,410
338,408
339,409
340,411
341,413
342,416
343,417
344,415
345,413
346,411
347,409
348,408
349,410
350,412
351,415
352,416
353,417
354,416
355,413
356,410
357,408
358,409
359,409
360,412
361,415
362,416
