,0
0,504
1,504
2,505
3,505
4,505
5,507
6,508
7,507
8,507
9,506
10,506
11,505
12,505
13,504
14,505
15,505
16,507
17,507
18,507
19,506
20,506
21,506
22,504
23,504
24,505
25,505
26,506
27,506
28,508
29,507
30,506
31,507
32,506
33,505
34,505
35,505
36,504
37,505
38,506
39,507
40,506
41,506
42,506
43,506
44,504
45,505
46,504
47,505
48,505
49,507
50,506
51,507
52,507
53,505
54,504
55,504
56,503
57,504
58,504
59,505
60,506
61,506
62,507
63,507
64,506
65,506
66,504
67,504
68,503
69,504
70,505
71,505
72,506
73,507
74,506
75,506
76,505
77,504
78,505
79,505
80,504
81,505
82,505
83,507
84,507
85,507
86,506
87,505
88,504
89,504
90,504
91,504
92,504
93,505
94,506
95,506
96,507
97,506
98,506
99,507
100,504
101,505
102,503
103,505
104,505
105,507
106,507
107,507
108,506
109,506
110,505
111,504
112,504
113,504
114,504
115,506
116,507
117,506
118,507
119,506
120,505
121,506
122,505
123,504
124,504
125,504
126,505
127,506
128,507
129,506
130,506
131,505
132,504
133,503
134,505
135,504
136,504
137,506
138,507
139,507
140,507
141,506
142,506
143,506
144,505
145,504
146,505
147,505
148,504
149,506
150,507
151,506
152,507
153,506
154,506
155,504
156,504
157,505
158,504
159,507
160,507
161,507
162,506
163,507
164,506
165,506
166,504
167,504
168,504
169,505
170,505
171,505
172,506
173,507
174,507
175,506
176,505
177,505
178,504
179,505
180,505
181,505
182,506
183,506
184,506
185,507
186,505
187,505
188,505
189,504
190,504
191,504
192,504
193,505
194,506
195,507
196,507
197,506
198,506
199,504
200,504
201,504
202,504
203,504
204,505
205,506
206,505
207,507
208,504
209,505
210,505
211,504
212,504
213,504
214,504
215,505
216,506
217,506
218,505
219,505
220,505
221,505
222,503
223,503
224,503
225,504
226,501
227,498
228,492
229,486
230,482
231,484
232,492
233,503
234,516
235,524
236,526
237,521
238,506
239,486
240,467
241,453
242,445
243,441
244,440
245,440
246,439
247,436
248,435
249,429
250,424
251,413
252,402
253,388
254,374
255,359
256,346
257,333
258,324
259,316
260,312
261,308
262,306
263,301
264,294
265,280
266,264
267,244
268,228
269,212
270,201
271,194
272,193
273,196
274,201
275,206
276,210
277,208
278,204
279,193
280,179
281,161
282,143
283,126
284,115
285,114
286,115
287,116
288,125
289,136
290,147
291,151
292,150
293,144
294,133
295,119
296,109
297,97
298,89
299,85
300,86
301,89
302,95
303,98
304,100
305,99
306,97
307,92
308,85
309,78
310,73
311,68
312,66
313,66
314,69
315,74
316,77
317,78
318,77
319,73
320,67
321,61
322,56
323,54
324,54
325,58
326,62
327,69
328,123
329,126
330,128
331,130
332,130
333,131
334,129
335,129
336,126
337,120
338,111
339,110
340,110
341,112
342,112
343,113
344,112
345,113
346,113
347,114
348,113
349,115
350,116
351,114
352,115
353,115
354,116
355,116
356,116
357,116
358,115
359,115
360,115
361,115
362,113
363,115
364,114
365,113
366,114
367,114
368,113
369,114
370,114
371,112
372,113
373,113
374,113
375,114
376,113
377,113
378,112
379,114
380,113
381,113
382,114
383,114
384,113
385,115
386,113
387,115
388,115
389,114
390,114
391,114
392,114
393,115
394,114
395,115
396,116
397,114
398,114
399,116
400,115
401,116
402,115
403,113
404,115
405,113
406,115
407,115
408,115
409,115
410,114
411,115
412,114
413,113
414,115
415,114
416,114
417,116
418,114
419,115
420,114
421,115
422,115
423,114
424,114
425,116
426,114
427,115
428,115
429,115
430,115
431,115
432,115
433,114
434,114
435,115
436,115
437,115
438,114
439,113
440,115
441,113
442,115
443,114
444,115
445,114
446,114
447,113
448,115
449,113
450,115
451,115
452,115
453,116
454,115
455,115
456,115
457,114
458,113
459,114
460,114
461,114
462,114
463,116
464,114
465,116
466,114
467,115
468,113
469,115
470,114
471,113
472,115
473,115
474,114
475,115
476,114
477,115
478,114
479,114
480,115
481,115
482,114
483,116
484,114
485,115
486,113
487,116
488,115
489,115
490,114
491,116
492,115
493,115
494,113
495,115
496,115
497,114
498,114
499,115
500,116
501,115
502,113
503,115
504,114
505,116
506,114
507,113
508,114
509,115
510,114
511,115
512,114
513,114
514,115
515,114
516,115
517,115
518,116
519,113
520,116
521,114
522,114
523,114
524,114
525,114
526,114
527,113
528,114
529,113
530,113
531,114
532,114
533,113
534,114
535,114
536,113
537,114
538,115
539,115
540,114
541,115
542,115
543,115
544,116
545,115
546,114
547,113
548,114
549,115
550,113
551,114
552,115
553,113
554,113
555,114
556,114
557,114
558,114
559,113
560,113
561,114
562,115
563,115
564,114
565,114
566,114
567,113
568,115
569,115
570,114
571,115
572,114
573,115
574,115
575,114
576,113
577,116
578,115
579,114
580,115
581,115
582,114
583,115
584,113
585,114
586,114
587,113
588,114
589,114
590,114
591,113
592,114
593,115
594,115
595,114
596,114
597,115
598,115
599,114
600,115
601,116
602,115
603,115
604,116
605,114
606,114
