,0
0,96
1,97
2,96
3,97
4,96
5,96
6,96
7,96
8,97
9,95
10,96
11,96
12,97
13,96
14,96
15,96
16,96
17,96
18,95
19,96
20,96
21,97
22,96
23,96
24,97
25,96
26,96
27,96
28,96
29,96
30,96
31,96
32,96
33,96
34,96
35,96
36,97
37,96
38,96
39,95
40,97
41,96
42,97
43,95
44,96
45,96
46,96
47,97
48,96
49,96
50,97
51,96
52,96
53,96
54,97
55,96
56,96
57,96
58,96
59,96
60,96
61,96
62,96
63,96
64,96
65,96
66,96
67,96
68,96
69,97
70,95
71,97
72,97
73,96
74,97
75,96
76,96
77,96
78,96
79,96
80,97
81,96
82,97
83,96
84,96
85,96
86,96
87,97
88,96
89,97
90,95
91,96
92,96
93,96
94,95
95,97
96,96
97,96
98,97
99,96
100,97
101,96
102,96
103,97
104,96
105,97
106,96
107,96
108,97
109,96
110,96
111,96
112,96
113,96
114,97
115,96
116,96
117,97
118,96
119,97
120,96
121,96
122,96
123,96
124,96
125,96
126,97
127,97
128,96
129,96
130,96
131,96
132,96
133,97
134,96
135,97
136,97
137,96
138,96
139,97
140,96
141,96
142,97
143,96
144,97
145,96
146,97
147,96
148,96
149,96
150,96
151,96
152,96
153,96
154,97
155,96
156,97
157,97
158,97
159,96
160,96
161,97
162,97
163,97
164,98
165,96
166,97
167,97
168,97
169,98
170,97
171,97
172,97
173,96
174,97
175,97
176,95
177,97
178,97
179,96
180,96
181,97
182,96
183,97
184,96
185,96
186,96
187,98
188,96
189,97
190,98
191,96
192,98
193,98
194,96
195,97
196,96
197,95
198,94
199,95
200,94
201,97
202,97
203,98
204,97
205,97
206,101
207,107
208,111
209,112
210,110
211,110
212,107
213,105
214,103
215,101
216,101
217,104
218,105
219,107
220,108
221,109
222,106
223,103
224,103
225,103
226,103
227,101
228,99
229,101
230,103
231,101
232,100
233,100
234,100
235,99
236,100
237,100
238,103
239,104
240,107
241,106
242,104
243,104
244,103
245,102
246,102
247,104
248,106
249,110
250,112
251,115
252,121
253,130
254,139
255,147
256,154
257,160
258,165
259,167
260,170
261,174
262,177
263,183
264,187
265,194
266,199
267,205
268,212
269,219
270,223
271,225
272,229
273,235
274,238
275,243
276,245
277,250
278,254
279,260
280,269
281,282
282,295
283,302
284,306
285,308
286,312
287,314
288,313
289,313
290,313
291,318
292,327
293,334
294,340
295,343
296,346
297,346
298,347
299,346
300,343
301,344
302,347
303,350
304,353
305,356
306,359
307,359
308,359
309,357
310,354
311,353
312,352
313,352
314,354
315,356
316,360
317,362
318,361
319,358
320,353
321,351
322,350
323,351
324,354
325,359
326,361
327,361
328,360
329,355
330,353
331,351
332,351
333,354
334,356
335,358
336,362
337,361
338,357
339,354
340,350
341,350
342,352
343,355
344,358
345,360
346,362
347,359
348,356
349,354
350,351
351,352
352,354
353,358
354,359
355,361
356,360
357,356
358,354
359,352
360,351
361,351
362,356
363,358
364,361
365,360
366,358
367,355
368,353
369,353
370,354
371,355
372,358
373,360
374,360
375,359
376,357
377,353
378,351
379,352
380,354
381,357
382,359
383,361
384,360
385,357
386,355
387,353
388,353
389,354
390,356
391,359
392,360
393,361
394,358
395,355
396,353
397,353
398,352
399,355
400,356
401,359
402,360
403,357
404,356
405,354
406,353
407,352
408,355
409,358
410,359
411,360
412,360
413,358
414,355
415,352
416,353
417,353
418,356
419,357
420,359
421,361
422,357
423,356
424,354
425,352
426,354
427,357
428,358
429,359
430,360
431,358
432,356
433,353
434,352
435,352
436,355
437,357
438,358
439,358
440,358
441,357
442,355
443,353
444,353
445,355
446,357
447,357
448,359
449,359
450,357
451,355
452,354
453,353
454,354
455,355
456,358
457,359
458,358
459,358
460,356
461,355
462,354
463,354
464,356
465,356
466,358
467,358
468,358
469,356
470,356
471,354
472,354
473,355
474,356
475,357
476,358
477,357
478,357
479,356
480,356
481,357
482,354
483,356
484,357
485,358
486,358
487,357
488,356
489,356
490,354
491,354
492,355
493,356
494,357
495,358
496,357
497,357
498,356
499,355
500,357
501,356
502,355
503,357
504,356
505,357
506,357
507,356
508,356
509,355
510,356
511,356
512,356
513,355
514,356
515,357
516,356
517,356
518,355
519,355
520,356
521,356
522,358
523,357
524,357
525,356
526,356
527,355
528,355
529,355
530,356
531,357
532,356
533,356
534,357
535,355
536,355
537,355
538,356
539,355
540,356
541,358
542,358
543,357
544,354
545,353
546,353
547,356
548,355
549,358
550,358
551,356
552,354
553,354
554,355
555,354
556,356
557,359
558,360
559,358
560,354
561,351
562,353
563,358
564,358
565,357
566,356
567,354
568,355
569,355
570,357
571,355
572,357
573,356
574,356
575,356
576,356
577,357
578,356
579,356
580,356
581,354
582,353
583,354
584,356
585,356
586,357
587,355
588,354
589,354
590,356
591,356
592,356
593,358
594,356
595,357
596,356
597,357
598,355
599,356
600,357
601,356
602,356
603,356
604,356
605,356
606,356
607,356
608,355
609,354
610,356
611,356
612,357
613,357
614,357
615,356
616,355
617,354
618,355
619,355
620,356
621,357
622,357
623,357
624,357
625,355
626,356
627,355
628,354
629,355
630,358
631,356
632,357
633,358
634,357
635,355
636,355
637,353
638,355
639,356
640,357
641,357
642,358
643,356
644,355
645,353
646,354
647,355
648,357
649,357
650,358
651,357
652,356
653,356
654,355
655,353
656,353
657,356
658,357
659,359
660,358
661,357
662,356
663,354
664,353
665,353
666,356
667,357
668,358
669,358
670,358
671,356
672,354
673,352
674,353
675,355
676,356
677,357
678,359
679,358
680,356
681,354
682,353
683,353
684,355
685,356
686,358
687,359
688,359
689,356
690,356
691,354
692,354
693,354
694,357
695,359
696,359
697,359
698,357
699,356
700,355
701,353
702,355
703,356
704,358
705,359
706,359
707,358
708,356
709,354
710,354
711,353
712,355
713,356
714,358
715,359
716,359
717,357
718,355
719,354
720,354
721,356
722,357
723,359
724,360
725,359
726,357
727,355
728,353
729,354
730,354
731,356
732,357
733,358
734,359
735,358
736,356
737,353
738,354
739,354
740,355
741,357
742,359
743,359
744,358
745,357
746,355
747,354
748,354
749,356
750,358
751,359
752,360
753,357
754,357
755,355
756,354
757,353
758,354
759,356
760,358
761,359
762,358
763,358
764,354
765,355
766,354
767,355
768,356
769,359
770,359
771,360
772,358
773,355
774,354
775,353
776,355
777,356
778,357
779,359
780,359
781,359
782,357
783,355
784,354
785,354
786,355
787,357
788,358
789,360
790,359
791,356
792,355
793,354
794,354
795,355
796,358
797,359
798,359
799,359
800,357
801,356
802,355
803,354
804,355
805,357
806,359
807,359
808,360
809,357
810,357
811,354
812,354
813,355
814,356
815,357
816,360
817,360
818,360
819,357
820,356
821,354
822,355
823,356
824,356
825,360
826,360
827,359
828,358
829,355
830,354
831,355
832,355
833,357
834,358
835,360
836,360
837,358
838,356
839,354
840,353
841,354
842,356
843,359
844,360
845,360
846,358
847,355
848,355
849,353
850,354
851,355
852,358
853,359
854,359
855,358
856,357
857,355
858,355
859,354
860,356
861,357
862,360
863,359
864,359
865,357
866,355
867,354
868,354
869,355
870,356
871,358
872,360
873,360
874,358
875,356
876,355
877,354
878,355
879,356
880,358
881,359
882,359
883,359
884,358
885,355
886,354
887,354
888,355
889,357
890,359
891,359
892,359
893,358
894,356
895,355
896,355
897,356
898,358
899,359
900,359
901,359
902,358
903,356
904,354
905,354
906,355
907,357
908,358
909,360
910,359
911,358
912,356
913,355
914,355
915,355
916,355
917,358
918,359
919,359
920,359
921,357
922,355
923,356
924,354
925,356
926,358
927,359
928,359
929,359
930,357
931,357
932,354
933,355
934,355
935,356
936,360
937,360
938,359
939,357
940,356
941,355
942,354
943,355
944,357
945,359
946,360
947,360
948,358
949,358
950,357
951,356
952,355
953,356
954,359
955,359
956,359
957,359
958,357
959,356
960,354
961,355
962,355
963,358
964,359
965,358
966,359
967,359
968,356
969,356
970,356
971,355
972,357
973,358
974,360
975,359
976,358
977,357
978,356
979,355
980,355
981,356
982,358
983,359
984,358
985,358
986,356
987,356
988,356
989,356
990,357
991,358
992,359
993,359
994,359
995,358
996,356
997,354
998,356
999,357
1000,357
1001,359
1002,359
1003,359
1004,359
1005,356
1006,356
1007,355
1008,356
1009,357
1010,358
1011,359
1012,360
1013,359
1014,356
1015,356
1016,356
1017,355
1018,356
1019,359
1020,359
1021,360
1022,359
1023,357
1024,356
1025,356
1026,356
1027,358
1028,357
1029,359
1030,359
1031,358
1032,357
1033,356
1034,355
1035,355
1036,356
1037,357
1038,358
1039,359
1040,359
1041,357
1042,357
1043,357
1044,356
1045,357
1046,358
1047,358
1048,359
1049,359
1050,359
1051,357
1052,355
1053,357
1054,356
1055,357
1056,358
1057,359
1058,358
1059,359
1060,358
1061,357
1062,356
1063,357
1064,357
1065,358
1066,359
1067,359
1068,358
1069,356
1070,356
1071,356
1072,356
1073,356
1074,357
1075,359
1076,359
1077,359
1078,357
1079,357
1080,356
1081,356
1082,356
1083,357
1084,359
1085,360
1086,359
1087,358
1088,356
1089,356
1090,356
1091,356
1092,357
1093,358
1094,358
1095,358
1096,358
1097,358
1098,357
1099,356
1100,357
1101,358
1102,357
1103,359
1104,359
1105,359
1106,358
1107,358
1108,356
1109,356
1110,356
1111,356
1112,359
1113,358
1114,359
1115,358
1116,357
1117,357
1118,357
1119,356
1120,358
1121,358
1122,359
1123,359
1124,357
1125,357
1126,356
1127,356
1128,356
1129,357
1130,358
1131,358
1132,359
1133,358
1134,358
1135,357
1136,356
1137,356
1138,357
1139,358
1140,358
1141,359
1142,359
1143,358
1144,357
1145,356
1146,356
1147,357
1148,358
1149,357
1150,358
1151,359
1152,359
1153,358
1154,358
1155,357
1156,357
1157,357
1158,358
1159,359
1160,358
1161,357
1162,357
1163,356
1164,356
1165,358
1166,357
1167,357
1168,358
1169,358
1170,359
1171,358
1172,357
1173,358
1174,357
1175,358
1176,357
1177,359
1178,358
1179,358
1180,358
1181,357
1182,356
1183,357
1184,356
1185,358
1186,358
1187,358
