,0
0,91
1,89
2,90
3,90
4,91
5,90
6,90
7,90
8,90
9,90
10,91
11,90
12,90
13,91
14,91
15,89
16,90
17,90
18,90
19,91
20,90
21,90
22,91
23,90
24,90
25,90
26,90
27,91
28,91
29,90
30,90
31,91
32,90
33,90
34,90
35,90
36,90
37,91
38,90
39,90
40,91
41,89
42,91
43,90
44,90
45,90
46,90
47,90
48,91
49,91
50,90
51,91
52,90
53,91
54,90
55,90
56,90
57,90
58,90
59,90
60,90
61,89
62,90
63,90
64,90
65,91
66,90
67,90
68,90
69,90
70,91
71,90
72,90
73,90
74,90
75,90
76,91
77,91
78,90
79,91
80,91
81,90
82,90
83,90
84,90
85,90
86,90
87,90
88,89
89,91
90,90
91,90
92,91
93,90
94,90
95,90
96,92
97,91
98,89
99,89
100,91
101,90
102,91
103,91
104,90
105,90
106,90
107,91
108,91
109,90
110,91
111,91
112,91
113,90
114,90
115,91
116,90
117,90
118,91
119,90
120,91
121,90
122,90
123,91
124,90
125,89
126,90
127,90
128,91
129,90
130,91
131,91
132,90
133,91
134,91
135,90
136,90
137,92
138,90
139,90
140,91
141,92
142,92
143,90
144,91
145,91
146,91
147,90
148,90
149,91
150,91
151,90
152,90
153,91
154,90
155,91
156,90
157,91
158,90
159,91
160,90
161,91
162,92
163,91
164,91
165,93
166,90
167,92
168,91
169,90
170,91
171,91
172,90
173,90
174,90
175,97
176,96
177,97
178,97
179,94
180,93
181,92
182,91
183,92
184,90
185,91
186,93
187,92
188,94
189,94
190,97
191,96
192,95
193,94
194,93
195,93
196,93
197,93
198,93
199,93
200,94
201,92
202,93
203,92
204,95
205,94
206,93
207,95
208,93
209,91
210,92
211,92
212,95
213,94
214,96
215,96
216,93
217,93
218,95
219,96
220,96
221,98
222,99
223,100
224,103
225,106
226,107
227,111
228,112
229,114
230,114
231,116
232,116
233,118
234,118
235,118
236,119
237,119
238,118
239,115
240,115
241,119
242,114
243,112
244,117
245,116
246,110
247,116
248,117
249,111
250,115
251,117
252,115
253,112
254,117
255,114
256,112
257,115
258,115
259,112
260,115
261,117
262,112
263,114
264,117
265,112
266,114
267,118
268,113
269,113
270,117
271,114
272,114
273,117
274,115
275,113
276,117
277,116
278,113
279,116
280,116
281,112
282,115
283,118
284,112
285,114
286,117
287,114
288,114
289,117
290,113
291,112
292,117
293,116
294,112
295,115
296,116
297,112
298,116
299,116
300,112
301,116
302,117
303,112
304,114
305,116
306,113
307,113
308,117
309,113
310,112
311,117
312,113
313,113
314,116
315,115
316,113
317,117
318,115
319,112
320,117
321,116
322,112
323,116
324,116
325,113
326,116
327,117
328,114
329,116
330,117
331,114
332,113
333,116
334,114
335,113
336,116
337,116
338,112
339,117
340,115
341,113
342,117
343,116
344,113
345,116
346,118
347,112
348,114
349,117
350,113
351,114
352,116
353,116
354,113
355,117
356,115
357,114
358,116
359,114
360,113
361,116
362,116
363,113
364,117
365,114
366,113
367,115
368,116
369,113
370,116
371,116
372,115
373,115
374,116
375,114
376,114
377,116
378,114
379,114
380,116
381,115
382,114
383,114
384,115
385,113
386,114
387,113
388,114
389,116
390,115
391,114
392,115
393,115
394,114
395,115
396,115
397,114
398,114
399,114
400,113
401,114
402,115
403,114
404,114
405,116
406,115
407,112
408,117
409,115
410,113
411,116
412,115
413,113
414,114
415,116
416,113
417,114
418,116
419,114
420,114
421,116
422,113
423,113
424,116
425,115
426,114
427,117
428,115
429,113
430,116
431,115
432,113
433,115
434,116
435,113
436,116
437,116
438,113
439,114
440,117
441,114
442,113
443,116
444,114
445,113
446,116
447,114
448,113
449,116
450,114
451,112
452,116
453,116
454,113
