,0
0,188
1,188
2,187
3,188
4,188
5,187
6,186
7,186
8,188
9,187
10,188
11,188
12,187
13,188
14,186
15,188
16,188
17,187
18,187
19,187
20,187
21,188
22,188
23,187
24,187
25,187
26,188
27,188
28,187
29,188
30,188
31,187
32,188
33,188
34,187
35,187
36,188
37,188
38,187
39,187
40,188
41,188
42,187
43,188
44,188
45,188
46,188
47,187
48,189
49,187
50,188
51,189
52,187
53,188
54,189
55,188
56,188
57,188
58,188
59,188
60,190
61,187
62,188
63,189
64,188
65,188
66,188
67,187
68,188
69,187
70,188
71,188
72,187
73,189
74,189
75,188
76,188
77,189
78,188
79,189
80,188
81,188
82,189
83,188
84,187
85,188
86,188
87,188
88,187
89,187
90,188
91,188
92,188
93,188
94,188
95,188
96,188
97,188
98,187
99,187
100,188
101,187
102,188
103,188
104,188
105,188
106,188
107,188
108,187
109,188
110,188
111,188
112,188
113,187
114,188
115,188
116,187
117,188
118,187
119,188
120,187
121,188
122,186
123,187
124,186
125,186
126,187
127,188
128,186
129,188
130,187
131,187
132,187
133,188
134,187
135,188
136,187
137,187
138,188
139,188
140,187
141,187
142,186
143,188
144,188
145,187
146,188
147,186
148,187
149,187
150,186
151,187
152,187
153,187
154,187
155,187
156,187
157,187
158,187
159,186
160,186
161,187
162,187
163,187
164,186
165,187
166,187
167,187
168,187
169,187
170,188
171,187
172,186
173,186
174,187
175,186
176,185
177,183
178,182
179,183
180,185
181,185
182,181
183,177
184,178
185,178
186,168
187,157
188,151
189,143
190,137
191,136
192,138
193,138
194,137
195,136
196,134
197,130
198,124
199,119
200,120
201,116
202,115
203,115
204,116
205,116
206,115
207,111
208,109
209,107
210,109
211,109
212,112
213,113
214,115
215,113
216,110
217,108
218,106
219,105
220,106
221,107
222,108
223,110
224,110
225,109
226,106
227,103
228,102
229,100
230,98
231,98
232,100
233,101
234,102
235,104
236,106
237,107
238,110
239,108
240,106
241,105
242,104
243,103
244,102
245,104
246,107
247,109
248,113
249,116
250,116
251,113
252,110
253,109
254,108
255,108
256,109
257,122
258,122
259,122
260,120
261,121
262,119
263,119
264,119
265,118
266,118
267,117
268,116
269,116
270,115
271,116
272,115
273,115
274,116
275,115
276,117
277,117
278,117
279,118
280,116
281,117
282,119
283,118
284,120
285,119
286,120
287,119
288,120
289,120
290,120
291,119
292,120
293,118
294,119
295,119
296,119
297,119
298,118
299,118
300,119
301,119
302,118
303,119
304,118
305,118
306,118
307,116
308,117
309,117
310,118
311,118
312,117
313,118
314,117
315,117
316,117
317,118
318,118
319,117
320,118
321,118
322,119
323,119
324,120
325,119
326,119
327,119
328,120
329,118
330,119
331,120
332,118
333,118
334,119
335,119
336,119
337,118
338,118
339,118
340,119
341,118
342,119
343,118
344,118
345,119
346,118
347,118
348,119
349,118
350,119
351,119
352,119
353,119
354,118
355,119
356,119
357,119
358,119
359,119
360,119
361,119
362,119
363,119
364,119
365,119
366,119
367,119
368,119
369,119
370,118
371,119
372,120
373,120
374,119
375,119
376,118
377,120
378,119
379,119
380,118
381,120
382,118
383,120
384,119
385,119
386,119
387,119
388,119
389,120
390,119
391,119
392,120
393,119
394,120
395,119
396,119
397,119
398,119
399,118
400,119
401,119
402,120
403,119
404,119
405,119
406,119
407,120
408,119
409,120
410,119
411,119
412,119
413,120
414,120
415,120
416,119
417,120
418,120
419,120
420,120
421,120
422,119
423,119
424,119
425,119
426,119
427,119
428,119
429,120
430,119
431,121
432,119
433,119
434,120
435,120
436,119
437,119
438,120
439,120
440,120
441,119
442,120
443,120
444,120
445,119
446,120
447,121
448,119
449,120
450,120
451,120
452,120
453,120
454,120
455,119
456,119
457,119
458,120
459,120
460,118
461,119
462,120
463,119
464,120
465,119
466,120
467,120
468,121
469,120
470,120
471,120
472,120
473,119
474,120
475,121
476,120
477,120
478,120
479,119
480,120
481,120
482,120
483,121
484,119
485,120
486,121
487,120
488,120
489,121
490,120
491,121
492,120
493,121
494,121
495,121
496,120
497,121
498,121
499,119
500,119
501,122
502,120
503,121
504,121
505,121
506,120
507,121
508,120
509,120
510,121
511,121
512,121
513,120
514,120
515,120
516,120
517,121
518,121
519,121
520,120
521,121
522,120
523,120
524,121
525,120
526,121
527,121
528,122
