,0
0,191
1,192
2,192
3,191
4,191
5,192
6,192
7,191
8,191
9,192
10,191
11,191
12,191
13,191
14,191
15,192
16,190
17,193
18,190
19,189
20,192
21,192
22,192
23,191
24,191
25,191
26,191
27,191
28,191
29,191
30,192
31,192
32,191
33,191
34,192
35,192
36,191
37,191
38,191
39,192
40,191
41,192
42,191
43,191
44,191
45,191
46,191
47,191
48,191
49,192
50,192
51,192
52,192
53,192
54,192
55,192
56,193
57,192
58,192
59,191
60,192
61,192
62,192
63,193
64,191
65,192
66,191
67,192
68,192
69,192
70,192
71,192
72,191
73,192
74,192
75,192
76,190
77,192
78,193
79,192
80,192
81,192
82,193
83,192
84,193
85,192
86,192
87,192
88,191
89,192
90,191
91,191
92,193
93,193
94,193
95,192
96,192
97,192
98,191
99,192
100,191
101,191
102,192
103,191
104,191
105,191
106,191
107,191
108,192
109,193
110,191
111,191
112,192
113,192
114,192
115,191
116,192
117,192
118,192
119,191
120,192
121,192
122,191
123,192
124,192
125,192
126,192
127,191
128,191
129,192
130,192
131,191
132,191
133,191
134,192
135,192
136,192
137,192
138,192
139,191
140,192
141,191
142,193
143,191
144,192
145,190
146,191
147,191
148,192
149,191
150,191
151,192
152,192
153,193
154,191
155,191
156,193
157,192
158,192
159,192
160,191
161,192
162,192
163,191
164,191
165,192
166,191
167,191
168,192
169,191
170,191
171,191
172,192
173,192
174,192
175,191
176,191
177,192
178,191
179,192
180,191
181,191
182,191
183,192
184,193
185,192
186,191
187,190
188,191
189,192
190,190
191,190
192,191
193,190
194,190
195,191
196,192
197,191
198,191
199,191
200,190
201,191
202,191
203,187
204,178
205,170
206,164
207,157
208,150
209,142
210,133
211,127
212,122
213,120
214,106
215,98
216,98
217,102
218,102
219,99
220,98
221,99
222,99
223,99
224,99
225,99
226,99
227,94
228,92
229,91
230,90
231,93
232,93
233,97
234,100
235,101
236,100
237,99
238,98
239,95
240,95
241,96
242,96
243,95
244,94
245,93
246,93
247,94
248,99
249,104
250,110
251,113
252,112
253,110
254,108
255,104
256,101
257,102
258,101
259,99
260,97
261,94
262,93
263,92
264,91
265,92
266,93
267,95
268,96
269,94
270,90
271,86
272,82
273,80
274,80
275,78
276,75
277,75
278,74
279,71
280,69
281,66
282,62
283,61
284,60
285,58
286,56
287,51
288,46
289,43
290,41
291,38
292,38
293,37
294,35
