,0
0,131
1,130
2,130
3,131
4,131
5,131
6,131
7,130
8,131
9,131
10,131
11,131
12,131
13,131
14,130
15,131
16,131
17,132
18,131
19,131
20,131
21,130
22,130
23,130
24,131
25,131
26,131
27,131
28,131
29,131
30,131
31,131
32,132
33,131
34,131
35,131
36,131
37,131
38,131
39,131
40,131
41,130
42,130
43,131
44,131
45,132
46,131
47,131
48,130
49,131
50,130
51,131
52,131
53,131
54,131
55,131
56,131
57,131
58,130
59,130
60,131
61,131
62,131
63,130
64,130
65,130
66,130
67,131
68,131
69,131
70,130
71,131
72,130
73,131
74,131
75,131
76,131
77,130
78,131
79,132
80,131
81,131
82,130
83,131
84,129
85,130
86,130
87,130
88,130
89,128
90,125
91,132
92,131
93,130
94,131
95,131
96,131
97,130
98,132
99,130
100,131
101,132
102,130
103,130
104,130
105,130
106,131
107,130
108,130
109,139
110,145
111,148
112,144
113,138
114,131
115,130
116,130
117,130
118,131
119,133
120,138
121,142
122,143
123,142
124,137
125,131
126,131
127,131
128,131
129,133
130,139
131,146
132,150
133,147
134,141
135,134
136,131
137,131
138,133
139,138
140,144
141,148
142,151
143,153
144,152
145,162
146,174
147,184
148,190
149,192
150,192
151,193
152,196
153,201
154,206
155,210
156,213
157,214
158,215
159,217
160,222
161,229
162,236
163,241
164,245
165,250
166,255
167,259
168,261
169,262
170,266
171,272
172,278
173,284
174,287
175,291
176,291
177,290
178,290
179,289
180,291
181,293
182,298
183,301
184,301
185,298
186,293
187,286
188,284
189,286
190,292
191,297
192,299
193,295
194,288
195,285
196,285
197,291
198,295
199,299
200,296
201,291
202,287
203,285
204,287
205,295
206,298
207,298
208,293
209,287
210,286
211,287
212,292
213,295
214,298
215,293
216,288
217,285
218,286
219,291
220,297
221,299
222,296
223,291
224,285
225,284
226,289
227,295
228,299
229,297
230,293
231,288
232,285
233,287
234,293
235,296
236,298
237,294
238,288
239,285
240,287
241,291
242,297
243,298
244,296
245,291
246,286
247,286
248,290
249,295
250,298
251,295
252,292
253,287
254,285
255,289
256,294
257,297
258,297
259,292
260,289
261,285
262,288
263,292
264,297
265,298
266,295
267,289
268,287
269,286
270,290
271,295
272,298
273,296
274,292
275,286
276,285
277,289
278,294
279,298
280,297
281,293
282,289
283,286
284,288
285,292
286,296
287,297
288,295
289,289
290,287
291,287
292,290
293,295
294,298
295,295
296,289
297,286
298,286
299,291
300,295
301,298
302,296
303,292
304,287
305,287
306,289
307,293
308,296
309,298
310,293
311,288
312,286
313,287
314,291
315,297
316,298
317,295
318,290
319,286
320,288
321,292
322,295
323,297
324,296
325,292
326,287
327,287
328,290
329,294
330,297
331,297
332,293
333,287
334,286
335,287
336,292
337,294
338,298
339,294
340,290
341,286
342,288
343,290
344,294
345,297
346,295
347,290
348,286
349,287
350,290
351,294
352,296
353,296
354,292
355,288
356,287
357,287
358,293
359,297
360,296
361,294
362,290
363,287
364,287
365,292
366,295
367,296
368,295
369,289
370,286
371,287
372,290
373,295
374,296
375,296
376,291
377,287
378,286
379,289
380,293
381,296
382,297
383,292
384,288
385,286
386,288
387,291
388,297
389,297
390,294
391,289
392,286
393,287
394,291
395,295
396,295
397,295
398,290
399,288
400,286
401,290
402,296
403,297
404,296
405,291
406,288
407,287
408,288
409,292
410,295
411,296
412,293
413,288
414,286
415,289
416,291
417,294
418,295
419,294
420,290
421,288
422,287
423,291
424,294
425,296
426,295
427,291
428,288
429,287
430,289
431,293
432,296
433,295
434,292
435,289
436,286
437,288
438,291
439,295
440,296
441,293
442,289
443,287
444,287
445,291
446,294
447,295
448,295
449,291
450,287
451,287
452,289
453,293
454,295
455,294
456,290
457,287
458,286
459,289
460,293
461,295
462,295
463,294
464,289
465,287
466,288
467,292
468,294
469,296
470,293
471,290
472,287
473,286
474,289
475,293
476,295
477,294
478,290
479,288
480,287
481,288
482,293
483,296
484,295
485,291
486,288
487,287
488,287
489,293
490,295
491,295
492,293
493,290
494,287
495,287
496,290
497,293
498,295
499,293
500,291
501,287
502,287
503,289
504,294
505,295
506,295
507,291
508,288
509,288
510,289
511,292
512,294
513,294
514,292
515,289
516,287
517,287
518,290
519,295
520,295
521,294
522,291
523,288
524,286
525,289
526,292
527,295
528,294
529,291
530,286
531,287
532,289
533,292
534,294
535,294
536,291
537,288
538,286
539,287
540,291
541,294
542,294
543,292
544,289
545,288
546,287
547,290
548,293
549,296
550,293
551,290
552,287
553,286
554,288
555,292
556,295
557,293
558,290
559,288
560,286
561,289
562,292
563,294
564,294
565,292
566,288
567,288
568,288
569,290
570,293
571,295
572,291
573,289
574,287
575,286
576,289
577,291
578,294
579,294
580,290
581,288
582,287
583,289
584,291
585,294
586,293
587,291
588,289
589,288
590,288
591,291
592,294
593,295
594,292
595,288
596,287
597,287
598,290
599,292
600,295
601,293
602,289
603,288
604,287
605,286
606,292
607,294
608,293
609,290
610,287
611,288
612,289
613,290
614,294
615,294
616,292
617,289
618,288
619,288
620,291
621,292
622,295
623,292
624,290
625,288
626,288
627,290
628,294
629,294
630,293
631,290
632,288
633,287
