,0
0,130
1,130
2,129
3,130
4,130
5,131
6,129
7,130
8,130
9,129
10,130
11,130
12,130
13,130
14,130
15,130
16,129
17,129
18,130
19,130
20,129
21,130
22,130
23,130
24,129
25,130
26,129
27,129
28,129
29,130
30,130
31,130
32,129
33,130
34,130
35,130
36,129
37,129
38,130
39,129
40,130
41,130
42,130
43,130
44,130
45,130
46,130
47,130
48,130
49,131
50,129
51,130
52,130
53,130
54,130
55,130
56,130
57,130
58,129
59,130
60,130
61,130
62,129
63,130
64,130
65,130
66,130
67,130
68,130
69,129
70,130
71,129
72,130
73,130
74,130
75,130
76,130
77,129
78,129
79,130
80,129
81,130
82,130
83,129
84,130
85,130
86,128
87,129
88,130
89,130
90,129
91,129
92,130
93,129
94,129
95,130
96,130
97,130
98,131
99,128
100,130
101,130
102,130
103,130
104,130
105,129
106,130
107,128
108,130
109,129
110,130
111,129
112,130
113,130
114,131
115,130
116,130
117,129
118,129
119,129
120,130
121,130
122,130
123,129
124,129
125,129
126,130
127,130
128,129
129,129
130,130
131,129
132,130
133,130
134,129
135,130
136,130
137,129
138,130
139,130
140,130
141,130
142,129
143,129
144,129
145,129
146,130
147,130
148,129
149,129
150,129
151,129
152,130
153,129
154,129
155,129
156,130
157,130
158,130
159,129
160,131
161,130
162,129
163,130
164,129
165,129
166,129
167,130
168,129
169,130
170,130
171,130
172,129
173,130
174,129
175,129
176,129
177,130
178,129
179,130
180,129
181,130
182,130
183,130
184,130
185,130
186,130
187,130
188,130
189,130
190,129
191,130
192,130
193,129
194,130
195,130
196,129
197,131
198,130
199,130
200,130
201,130
202,130
203,130
204,129
205,129
206,130
207,130
208,130
209,130
210,130
211,130
212,129
213,130
214,136
215,128
216,134
217,129
218,128
219,127
220,130
221,131
222,130
223,130
224,129
225,131
226,129
227,129
228,130
229,130
230,129
231,129
232,130
233,132
234,134
235,138
236,128
237,132
238,139
239,133
240,127
241,128
242,128
243,133
244,136
245,140
246,142
247,142
248,142
249,140
250,136
251,133
252,130
253,130
254,130
255,130
256,134
257,137
258,139
259,141
260,144
261,144
262,145
263,144
264,140
265,137
266,134
267,133
268,136
269,141
270,148
271,155
272,162
273,165
274,165
275,163
276,159
277,155
278,152
279,151
280,154
281,160
282,168
283,174
284,179
285,180
286,180
287,179
288,175
289,172
290,166
291,162
292,162
293,165
294,171
295,180
296,191
297,199
298,206
299,210
300,212
301,212
302,211
303,212
304,213
305,219
306,227
307,236
308,248
309,259
310,269
311,278
312,285
313,291
314,295
315,299
316,304
317,309
318,316
319,324
320,333
321,343
322,352
323,362
324,371
325,379
326,386
327,391
328,396
329,401
330,405
331,410
332,415
333,420
334,427
335,432
336,437
337,443
338,447
339,450
340,452
341,455
342,458
343,460
344,463
345,469
346,475
347,485
348,495
349,504
350,510
351,515
352,516
353,517
354,517
355,516
356,516
357,516
358,518
359,520
360,523
361,527
362,528
363,528
364,529
365,527
366,525
367,523
368,520
369,518
370,518
371,518
372,520
373,523
374,524
375,525
376,525
377,524
378,523
379,521
380,520
381,519
382,518
383,518
384,518
385,519
386,519
387,519
388,520
389,518
390,518
391,517
392,518
393,518
394,517
395,518
396,519
397,520
398,522
399,521
400,521
401,522
402,521
403,518
404,518
405,518
406,517
407,517
408,517
409,519
410,519
411,520
412,520
413,519
414,519
415,519
416,518
417,518
418,518
419,520
420,520
421,521
422,522
423,521
424,521
425,520
426,518
427,517
428,516
429,516
430,517
431,518
432,521
433,519
434,521
435,521
436,521
437,520
438,519
439,519
440,518
441,519
442,519
443,522
444,522
445,521
446,521
447,519
448,518
449,517
450,517
451,517
452,517
453,518
454,520
455,520
456,522
457,521
458,522
459,520
460,520
461,519
462,519
463,519
464,519
465,520
466,520
467,520
468,519
469,519
470,518
471,518
472,518
473,518
474,518
475,518
476,519
477,520
478,522
479,523
480,522
481,521
482,521
483,518
484,520
485,519
486,519
487,519
488,519
489,519
490,519
491,519
492,519
493,519
494,518
495,518
496,518
497,519
498,521
499,522
500,521
501,521
502,522
503,522
504,521
505,519
506,519
507,518
508,518
509,518
510,518
511,519
512,521
513,521
514,521
515,520
516,521
517,520
518,520
519,519
520,520
521,521
522,521
523,522
524,522
525,521
526,520
527,520
528,518
529,517
530,517
531,518
532,519
533,520
534,521
535,521
536,521
537,521
538,521
539,520
540,520
541,519
542,520
543,521
544,521
545,522
546,521
547,522
548,521
549,519
550,518
551,518
552,518
553,518
554,519
555,519
556,522
557,522
558,522
559,522
560,520
561,520
562,520
563,521
564,519
565,520
566,522
567,521
568,520
569,521
570,520
571,521
572,520
573,520
574,518
575,519
576,520
577,520
578,520
579,521
580,522
581,521
582,521
583,521
584,520
585,518
586,518
587,519
588,519
589,518
590,519
591,519
592,520
593,519
594,519
595,520
596,520
597,519
598,519
599,519
600,520
601,521
602,520
603,522
604,521
605,520
606,520
607,518
608,518
609,518
610,518
611,518
612,520
613,521
614,521
615,521
616,520
617,519
618,519
619,519
620,518
621,519
622,520
623,520
624,520
625,521
626,520
627,520
628,520
629,518
630,518
631,517
632,518
633,518
634,519
635,520
636,521
637,522
638,521
639,521
640,519
641,520
642,518
643,518
644,520
645,520
646,521
647,521
648,521
649,519
650,519
651,518
652,518
653,517
654,517
655,518
656,520
657,520
658,520
659,521
660,520
661,520
662,519
663,519
664,519
665,519
666,519
667,519
668,518
669,519
670,519
671,519
672,520
673,520
674,519
675,519
676,519
677,518
678,519
679,519
680,520
681,520
682,521
683,521
684,520
685,519
686,518
687,517
688,517
689,517
690,519
691,518
692,520
693,521
694,520
695,518
696,520
697,520
698,519
699,518
700,519
701,520
702,519
703,521
704,520
705,520
706,521
707,519
708,518
709,518
710,517
711,517
712,518
713,518
714,519
715,521
716,520
717,520
718,520
719,519
720,518
721,519
722,518
723,519
724,520
725,520
726,520
727,519
728,519
729,518
730,518
731,518
732,518
733,519
734,518
735,519
736,518
737,520
738,520
739,520
740,520
741,520
742,519
743,519
744,518
745,518
746,518
747,519
748,518
749,519
750,520
751,519
752,519
753,518
754,518
755,519
756,519
757,519
758,521
759,521
760,521
761,520
762,521
763,520
764,519
765,519
766,518
767,518
768,518
769,519
770,519
771,520
772,521
773,521
774,521
775,521
776,520
777,519
778,520
779,519
780,519
781,521
782,522
783,520
784,520
785,521
786,519
787,520
788,519
789,518
790,518
791,519
792,520
793,521
794,521
795,521
796,521
797,521
798,520
799,519
800,520
801,519
802,520
803,520
804,520
805,521
806,521
807,521
808,521
809,519
810,519
811,518
812,519
813,519
814,521
815,521
816,521
817,522
818,522
819,521
820,521
821,520
822,519
823,519
824,520
825,520
826,521
827,520
828,521
829,521
830,521
831,521
832,520
833,520
834,520
835,521
836,521
837,520
838,521
839,522
840,522
841,521
842,521
843,521
844,520
845,519
846,520
847,519
848,520
849,520
850,521
851,521
852,522
853,521
854,521
855,519
856,521
857,521
858,520
859,520
860,521
861,523
862,522
863,521
864,521
865,519
866,520
867,519
868,519
869,521
870,521
871,522
872,522
873,522
874,522
875,522
876,522
877,521
878,521
879,521
880,521
881,522
882,521
883,521
884,521
885,521
886,520
887,521
888,520
889,521
890,521
891,520
892,521
893,521
894,522
895,522
896,522
897,522
898,522
899,521
900,521
901,521
902,521
903,520
904,521
905,520
906,521
907,521
908,521
909,521
910,521
911,522
912,522
913,521
914,522
915,521
916,521
917,522
918,522
919,523
920,522
921,522
922,521
923,520
924,520
925,520
926,521
927,520
