,0
0,139
1,139
2,140
3,140
4,140
5,139
6,140
7,139
8,140
9,139
10,139
11,140
12,139
13,139
14,140
15,140
16,139
17,139
18,140
19,140
20,140
21,138
22,140
23,139
24,139
25,140
26,139
27,139
28,139
29,139
30,139
31,139
32,139
33,139
34,139
35,139
36,139
37,139
38,139
39,139
40,139
41,139
42,139
43,139
44,139
45,139
46,139
47,139
48,140
49,139
50,138
51,140
52,140
53,139
54,139
55,138
56,140
57,140
58,141
59,139
60,139
61,140
62,140
63,139
64,139
65,140
66,139
67,139
68,140
69,139
70,140
71,140
72,140
73,138
74,140
75,139
76,139
77,139
78,139
79,139
80,139
81,140
82,139
83,139
84,139
85,139
86,139
87,139
88,139
89,140
90,139
91,139
92,139
93,139
94,139
95,139
96,140
97,139
98,139
99,138
100,139
101,139
102,140
103,140
104,140
105,139
106,140
107,140
108,139
109,139
110,140
111,139
112,139
113,140
114,140
115,139
116,139
117,140
118,139
119,140
120,139
121,140
122,140
123,140
124,139
125,140
126,140
127,139
128,140
129,140
130,138
131,135
132,131
133,129
134,128
135,128
136,128
137,130
138,132
139,136
140,142
141,135
142,138
143,139
144,139
145,139
146,144
147,151
148,153
149,154
150,153
151,149
152,145
153,139
154,139
155,140
156,140
157,139
158,140
159,140
160,141
161,142
162,144
163,147
164,148
165,148
166,148
167,148
168,147
169,147
170,149
171,148
172,151
173,153
174,156
175,159
176,162
177,167
178,168
179,168
180,165
181,165
182,164
183,167
184,170
185,176
186,181
187,186
188,190
189,194
190,195
191,199
192,203
193,211
194,222
195,235
196,248
197,260
198,271
199,283
200,292
201,303
202,313
203,324
204,337
205,351
206,365
207,379
208,395
209,412
210,427
211,442
212,458
213,474
214,492
215,510
216,527
217,547
218,565
219,579
220,592
221,603
222,613
223,621
224,629
225,637
226,644
227,652
228,660
229,668
230,675
231,682
232,686
233,688
234,690
235,691
236,692
237,695
238,696
239,699
240,702
241,707
242,714
243,718
244,720
245,724
246,724
247,721
248,717
249,714
250,710
251,707
252,706
253,705
254,704
255,708
256,712
257,715
258,720
259,722
260,722
261,722
262,719
263,716
264,712
265,709
266,706
267,706
268,705
269,707
270,710
271,713
272,717
273,720
274,721
275,721
276,721
277,718
278,714
279,712
280,708
281,706
282,705
283,706
284,709
285,711
286,715
