,0
0,-1995
1,5
2,5
3,5
4,6
5,7
6,-1994
7,7
8,6
9,8
10,7
11,7
12,7
13,7
14,8
15,7
16,8
17,7
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,10
30,7
31,8
32,8
33,8
34,8
35,9
36,7
37,9
38,8
39,7
40,8
41,7
42,8
43,8
44,8
45,9
46,7
47,8
48,8
49,8
50,8
51,9
52,8
53,7
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,6
68,8
69,8
70,7
71,7
72,-1993
73,-1993
74,7
75,7
76,7
77,8
78,6
79,-1993
80,7
81,6
82,6
83,5
84,7
85,-1994
86,6
87,6
88,7
89,5
90,5
91,5
92,5
93,6
94,5
95,5
96,5
97,6
98,5
99,6
100,4
101,5
102,4
103,4
104,4
105,5
106,5
107,5
108,4
109,5
110,4
111,4
112,5
113,5
114,5
115,4
116,5
117,4
118,4
119,4
120,4
121,4
122,5
123,4
124,4
125,3
126,4
127,5
128,4
129,5
130,3
131,3
132,5
133,4
134,4
135,4
136,3
137,4
138,3
139,3
140,4
141,3
142,3
143,3
144,3
145,3
146,4
147,2
148,3
149,3
150,2
151,3
152,3
153,3
154,2
155,3
156,2
157,2
158,2
159,2
160,2
161,3
162,2
163,2
164,2
165,3
166,3
167,2
168,2
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,4
184,4
185,4
186,3
187,3
188,3
189,4
190,4
191,4
192,4
193,5
194,4
195,4
196,4
197,3
198,3
199,3
200,3
201,3
202,4
203,3
204,4
205,3
206,4
207,3
208,4
209,3
210,3
211,4
212,4
213,4
214,4
215,3
216,5
217,3
218,3
219,3
220,3
221,2
222,2
223,3
224,3
225,3
226,2
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,2
235,4
236,3
237,3
238,4
239,3
240,2
241,2
242,3
243,3
244,3
245,3
246,3
247,3
248,2
249,3
250,2
