,0
0,15
1,15
2,15
3,14
4,15
5,14
6,14
7,15
8,14
9,15
10,15
11,14
12,13
13,14
14,13
15,-1986
16,-1987
17,14
18,-1986
19,14
20,-1986
21,15
22,14
23,13
24,13
25,14
26,15
27,13
28,14
29,14
30,13
31,14
32,14
33,14
34,14
35,13
36,14
37,15
38,13
39,12
40,13
41,14
42,13
43,13
44,-1986
45,14
46,13
47,13
48,13
49,-2546
50,13
51,13
52,4
53,14
54,19
55,11
56,13
57,18
58,8
59,23
60,14
61,11
62,20
63,21
64,21
65,54
66,68
67,75
68,77
69,78
70,81
71,79
72,81
73,83
74,81
75,80
76,80
77,81
78,83
79,80
80,70
81,67
82,67
83,64
84,73
85,64
86,73
87,76
88,79
89,81
90,78
91,80
92,81
93,81
94,80
95,81
96,80
97,81
98,81
99,80
100,82
101,82
102,82
103,82
104,82
105,81
106,80
107,82
108,82
109,82
110,84
111,79
112,80
113,83
114,82
115,81
116,81
117,83
118,80
119,81
120,83
121,81
122,81
123,80
124,81
125,83
126,81
127,80
128,81
129,84
130,83
131,81
132,80
133,82
134,83
135,83
136,80
137,81
138,83
139,84
140,82
141,81
142,82
143,84
144,83
145,83
146,81
147,82
148,84
149,82
150,83
151,84
152,-1917
153,82
154,83
155,84
156,84
157,83
158,82
159,83
160,85
161,83
162,83
163,83
164,85
165,83
166,82
167,85
168,84
169,84
170,83
171,85
172,85
173,84
174,83
175,84
176,86
177,85
178,85
179,84
180,85
181,86
182,86
183,85
184,84
185,86
186,87
187,85
188,86
189,86
190,-1914
191,85
192,86
193,86
194,87
195,87
196,85
197,87
198,87
199,-1912
200,87
201,87
202,85
203,88
204,87
205,86
206,87
207,88
208,88
209,-1914
210,86
211,88
212,88
213,87
214,87
215,87
216,87
217,88
218,88
219,88
220,86
221,88
222,87
223,87
224,87
225,87
226,88
227,88
228,87
229,87
230,88
231,87
232,86
233,86
234,87
235,86
236,87
237,86
238,87
239,88
240,86
241,86
242,87
243,87
244,87
245,88
246,87
247,87
248,88
249,88
250,87
