,0
0,-1715
1,283
2,283
3,285
4,287
5,284
6,282
7,286
8,285
9,283
10,286
11,285
12,281
13,284
14,285
15,283
16,282
17,285
18,282
19,283
20,285
21,281
22,282
23,284
24,-1718
25,281
26,284
27,280
28,281
29,-1716
30,280
31,280
32,284
33,-1720
34,280
35,282
36,280
37,279
38,283
39,279
40,279
41,282
42,278
43,278
44,281
45,277
46,278
47,-1719
48,-1723
49,278
50,280
51,277
52,276
53,280
54,279
55,277
56,279
57,278
58,276
59,279
60,278
61,277
62,278
63,277
64,275
65,278
66,278
67,277
68,277
69,278
70,275
71,278
72,277
73,276
74,277
75,277
76,277
77,277
78,279
79,277
80,276
81,278
82,279
83,276
84,279
85,278
86,277
87,280
88,280
89,277
90,279
91,279
92,278
93,279
94,280
95,279
96,278
97,278
98,281
99,278
100,279
101,280
102,279
103,280
104,281
105,280
106,279
107,281
108,280
109,278
110,281
111,281
112,279
113,281
114,281
115,279
116,282
117,280
118,280
119,281
120,282
121,282
122,280
123,281
124,281
125,279
126,282
127,281
128,281
129,282
130,283
131,282
132,282
133,281
134,283
135,281
136,281
137,282
138,282
139,281
140,282
141,283
142,281
143,283
144,282
145,282
146,282
147,284
148,283
149,281
150,282
151,282
152,282
153,283
154,283
155,283
156,284
157,284
158,282
159,283
160,284
161,283
162,283
163,284
164,283
165,283
166,284
167,282
168,284
169,284
170,283
171,283
172,284
173,283
174,283
175,284
176,283
177,285
178,284
179,284
180,283
181,284
182,284
183,284
184,284
185,283
186,283
187,284
188,283
189,283
190,284
191,283
192,284
193,284
194,283
195,284
196,284
197,283
198,284
199,284
200,284
201,284
202,285
203,284
204,284
205,285
206,284
207,284
208,285
209,284
210,284
211,284
212,284
213,284
214,285
215,285
216,284
217,284
218,285
219,284
220,285
221,285
222,284
223,285
224,285
225,285
226,286
227,285
228,284
229,-1716
230,284
231,285
232,285
233,285
234,284
235,284
236,286
237,284
238,285
239,286
240,285
241,285
242,287
243,283
244,282
245,285
246,286
247,281
248,285
249,289
250,284
