,0
0,19
1,18
2,19
3,20
4,19
5,18
6,18
7,19
8,19
9,19
10,18
11,19
12,19
13,19
14,18
15,20
16,19
17,19
18,20
19,19
20,20
21,18
22,20
23,19
24,19
25,19
26,19
27,19
28,19
29,20
30,19
31,20
32,19
33,19
34,20
35,19
36,19
37,20
38,19
39,19
40,20
41,20
42,20
43,20
44,20
45,20
46,20
47,19
48,20
49,19
50,19
51,20
52,20
53,20
54,19
55,20
56,19
57,20
58,21
59,20
60,20
61,20
62,20
63,20
64,19
65,20
66,20
67,21
68,20
69,20
70,20
71,20
72,20
73,20
74,21
75,20
76,21
77,20
78,20
79,20
80,21
81,20
82,20
83,22
84,20
85,21
86,21
87,20
88,20
89,20
90,21
91,21
92,21
93,20
94,20
95,21
96,20
97,20
98,20
99,20
100,21
101,21
102,20
103,21
104,20
105,20
106,21
107,20
108,21
109,21
110,21
111,21
112,21
113,22
114,21
115,21
116,21
117,21
118,21
119,21
120,21
121,21
122,21
123,22
124,21
125,20
126,21
127,21
128,21
129,21
130,22
131,21
132,21
133,21
134,21
135,20
136,21
137,20
138,20
139,21
140,21
141,22
142,21
143,20
144,21
145,21
146,21
147,21
148,22
149,21
150,22
151,21
152,21
153,21
154,21
155,22
156,22
157,21
158,21
159,22
160,21
161,21
162,22
163,22
164,22
165,22
166,21
167,22
168,22
169,22
170,21
171,22
172,21
173,22
174,22
175,22
176,22
177,22
178,22
179,21
180,21
181,23
182,21
183,22
184,22
185,21
186,22
187,21
188,22
189,22
190,22
191,22
192,22
193,22
194,23
195,21
196,22
197,22
198,22
199,22
200,23
201,22
202,22
203,23
204,22
205,22
206,22
207,22
208,22
209,22
210,23
211,22
212,23
213,22
214,21
215,22
216,22
217,22
218,22
219,21
220,23
221,22
222,22
223,22
224,23
225,22
226,23
227,23
228,22
229,22
230,23
231,22
232,23
233,22
234,22
235,23
236,23
237,22
238,22
239,22
240,23
241,22
242,23
243,22
244,22
245,23
246,23
247,23
248,22
249,23
250,22
251,23
252,23
253,23
254,23
255,23
256,22
257,23
258,22
259,24
260,23
261,23
262,22
263,23
264,23
265,23
266,23
267,23
268,23
269,23
270,23
271,23
272,23
273,23
274,23
275,23
276,23
277,22
278,22
279,23
280,23
281,23
282,22
283,23
284,24
285,24
286,25
287,23
288,23
289,22
290,23
291,23
292,23
293,23
294,23
295,23
296,23
297,23
298,23
299,23
300,23
301,23
302,23
303,24
304,22
305,22
306,22
307,24
308,23
309,23
310,23
311,23
312,24
313,24
314,23
315,24
316,23
317,23
318,24
319,24
320,24
321,24
322,23
323,23
324,23
325,23
326,24
327,23
328,23
329,23
330,24
331,22
332,23
333,23
334,24
335,23
336,23
337,23
338,24
339,24
340,24
341,26
342,24
343,24
344,25
345,25
346,23
347,24
348,24
349,24
350,24
351,24
352,23
353,24
354,23
355,23
356,23
357,23
358,23
359,24
360,23
361,24
362,24
363,23
364,23
365,24
366,23
367,24
368,23
369,24
370,24
371,25
372,24
373,25
374,25
375,24
376,24
377,24
378,24
379,25
380,24
381,25
382,24
383,25
384,25
385,25
386,25
387,24
388,25
389,25
390,24
391,24
392,24
393,24
394,24
395,24
396,24
397,24
398,23
399,24
400,25
401,23
402,24
403,24
404,24
405,25
406,24
407,24
408,25
409,23
410,24
411,25
412,24
413,24
414,26
415,25
416,24
417,25
418,25
419,25
420,25
421,25
422,25
423,25
424,25
425,24
426,25
427,24
428,25
429,23
430,25
431,24
432,24
433,24
434,25
435,24
436,24
437,24
438,25
439,25
440,25
441,25
442,25
443,26
444,25
445,25
446,25
447,25
448,26
449,25
450,25
451,26
452,24
453,24
454,25
455,25
456,25
457,24
458,24
459,25
460,25
461,24
462,24
463,24
464,24
465,24
466,23
467,24
468,24
469,25
470,26
471,25
472,24
473,25
474,25
475,25
476,25
477,26
478,25
479,25
480,25
481,26
482,26
483,26
484,25
485,26
486,25
487,25
488,26
489,26
490,25
491,25
492,25
493,24
494,25
495,24
496,25
497,25
498,25
499,24
500,25
501,25
502,25
503,25
504,26
505,25
506,25
507,25
508,26
509,26
510,25
511,26
512,25
513,27
514,26
515,26
516,25
517,26
518,26
519,26
520,25
521,25
522,25
523,25
524,26
525,25
526,25
527,25
528,26
529,25
530,26
531,25
532,26
533,25
534,25
535,25
536,26
537,25
538,25
539,26
540,26
541,26
542,26
543,25
544,26
545,25
546,26
547,27
548,25
549,26
550,26
551,25
552,25
553,26
554,26
555,26
556,26
557,25
558,26
559,26
560,26
561,26
562,25
563,26
564,25
565,25
566,26
567,26
568,25
569,26
570,26
571,26
572,26
573,26
574,25
575,25
576,26
577,26
578,26
579,26
580,26
581,26
582,26
583,26
584,26
585,26
586,25
587,24
588,26
589,25
590,25
591,26
592,25
593,25
594,26
595,25
596,25
597,27
598,25
599,26
600,26
601,25
602,25
603,26
604,26
605,26
606,26
607,26
608,26
609,26
610,26
611,26
612,26
613,25
614,26
615,26
616,26
617,26
618,26
619,26
620,25
621,26
622,26
623,26
624,26
625,26
626,26
627,26
628,26
629,25
630,26
631,26
632,26
633,25
634,26
635,26
636,26
637,26
638,25
639,27
640,26
641,26
642,26
643,25
644,26
645,26
646,26
647,25
648,25
649,26
650,26
651,26
652,25
653,26
654,25
655,26
656,26
657,26
658,26
659,26
660,25
661,26
662,27
663,26
664,26
665,25
666,25
667,26
668,26
669,25
670,26
671,26
672,26
673,25
674,25
675,26
676,26
677,26
678,26
679,25
680,26
681,26
682,27
683,26
684,26
685,25
686,26
687,26
688,26
689,26
690,26
691,26
692,25
693,26
694,26
695,26
696,26
697,25
698,26
699,26
700,25
701,25
702,25
703,26
704,24
705,26
706,26
707,27
708,26
709,25
710,26
711,25
712,27
713,26
714,26
715,25
716,26
717,26
718,26
719,25
720,26
721,26
722,26
723,26
724,26
725,26
726,26
727,26
728,25
729,26
730,26
731,26
732,27
733,25
734,26
735,25
736,25
737,26
738,26
739,26
740,26
741,26
742,26
743,26
744,25
745,26
746,25
747,25
748,27
749,26
750,26
751,26
752,26
753,26
754,26
755,26
756,25
757,26
758,25
759,25
760,26
761,26
762,26
763,25
764,25
765,27
766,25
767,26
768,25
769,26
770,26
771,25
772,25
773,25
774,26
775,25
776,25
777,25
778,25
779,25
780,26
781,26
782,26
783,25
784,25
785,26
786,26
787,25
788,25
789,25
790,26
791,26
792,25
793,25
794,24
795,25
796,26
797,26
798,25
799,26
800,26
801,26
802,26
803,25
804,25
805,26
806,25
807,26
808,25
809,26
810,26
811,26
812,26
813,25
814,26
815,26
816,26
817,26
818,24
819,26
820,25
821,26
822,25
823,26
824,26
825,26
826,26
827,25
828,26
829,26
830,26
831,25
832,25
833,25
834,25
835,26
836,25
837,25
838,26
839,26
840,25
841,25
842,26
843,26
844,26
845,25
846,25
847,26
848,25
849,25
850,26
851,26
852,25
853,25
854,26
855,26
856,26
857,26
858,26
859,25
860,26
861,25
862,26
863,25
864,25
865,25
866,26
867,25
868,25
869,25
870,25
871,25
872,24
873,25
874,25
875,25
876,25
877,26
878,25
879,25
880,26
881,25
882,25
883,26
884,25
885,25
886,25
887,26
888,26
889,26
890,25
891,26
892,26
893,25
894,26
895,25
896,25
897,25
898,26
899,26
900,25
901,25
902,24
903,24
904,25
905,25
906,25
907,26
908,25
909,25
910,25
911,24
912,26
913,26
914,26
915,24
916,26
917,25
918,25
919,25
920,25
921,26
922,26
923,26
924,25
925,26
926,26
927,25
928,26
929,26
930,25
931,25
932,25
933,25
934,26
935,24
936,25
937,25
938,25
939,26
940,24
941,25
942,26
943,25
944,25
945,25
946,25
947,25
948,25
949,25
950,26
951,25
952,26
953,26
954,26
955,25
956,25
957,25
958,25
959,24
960,26
961,25
962,26
963,25
964,25
965,25
966,25
967,26
968,25
969,26
970,26
971,26
972,26
973,25
974,25
975,25
976,25
977,25
978,26
979,26
980,25
981,25
982,26
983,25
984,25
985,26
986,26
987,25
988,26
989,26
990,25
991,26
992,25
993,26
994,25
995,25
996,25
997,25
998,25
999,25
1000,26
1001,25
1002,26
1003,25
1004,26
1005,25
1006,26
1007,25
1008,25
1009,24
1010,25
1011,25
1012,25
1013,26
1014,26
1015,25
1016,26
1017,25
1018,25
1019,25
1020,24
1021,25
1022,26
1023,25
1024,26
1025,25
1026,25
1027,25
1028,25
1029,25
1030,25
1031,25
1032,25
1033,26
1034,25
1035,25
1036,24
1037,26
1038,25
1039,25
1040,26
1041,26
1042,24
1043,24
1044,26
1045,25
1046,25
1047,25
1048,25
1049,24
1050,25
1051,26
1052,25
1053,25
1054,25
1055,26
1056,26
1057,25
1058,25
1059,25
1060,25
1061,24
1062,26
1063,25
1064,24
1065,25
1066,24
1067,26
1068,25
1069,25
1070,25
1071,25
1072,24
1073,25
1074,25
1075,26
1076,25
1077,25
1078,25
1079,24
1080,25
1081,24
1082,25
1083,25
1084,25
1085,24
1086,25
1087,25
1088,24
1089,25
1090,25
1091,24
1092,24
1093,25
1094,24
1095,24
1096,24
1097,24
1098,24
1099,25
1100,24
1101,25
1102,25
1103,24
1104,24
1105,25
1106,25
1107,24
1108,24
1109,25
1110,23
1111,23
1112,25
1113,24
1114,24
1115,24
1116,25
1117,24
1118,24
1119,24
1120,24
1121,24
1122,24
1123,24
1124,24
1125,23
1126,24
1127,23
1128,24
1129,23
1130,24
1131,24
1132,24
1133,23
1134,24
1135,23
1136,24
1137,24
1138,24
1139,24
1140,23
1141,24
1142,23
1143,24
1144,23
1145,23
1146,23
1147,24
1148,25
1149,23
1150,23
1151,24
1152,23
1153,23
1154,23
1155,23
1156,24
1157,24
1158,24
1159,24
1160,23
1161,23
1162,23
1163,22
1164,23
1165,24
1166,23
1167,24
1168,23
1169,23
1170,23
1171,23
1172,23
1173,23
1174,23
1175,23
1176,23
1177,23
1178,23
1179,23
1180,22
1181,23
1182,23
1183,22
1184,22
1185,22
1186,22
1187,22
1188,22
1189,22
1190,23
1191,23
1192,22
1193,22
1194,22
1195,23
1196,22
1197,22
1198,23
1199,23
1200,22
1201,23
1202,23
1203,22
1204,22
1205,23
1206,22
1207,23
1208,23
1209,23
1210,23
1211,23
1212,22
1213,22
1214,22
1215,22
1216,22
1217,21
1218,22
1219,22
1220,22
1221,22
1222,23
1223,22
1224,22
1225,22
1226,22
1227,21
1228,21
1229,21
1230,23
1231,22
1232,22
1233,23
1234,22
1235,21
1236,22
1237,22
1238,22
1239,22
1240,22
1241,21
1242,21
1243,21
1244,20
1245,22
1246,21
1247,21
1248,22
1249,23
1250,22
1251,23
1252,21
1253,22
1254,21
1255,23
1256,23
1257,23
1258,22
1259,21
1260,22
1261,21
1262,21
1263,21
1264,21
1265,21
1266,21
1267,20
1268,21
1269,21
1270,20
1271,22
1272,21
1273,21
1274,21
1275,21
1276,22
1277,22
1278,20
1279,22
1280,20
1281,22
1282,21
1283,21
1284,21
1285,22
1286,21
1287,21
1288,21
1289,21
1290,21
1291,20
1292,20
1293,20
1294,20
1295,21
1296,21
1297,21
1298,21
1299,20
1300,20
1301,19
1302,20
1303,20
1304,20
1305,21
1306,20
1307,19
1308,21
