,0
0,22
1,22
2,22
3,22
4,22
5,23
6,23
7,23
8,23
9,22
10,22
11,23
12,23
13,22
14,23
15,23
16,22
17,23
18,21
19,22
20,21
21,22
22,23
23,22
24,22
25,22
26,22
27,23
28,22
29,23
30,23
31,22
32,22
33,22
34,22
35,22
36,23
37,23
38,23
39,23
40,22
41,23
42,23
43,22
44,22
45,22
46,23
47,23
48,21
49,22
50,23
51,21
52,23
53,22
54,22
55,23
56,23
57,22
58,23
59,23
60,23
61,23
62,23
63,24
64,22
65,23
66,22
67,23
68,23
69,22
70,23
71,22
72,23
73,24
74,23
75,23
76,23
77,22
78,23
79,22
80,23
81,23
82,23
83,23
84,23
85,24
86,23
87,23
88,23
89,23
90,23
91,24
92,23
93,23
94,22
95,23
96,22
97,22
98,23
99,24
100,23
101,23
102,23
103,24
104,22
105,23
106,23
107,23
108,22
109,23
110,23
111,23
112,23
113,23
114,23
115,23
116,22
117,23
118,22
119,23
120,21
121,21
122,22
123,22
124,22
125,22
126,23
127,23
128,24
129,24
130,24
131,23
132,25
133,23
134,24
135,24
136,24
137,22
138,23
139,23
140,23
141,23
142,22
143,23
144,23
145,22
146,22
147,23
148,22
149,23
150,22
151,22
152,23
153,23
154,23
155,23
156,23
157,23
158,23
159,23
160,23
161,23
162,22
163,23
164,23
165,23
166,23
167,23
168,23
169,23
170,22
171,22
172,22
173,22
174,21
175,22
176,22
177,21
178,22
179,23
180,22
181,23
182,22
183,23
184,23
185,22
186,22
187,23
188,22
189,22
190,23
191,23
192,23
193,22
194,22
195,22
196,22
197,22
198,21
199,22
200,22
201,21
202,21
203,20
204,21
205,22
206,21
207,21
208,21
209,22
210,22
211,21
212,20
213,20
214,21
215,22
216,21
217,21
218,21
219,22
220,21
221,22
222,22
223,22
224,22
225,22
226,22
227,24
228,27
229,30
230,34
231,34
232,33
233,31
234,28
235,23
236,20
237,21
238,20
239,20
240,24
241,29
242,33
243,36
244,39
245,38
246,36
247,35
248,31
249,28
250,25
251,24
252,26
253,29
254,32
255,35
256,39
257,37
258,36
259,34
260,31
261,28
262,24
263,21
264,21
265,22
266,26
267,29
268,32
269,34
270,34
271,35
272,33
273,31
274,27
275,23
276,19
277,17
278,14
279,12
280,12
281,12
282,16
283,21
284,26
285,30
286,32
287,34
288,35
289,33
290,32
291,33
292,31
293,31
294,31
295,30
296,31
297,33
298,34
299,36
300,39
301,44
302,47
303,50
304,51
305,51
306,52
307,51
308,51
309,51
310,52
311,52
312,54
313,56
314,58
315,61
316,63
317,65
318,68
319,72
320,76
321,80
322,85
323,91
324,95
325,102
326,107
327,110
328,114
329,118
330,121
331,124
332,128
333,133
334,137
335,140
336,145
337,148
338,153
339,156
340,160
341,162
342,165
343,168
344,173
345,179
346,183
347,188
348,192
349,197
350,200
351,204
352,207
353,208
354,213
355,216
356,218
357,223
358,227
359,231
360,233
361,235
362,237
363,239
364,239
365,242
366,240
367,239
368,238
369,237
370,238
371,240
372,242
373,245
374,247
375,249
376,250
377,250
378,251
379,250
380,252
381,253
382,255
383,258
384,260
385,262
386,263
387,264
388,265
389,268
390,269
391,271
392,272
393,272
394,273
395,271
396,272
397,271
398,272
399,273
400,274
401,275
402,274
403,273
404,272
405,272
406,272
407,272
408,272
409,274
410,274
411,275
412,274
413,273
414,274
415,273
416,273
417,274
418,274
419,276
420,277
421,278
422,279
423,279
424,280
425,279
426,279
427,278
428,277
429,276
430,277
431,278
432,278
433,279
434,279
435,278
436,276
437,275
438,275
439,276
440,277
441,278
442,278
443,278
444,277
445,276
446,275
447,275
448,275
449,277
450,277
451,278
452,278
453,277
454,275
455,275
456,275
457,275
458,277
459,278
460,278
461,277
462,277
463,275
464,275
465,275
466,275
467,276
468,277
