,0
0,-737
1,-737
2,-737
3,-736
4,-736
5,-738
6,-737
7,-736
8,-737
9,-737
10,-737
11,-737
12,-737
13,-737
14,-737
15,-737
16,-738
17,-737
18,-737
19,-737
20,-736
21,-736
22,-737
23,-737
24,-737
25,-737
26,-737
27,-736
28,-737
29,-737
30,-736
31,-736
32,-736
33,-736
34,-736
35,-738
36,-738
37,-737
38,-736
39,-736
40,-736
41,-735
42,-737
43,-737
44,-737
45,-737
46,-737
47,-736
48,-737
49,-736
50,-736
51,-737
52,-736
53,-737
54,-736
55,-736
56,-736
57,-736
58,-736
59,-736
60,-737
61,-737
62,-736
63,-736
64,-736
65,-737
66,-735
67,-736
68,-736
69,-737
70,-736
71,-737
72,-736
73,-736
74,-736
75,-738
76,-737
77,-736
78,-736
79,-736
80,-736
81,-736
82,-737
83,-736
84,-737
85,-737
86,-738
87,-737
88,-735
89,-737
90,-736
91,-735
92,-737
93,-736
94,-737
95,-736
96,-736
97,-736
98,-735
99,-736
100,-736
