,0
0,-743
1,-745
2,-748
3,-747
4,-744
5,-744
6,-745
7,-747
8,-749
9,-744
10,-743
11,-745
12,-747
13,-748
14,-744
15,-744
16,-745
17,-748
18,-749
19,-745
20,-743
21,-746
22,-748
23,-747
24,-745
25,-743
26,-746
27,-748
28,-747
29,-745
30,-744
31,-746
32,-748
33,-748
34,-745
35,-743
36,-745
37,-747
38,-749
39,-745
40,-744
41,-745
42,-749
43,-748
44,-744
45,-744
46,-745
47,-748
48,-747
49,-745
50,-744
51,-745
52,-748
53,-747
54,-745
55,-744
56,-745
57,-748
58,-748
59,-745
60,-744
61,-744
62,-749
63,-748
64,-745
65,-744
66,-745
67,-748
68,-748
69,-746
70,-744
71,-746
72,-748
73,-748
74,-745
75,-743
76,-745
77,-749
78,-748
79,-746
80,-744
81,-745
82,-748
83,-748
84,-745
85,-745
86,-745
87,-748
88,-749
89,-746
90,-744
91,-745
92,-748
93,-748
94,-746
95,-744
96,-745
97,-749
98,-748
99,-746
100,-744
