,0
0,-746
1,-747
2,-746
3,-747
4,-745
5,-746
6,-746
7,-747
8,-746
9,-747
10,-746
11,-747
12,-747
13,-748
14,-746
15,-747
16,-746
17,-747
18,-747
19,-747
20,-747
21,-746
22,-745
23,-745
24,-746
25,-747
26,-747
27,-747
28,-747
29,-745
30,-746
31,-747
32,-746
33,-747
34,-746
35,-746
36,-747
37,-747
38,-747
39,-747
40,-747
41,-747
42,-746
43,-747
44,-746
45,-747
46,-747
47,-746
48,-746
49,-747
50,-746
51,-746
52,-747
53,-747
54,-746
55,-747
56,-747
57,-746
58,-747
59,-747
60,-748
61,-745
62,-746
63,-747
64,-747
65,-746
66,-747
67,-747
68,-746
69,-746
70,-745
71,-746
72,-746
73,-747
74,-746
75,-747
76,-745
77,-747
78,-746
79,-748
80,-746
81,-746
82,-746
83,-747
84,-746
85,-747
86,-746
87,-746
88,-746
89,-746
90,-746
91,-746
92,-747
93,-747
94,-746
95,-747
96,-746
97,-746
98,-747
99,-747
100,-746
