,0
0,-680
1,-677
2,-675
3,-676
4,-680
5,-679
6,-676
7,-675
8,-677
9,-680
10,-679
11,-677
12,-675
13,-677
14,-679
15,-680
16,-676
17,-675
18,-677
19,-680
20,-680
21,-677
22,-675
23,-677
24,-680
25,-679
26,-677
27,-675
28,-677
29,-680
30,-680
31,-677
32,-675
33,-677
34,-679
35,-680
36,-676
37,-674
38,-677
39,-680
40,-680
41,-676
42,-674
43,-676
44,-680
45,-680
46,-677
47,-675
48,-676
49,-680
50,-679
51,-677
52,-675
53,-677
54,-681
55,-679
56,-677
57,-675
58,-677
59,-681
60,-679
61,-677
62,-675
63,-677
64,-679
65,-679
66,-676
67,-675
68,-677
69,-680
70,-679
71,-675
72,-675
73,-677
74,-681
75,-679
76,-677
77,-675
78,-677
79,-680
80,-680
81,-677
82,-674
83,-677
84,-679
85,-679
86,-677
87,-675
88,-676
89,-680
90,-680
91,-676
92,-674
93,-678
94,-680
95,-678
96,-676
97,-675
98,-677
99,-680
100,-679
101,-676
102,-675
103,-677
104,-680
105,-678
106,-676
107,-675
108,-676
109,-678
110,-679
111,-676
112,-675
113,-676
114,-678
115,-679
116,-676
117,-674
118,-676
119,-678
120,-678
121,-677
122,-674
123,-676
124,-679
125,-678
126,-676
127,-675
128,-677
129,-679
130,-679
131,-676
132,-676
133,-676
134,-679
135,-680
136,-677
137,-675
138,-677
139,-679
140,-678
141,-677
142,-676
143,-677
144,-679
145,-680
146,-677
147,-674
148,-676
149,-679
150,-679
151,-676
152,-675
153,-677
154,-679
155,-679
156,-677
157,-675
158,-677
159,-679
160,-679
161,-677
162,-675
163,-677
164,-680
165,-680
166,-677
167,-676
168,-677
169,-679
170,-679
171,-678
172,-676
173,-677
174,-680
175,-680
176,-678
177,-676
178,-677
179,-679
180,-679
181,-677
182,-676
183,-677
184,-680
185,-680
186,-678
187,-676
188,-678
189,-679
190,-679
191,-677
192,-675
193,-677
194,-679
195,-680
196,-678
197,-677
198,-676
199,-680
200,-680
201,-677
202,-677
203,-677
204,-680
205,-679
206,-677
207,-676
208,-677
209,-680
210,-680
211,-678
212,-676
213,-679
214,-681
215,-680
216,-677
217,-676
218,-677
219,-681
220,-681
221,-678
222,-676
223,-677
224,-680
225,-681
226,-678
227,-676
228,-678
229,-681
230,-681
231,-678
232,-676
233,-678
234,-680
235,-680
236,-678
237,-677
238,-677
239,-681
240,-680
241,-678
242,-676
243,-677
244,-680
245,-680
246,-678
247,-677
248,-677
249,-681
250,-681
251,-678
252,-676
253,-677
254,-680
255,-680
256,-677
257,-676
258,-678
259,-681
260,-680
261,-678
262,-676
263,-677
264,-681
265,-680
266,-678
267,-676
268,-677
269,-680
270,-680
271,-678
272,-675
273,-677
274,-681
275,-680
276,-678
277,-677
278,-678
279,-680
280,-680
281,-678
282,-677
283,-678
284,-681
285,-681
286,-678
287,-677
288,-679
289,-682
290,-681
291,-678
292,-677
293,-679
294,-681
295,-681
296,-679
297,-676
298,-680
299,-682
300,-682
301,-678
302,-677
303,-679
304,-682
305,-682
306,-678
307,-677
308,-680
309,-682
310,-681
311,-678
312,-677
313,-679
314,-683
315,-682
316,-680
317,-677
318,-680
319,-683
320,-681
321,-679
322,-677
323,-680
324,-681
325,-682
326,-680
327,-678
328,-680
329,-683
330,-682
331,-680
332,-678
333,-679
334,-683
335,-682
336,-679
337,-678
338,-679
339,-684
340,-682
341,-680
342,-678
343,-679
344,-683
345,-683
346,-680
347,-679
348,-680
349,-683
350,-682
351,-680
352,-678
353,-681
354,-684
355,-682
356,-680
357,-679
358,-682
359,-685
360,-684
361,-680
362,-679
363,-681
364,-685
365,-683
366,-681
367,-680
368,-682
369,-683
370,-683
371,-681
372,-680
373,-680
374,-684
375,-684
376,-681
377,-680
378,-681
379,-685
380,-684
381,-682
382,-681
383,-682
384,-685
385,-684
386,-683
387,-681
388,-683
389,-685
390,-684
391,-683
392,-682
393,-683
394,-686
395,-686
396,-683
397,-682
398,-683
399,-686
400,-685
401,-683
402,-681
403,-683
404,-686
405,-686
406,-685
407,-682
408,-682
409,-685
410,-686
411,-684
412,-682
413,-682
414,-686
415,-686
416,-685
417,-682
418,-683
419,-686
420,-686
421,-684
422,-682
423,-683
424,-686
425,-686
426,-684
427,-682
428,-683
429,-686
430,-686
431,-684
432,-682
433,-684
434,-687
435,-686
436,-683
437,-683
438,-684
439,-687
440,-686
441,-683
442,-683
443,-684
444,-688
445,-687
446,-684
447,-682
448,-684
449,-687
450,-687
451,-683
452,-682
453,-684
454,-687
455,-686
456,-684
457,-682
458,-685
459,-688
460,-686
461,-683
462,-682
463,-684
464,-688
465,-687
466,-683
467,-682
468,-685
469,-687
470,-686
471,-684
472,-683
473,-685
474,-687
475,-686
476,-684
477,-682
478,-684
479,-688
480,-686
481,-683
482,-683
483,-684
484,-687
485,-685
486,-683
487,-682
488,-685
489,-687
490,-686
491,-683
492,-684
493,-685
494,-687
495,-686
496,-683
497,-682
498,-684
499,-688
500,-686
501,-683
502,-683
503,-685
504,-689
505,-685
506,-682
507,-683
508,-685
509,-688
510,-686
511,-684
512,-683
513,-685
514,-687
515,-686
516,-684
517,-684
518,-685
519,-687
520,-686
521,-685
522,-683
523,-685
524,-687
525,-687
526,-684
527,-683
528,-686
529,-688
530,-688
531,-683
532,-683
533,-684
534,-688
535,-687
536,-684
537,-683
538,-685
539,-688
540,-686
541,-684
542,-683
543,-685
544,-688
545,-687
546,-685
547,-684
548,-686
549,-688
550,-687
551,-684
552,-684
553,-686
554,-688
555,-686
556,-684
557,-684
558,-684
559,-687
560,-688
561,-685
562,-685
563,-686
564,-688
565,-687
566,-685
567,-685
568,-685
569,-687
570,-687
571,-686
572,-685
573,-685
574,-687
575,-688
576,-686
577,-684
578,-686
579,-688
580,-687
581,-686
582,-684
583,-685
584,-688
585,-688
586,-685
587,-684
588,-685
589,-689
590,-688
591,-685
592,-684
593,-685
594,-689
595,-689
596,-686
597,-684
598,-686
599,-689
600,-688
601,-685
602,-685
603,-685
604,-689
605,-688
606,-685
607,-684
608,-687
609,-689
610,-688
611,-685
612,-684
613,-686
614,-689
615,-688
616,-685
617,-684
618,-686
619,-689
620,-688
621,-685
622,-684
623,-687
624,-690
625,-688
626,-685
627,-684
628,-686
629,-689
630,-689
631,-684
632,-684
633,-686
634,-690
635,-688
636,-684
637,-685
638,-686
639,-690
640,-687
641,-685
642,-685
643,-686
644,-689
645,-688
646,-685
647,-684
648,-686
649,-689
650,-688
651,-685
652,-684
653,-686
654,-689
655,-687
656,-685
657,-685
658,-687
659,-690
660,-688
661,-685
662,-685
663,-687
664,-689
665,-687
666,-685
667,-685
668,-688
669,-690
670,-687
671,-685
672,-685
673,-686
674,-688
675,-687
676,-686
677,-685
678,-687
679,-689
680,-687
681,-686
682,-684
683,-687
684,-689
685,-687
686,-685
687,-684
688,-688
689,-689
690,-688
691,-686
692,-685
693,-687
694,-688
695,-687
696,-685
697,-685
698,-687
