,0
0,-759
1,-760
2,-761
3,-762
4,-764
5,-766
6,-767
7,-767
8,-765
9,-765
10,-768
11,-770
12,-766
13,-765
14,-766
15,-768
16,-768
17,-767
18,-765
19,-765
20,-769
21,-769
22,-766
23,-763
24,-766
25,-768
26,-769
27,-767
28,-765
29,-765
30,-767
31,-768
32,-767
33,-764
34,-764
35,-767
36,-769
37,-767
38,-764
39,-765
40,-768
41,-769
42,-767
43,-765
44,-765
45,-768
46,-768
47,-767
48,-764
49,-766
50,-768
51,-769
52,-767
53,-765
54,-765
55,-767
56,-769
57,-767
58,-764
59,-766
60,-769
61,-770
62,-767
63,-766
64,-764
65,-767
66,-768
67,-767
68,-759
69,-756
70,-757
71,-760
72,-761
73,-764
74,-764
75,-768
76,-766
77,-762
78,-756
79,-753
80,-754
81,-756
82,-758
83,-759
84,-762
85,-766
86,-767
87,-761
88,-756
89,-753
90,-756
91,-759
92,-763
93,-764
94,-765
95,-767
96,-772
97,-770
98,-764
99,-764
100,-768
101,-761
102,-754
103,-746
104,-747
105,-752
106,-759
107,-763
108,-762
109,-765
110,-768
111,-767
112,-764
113,-758
114,-753
115,-751
116,-751
117,-752
118,-753
119,-758
120,-763
121,-766
122,-764
123,-761
124,-761
125,-763
126,-761
127,-755
128,-747
129,-742
130,-741
131,-741
132,-738
133,-735
134,-739
135,-742
136,-740
137,-735
138,-724
139,-714
140,-710
141,-703
142,-698
143,-695
144,-695
145,-696
146,-697
147,-693
148,-689
149,-686
150,-683
151,-683
152,-679
153,-677
154,-674
155,-674
156,-674
157,-669
158,-664
159,-661
160,-658
161,-656
162,-653
163,-647
164,-645
165,-646
166,-649
167,-652
168,-649
169,-648
170,-648
171,-648
172,-642
173,-635
174,-632
175,-635
176,-637
177,-634
178,-634
179,-636
180,-639
181,-641
182,-639
183,-632
184,-633
185,-636
186,-643
187,-644
188,-642
189,-640
190,-640
191,-639
192,-634
193,-629
194,-627
195,-630
196,-634
197,-637
198,-636
199,-633
200,-631
201,-626
202,-616
203,-607
204,-600
205,-596
206,-594
207,-590
208,-581
209,-576
210,-572
211,-566
212,-557
213,-550
214,-548
215,-551
216,-554
217,-551
218,-547
219,-543
220,-544
221,-542
222,-538
223,-533
224,-530
225,-530
226,-533
227,-535
228,-534
229,-536
230,-539
231,-538
232,-536
233,-533
234,-530
235,-527
236,-527
237,-523
238,-517
239,-514
240,-515
241,-520
242,-521
243,-522
244,-522
245,-527
246,-533
247,-534
248,-531
249,-529
250,-531
251,-533
252,-530
253,-525
254,-522
255,-521
256,-522
257,-518
258,-515
259,-512
260,-516
261,-519
262,-518
263,-516
264,-515
265,-518
266,-520
267,-519
268,-514
269,-511
270,-512
271,-512
272,-510
273,-504
274,-503
275,-504
276,-506
277,-504
278,-501
279,-498
280,-501
281,-506
282,-507
283,-506
284,-504
285,-505
286,-509
287,-507
288,-505
289,-503
290,-504
291,-507
292,-506
293,-504
294,-503
295,-504
296,-507
297,-507
298,-504
299,-502
300,-504
301,-508
302,-506
303,-505
304,-502
305,-503
306,-507
307,-507
308,-504
309,-503
310,-504
311,-507
312,-507
313,-505
314,-503
315,-503
316,-506
317,-507
318,-506
319,-503
320,-503
321,-507
322,-507
323,-505
324,-503
325,-503
326,-507
327,-507
328,-505
329,-503
330,-504
331,-508
332,-507
333,-505
334,-503
335,-504
336,-507
337,-507
338,-505
339,-503
340,-504
341,-507
342,-508
343,-504
344,-503
345,-504
346,-507
347,-506
348,-506
349,-504
350,-504
351,-507
352,-507
353,-506
354,-503
355,-504
356,-508
357,-507
358,-505
359,-503
360,-503
361,-507
362,-507
363,-505
364,-502
365,-504
366,-507
367,-508
368,-506
369,-502
370,-504
371,-506
372,-507
373,-505
374,-503
375,-505
376,-506
377,-507
378,-505
379,-502
380,-503
381,-506
382,-507
383,-507
384,-504
385,-504
386,-506
387,-507
388,-505
389,-502
390,-503
391,-506
392,-508
393,-505
394,-503
395,-504
396,-506
397,-507
398,-505
399,-503
400,-503
401,-507
402,-506
403,-506
404,-502
405,-503
406,-507
407,-508
408,-505
409,-504
410,-503
411,-506
412,-507
413,-505
414,-503
415,-504
416,-507
417,-508
418,-506
419,-503
420,-503
421,-505
422,-507
423,-505
424,-503
425,-503
426,-506
427,-507
428,-505
429,-502
430,-503
431,-506
432,-506
433,-506
434,-504
435,-503
436,-505
437,-507
438,-506
439,-503
440,-504
441,-507
442,-507
443,-506
444,-503
445,-504
446,-506
447,-507
448,-507
