,0
0,-500
1,-501
2,-502
3,-499
4,-496
5,-494
6,-498
7,-501
8,-502
9,-500
10,-500
11,-500
12,-500
13,-499
14,-495
15,-495
16,-499
17,-502
18,-502
19,-500
20,-497
21,-499
22,-499
23,-498
24,-496
25,-497
26,-501
27,-504
28,-503
29,-498
30,-498
31,-497
32,-498
33,-499
34,-497
35,-498
36,-500
37,-503
38,-502
39,-497
40,-495
41,-496
42,-499
43,-500
44,-500
45,-499
46,-501
47,-502
48,-501
49,-497
50,-494
51,-497
52,-501
53,-502
54,-500
55,-499
56,-500
57,-501
58,-499
59,-496
60,-495
61,-498
62,-503
63,-502
64,-500
65,-498
66,-498
67,-500
68,-499
69,-497
70,-495
71,-499
72,-504
73,-504
74,-500
75,-497
76,-498
77,-500
78,-499
79,-498
80,-497
81,-501
82,-504
83,-502
84,-499
85,-497
86,-497
87,-500
88,-500
89,-500
90,-499
91,-501
92,-504
93,-502
94,-498
95,-496
96,-497
97,-501
98,-502
99,-501
100,-500
101,-501
102,-503
103,-501
104,-497
105,-496
106,-498
107,-502
108,-503
109,-502
110,-499
111,-499
112,-501
113,-500
114,-498
115,-496
116,-500
117,-503
118,-504
119,-501
120,-499
121,-498
122,-501
123,-499
124,-498
125,-498
126,-500
127,-504
128,-504
129,-501
130,-497
131,-497
132,-500
133,-501
134,-499
135,-499
136,-502
137,-504
138,-502
139,-500
140,-496
141,-497
142,-500
143,-501
144,-501
145,-500
146,-501
147,-503
148,-503
149,-498
150,-496
151,-498
152,-501
153,-502
154,-502
155,-500
156,-501
157,-503
158,-500
159,-498
160,-497
161,-498
162,-503
163,-504
164,-503
165,-499
166,-501
167,-500
168,-501
169,-498
170,-497
171,-500
172,-504
173,-504
174,-503
175,-499
176,-498
177,-500
178,-500
179,-499
180,-499
181,-501
182,-504
183,-505
184,-501
185,-497
186,-497
187,-500
188,-502
189,-501
190,-499
191,-501
192,-504
193,-503
194,-500
195,-497
196,-498
197,-500
198,-502
199,-502
200,-500
201,-500
202,-502
203,-502
204,-499
205,-496
206,-498
207,-503
208,-504
209,-503
210,-500
211,-500
212,-501
213,-502
214,-499
215,-497
216,-499
217,-502
218,-504
219,-503
220,-500
221,-498
222,-500
223,-500
224,-500
225,-498
226,-501
227,-504
228,-504
229,-501
230,-497
231,-497
232,-499
233,-500
234,-501
235,-499
236,-500
237,-503
238,-503
239,-500
240,-496
241,-497
242,-500
243,-501
244,-501
245,-500
246,-501
247,-502
248,-502
249,-499
250,-496
251,-497
252,-502
253,-503
254,-502
255,-500
256,-499
257,-500
258,-501
259,-499
260,-498
261,-499
262,-502
263,-504
264,-503
265,-499
266,-499
267,-500
268,-501
269,-499
270,-497
271,-499
272,-503
273,-505
274,-503
275,-498
276,-498
277,-498
278,-501
279,-501
280,-499
281,-499
282,-503
283,-503
284,-501
285,-497
286,-497
287,-498
288,-500
289,-500
290,-499
291,-501
292,-501
293,-502
294,-500
295,-496
296,-496
297,-499
298,-502
299,-502
300,-500
301,-499
302,-501
303,-501
304,-499
305,-495
306,-496
307,-500
308,-503
309,-503
310,-499
311,-499
312,-499
313,-500
314,-498
315,-496
316,-498
317,-501
318,-504
319,-502
320,-499
321,-497
322,-498
323,-500
324,-499
325,-498
326,-499
327,-501
328,-504
329,-501
330,-498
331,-496
332,-498
333,-501
334,-500
335,-499
336,-500
337,-501
338,-503
339,-501
340,-497
341,-496
342,-498
343,-502
344,-501
345,-499
346,-499
347,-500
348,-501
349,-500
350,-497
351,-495
352,-499
353,-502
354,-502
355,-499
356,-499
357,-500
358,-500
359,-499
360,-496
361,-496
362,-500
363,503
364,-503
365,-500
366,-496
367,-498
368,-500
369,-499
370,-498
371,-498
372,-501
373,-504
374,-502
375,-498
376,-497
377,-497
378,-500
379,-500
380,-498
381,-499
382,-500
383,-503
384,-501
385,-497
386,-496
387,-498
388,-500
389,-500
390,-499
391,-498
392,-500
393,-501
394,-499
395,-496
396,-496
397,-499
398,-501
399,-502
400,-500
401,-498
402,-499
403,-501
404,-498
405,-497
406,-496
407,-499
408,-503
409,-502
410,-498
411,-498
412,-498
413,-500
414,-498
415,-497
416,-497
417,-500
418,-503
419,-503
420,-498
421,-496
422,-498
423,-499
424,-500
425,-497
426,-499
427,-500
428,-503
429,-502
430,-497
431,-496
432,-497
433,-500
434,-500
435,-499
436,-499
437,-501
438,-502
439,-500
440,-498
441,-495
442,-497
443,-501
444,-501
445,-499
446,-498
447,-499
448,-502
449,-500
450,-496
451,-495
452,-498
453,-501
454,-503
455,-499
456,-498
457,-498
458,-500
459,-499
460,-498
461,-496
462,-499
463,-503
464,-503
465,-499
466,-497
467,-497
468,-499
469,-499
470,-498
471,-498
472,-499
473,-502
474,-502
475,-498
476,-495
477,-496
478,-499
479,-500
480,-499
481,-498
482,-500
483,-502
484,-501
485,-498
486,-495
487,-496
488,-501
489,-501
490,-499
491,-498
492,-499
493,-500
494,-500
495,-498
496,-495
497,-498
498,-501
499,-502
500,-500
501,-498
502,-498
503,-500
504,-500
505,-498
506,-496
507,-498
508,-501
509,-503
510,-501
511,-496
512,-497
513,-499
514,-499
515,-499
516,-497
517,-499
518,-502
519,-502
520,-500
521,-497
522,-497
523,-499
524,-500
525,-500
526,-497
527,-500
528,-503
529,-502
530,-499
531,-496
532,-496
533,-500
534,-501
535,-501
536,-500
537,-499
538,-501
539,-501
540,-498
541,-496
542,-496
543,-500
544,-502
545,-501
546,-498
547,-498
548,-499
549,-500
550,-498
551,-496
552,-498
553,-501
554,-502
555,-501
556,-497
557,-497
558,-498
559,-500
560,-498
561,-497
562,-498
563,-501
564,-503
565,-500
566,-496
567,-496
568,-498
569,-501
570,-499
571,-497
572,-499
573,-501
574,-502
575,-499
576,-496
577,-495
578,-498
579,-500
580,-501
581,-498
582,-498
583,-501
584,-502
585,-499
586,-496
587,-495
588,-500
589,-502
590,-501
591,-498
592,-498
593,-499
594,-500
595,-499
596,-496
597,-498
598,-500
599,-502
600,-501
601,-498
602,-497
603,-500
604,-500
605,-498
606,-496
607,-496
608,-502
609,-503
610,-501
611,-497
612,-496
613,-497
614,-499
615,-500
616,-497
617,-498
618,500
619,-502
620,-500
621,-497
622,-496
623,-497
624,-500
625,-500
626,-499
627,-498
628,-500
629,-502
630,-499
631,-496
632,-496
633,-498
634,-501
635,-501
636,-499
637,-498
638,-500
639,-500
640,-499
641,-496
642,-496
643,-498
644,-502
645,-502
646,-499
647,-498
648,-498
649,-500
650,-499
651,-498
652,-496
653,-498
654,-503
655,-501
656,-498
657,-497
658,-497
659,-499
660,-500
661,-499
662,-497
663,-499
664,-503
665,-501
666,-498
667,-496
668,-497
669,-500
670,-500
671,-499
672,-498
673,-499
674,-501
675,-500
676,-497
677,-495
678,-496
679,-501
680,-501
681,-499
682,-498
683,-498
684,-501
685,-500
686,-497
687,-495
688,-497
689,-502
690,-501
691,-500
692,-497
693,-498
694,-500
695,-499
696,-497
697,-497
698,-498
699,-501
700,-502
701,-499
702,-496
703,-498
704,-499
705,-499
706,-498
707,-497
708,-498
709,-501
710,-502
711,-499
712,-495
713,-496
714,-499
715,-501
716,-498
717,-498
718,-498
719,-501
720,-501
721,-498
722,-496
723,-496
724,-500
725,-502
726,-500
727,-498
728,-498
729,-500
730,-500
731,-498
732,-495
733,-497
734,-501
735,-501
736,-501
737,-499
738,-499
739,-499
740,-500
741,-498
742,-496
743,-498
744,-500
745,-503
746,-501
747,-497
748,-498
749,-498
750,-500
751,-498
752,-496
753,-498
754,-501
755,-503
756,-501
757,-497
758,-497
759,-498
760,-499
761,-499
762,-497
763,-498
764,-502
765,-501
766,-499
767,-496
768,-495
769,-498
770,-501
771,-501
772,-499
773,-498
774,-500
775,-501
776,-499
777,-496
778,-496
779,-499
780,-502
781,-500
782,-497
783,-497
784,-500
785,-498
786,-498
787,-495
788,-496
789,-499
790,-502
791,-501
792,-498
793,-497
794,-498
795,-499
796,-499
797,-496
798,-496
799,-500
800,-502
801,-501
802,-498
803,-496
804,-498
805,-500
806,-500
807,-497
808,-497
809,-501
810,-502
811,-500
812,-498
813,-496
814,-498
815,-500
816,-500
817,-498
818,-498
819,-499
820,-502
821,-499
822,-497
823,-495
824,-498
825,-500
826,-501
827,-499
828,-497
829,-499
830,-502
831,-499
832,-496
833,-496
834,-499
835,-502
836,-502
837,-499
838,-497
839,-499
840,-500
841,-499
842,-498
843,-496
844,-498
845,-502
846,-501
847,-498
848,-497
849,-498
850,-499
851,-499
852,-498
853,-497
854,-499
855,-502
856,-500
857,-498
858,-496
859,-496
860,-500
861,-500
862,-499
863,-497
864,-498
865,-501
866,-500
867,-497
868,-495
869,-497
870,-500
871,-501
872,-500
873,-498
874,-498
875,-501
876,-500
877,-498
878,-495
879,-498
880,-501
881,-501
882,-500
883,-498
884,-498
885,-500
886,-499
887,-497
888,-496
889,-498
890,-501
891,-502
892,-499
893,-497
894,-496
895,-500
896,-499
897,-498
898,-497
899,-498
900,-501
901,-502
902,-499
903,-497
904,-497
905,-499
906,-501
907,-499
908,-497
909,-498
910,-501
911,-501
912,-498
913,-496
914,-496
915,-499
916,-501
917,-500
918,-498
919,-499
920,-500
921,-501
922,-498
923,-496
924,-496
925,-501
926,-502
927,-501
928,-498
929,-497
930,-499
931,-500
932,-498
933,-496
934,-497
935,-500
936,-502
937,-501
938,-497
939,-497
940,-498
941,-500
942,-499
943,-498
944,-498
945,-499
946,-502
947,-500
948,-496
949,-496
950,-498
951,-501
952,-499
953,-497
954,-498
955,-500
956,-501
957,-500
958,-496
959,-496
960,-498
961,-501
962,-501
963,-497
964,-498
965,-498
966,-501
967,-500
968,-497
969,-497
970,-499
971,-501
972,-501
973,-498
974,-497
975,-498
976,-500
977,-499
978,-497
979,-496
980,-499
981,-501
982,-501
983,-498
984,-498
985,-498
986,-500
987,-500
988,-497
989,-497
990,-499
991,-502
992,-500
993,-499
994,-495
995,-497
996,-500
997,-499
998,-498
999,-497
1000,-500
