,0
0,58
1,59
2,58
3,58
4,58
5,58
6,58
7,59
8,58
9,58
10,58
11,58
12,59
13,58
14,59
15,59
16,59
17,58
18,58
19,59
20,58
21,58
22,59
23,58
24,58
25,58
26,58
27,58
28,59
29,58
30,59
31,57
32,59
33,58
34,58
35,57
36,58
37,59
38,59
39,59
40,58
41,59
42,58
43,58
44,59
45,58
46,59
47,59
48,59
49,58
50,59
51,58
52,60
53,59
54,58
55,59
56,59
57,59
58,59
59,59
60,59
61,59
62,59
63,58
64,59
65,60
66,59
67,59
68,58
69,59
70,59
71,59
72,59
73,59
74,60
75,59
76,58
77,60
78,59
79,59
80,59
81,60
82,58
83,59
84,58
85,59
86,58
87,59
88,60
89,60
90,58
91,60
92,59
93,59
94,60
95,59
96,59
97,59
98,60
99,59
100,58
101,59
102,59
103,59
104,60
105,59
106,59
107,58
108,58
109,59
110,60
111,58
112,60
113,60
114,60
115,60
116,59
117,59
118,58
119,59
120,59
121,59
122,59
123,59
124,59
125,58
126,59
127,59
128,59
129,60
130,59
131,60
132,59
133,59
134,59
135,59
136,59
137,60
138,59
139,59
140,58
141,60
142,59
143,60
144,58
145,59
146,58
147,60
148,59
149,60
150,60
151,61
152,59
153,59
154,60
155,59
156,60
157,61
158,60
159,59
160,59
161,60
162,59
163,60
164,60
165,60
166,60
167,59
168,59
169,60
170,59
171,59
172,60
173,59
174,58
175,61
176,59
177,60
178,58
179,60
180,58
181,57
182,59
183,58
184,59
185,60
186,59
187,59
188,61
189,59
190,60
191,60
192,59
193,59
194,59
195,60
196,60
197,60
198,60
199,59
200,60
201,60
202,60
203,59
204,60
205,60
206,61
207,59
208,59
209,60
210,59
211,60
212,59
213,60
214,59
215,59
216,59
217,59
218,59
219,60
220,59
221,60
222,58
223,60
224,59
225,59
226,60
227,60
228,60
229,60
230,60
231,60
232,60
233,59
234,60
235,60
236,60
237,60
238,60
239,61
240,60
241,60
242,60
243,60
244,59
245,60
246,59
247,60
248,59
249,60
250,60
251,60
252,59
253,62
254,60
255,61
256,60
257,60
258,60
259,61
260,60
261,61
262,60
263,60
264,61
265,60
266,61
267,60
268,60
269,60
270,60
271,60
272,60
273,59
274,61
275,60
276,60
277,59
278,61
279,60
280,60
281,60
282,61
283,60
284,60
285,61
286,61
287,60
288,60
289,59
290,61
291,60
292,61
293,60
294,61
295,61
296,60
297,60
298,61
299,60
300,60
301,59
302,60
303,61
304,60
305,61
306,60
307,61
308,61
309,61
310,60
311,61
312,60
313,61
314,62
315,61
316,60
317,60
318,61
319,60
320,61
321,60
322,59
323,60
324,60
325,60
326,61
327,61
328,61
329,60
330,61
331,60
332,61
333,60
334,60
335,61
336,62
337,61
338,62
339,61
340,61
341,61
342,60
343,60
344,61
345,61
346,61
347,60
348,61
349,61
350,60
351,61
352,61
353,60
354,62
355,61
356,61
357,61
358,61
359,60
360,60
361,61
362,60
363,60
364,61
365,60
366,61
367,60
368,61
369,60
370,60
371,60
372,60
373,61
374,60
375,62
376,61
377,61
378,61
379,61
380,62
381,60
382,61
383,61
384,60
385,60
386,61
387,61
388,60
389,62
390,61
391,61
392,60
393,61
394,61
395,60
396,60
397,61
398,62
399,60
400,60
401,61
402,60
403,61
404,60
405,61
406,60
407,61
408,61
409,60
410,60
411,60
412,59
413,60
414,61
415,61
416,61
417,61
418,60
419,60
420,61
421,61
422,61
423,61
424,61
425,61
426,62
427,61
428,61
429,60
430,62
431,61
432,61
433,61
434,63
435,61
436,61
437,61
438,62
439,61
440,61
441,61
442,61
443,60
444,61
445,61
446,61
447,61
448,61
449,61
450,61
451,61
452,61
453,61
454,61
455,61
456,61
457,61
458,61
459,61
460,62
461,60
462,62
463,61
464,62
465,61
466,61
467,61
468,61
469,61
470,61
471,61
472,61
473,61
474,61
475,63
476,61
477,63
478,62
479,62
480,61
481,61
482,60
483,62
484,61
485,62
486,61
487,61
488,61
489,62
490,61
491,61
492,61
493,62
494,61
495,62
496,62
497,62
498,60
499,62
500,61
501,62
502,62
503,61
504,62
505,61
506,62
507,61
508,62
509,61
510,62
511,61
512,62
513,61
514,61
515,61
516,61
517,60
518,62
519,61
520,62
521,61
522,61
523,61
524,61
525,61
526,62
527,62
528,61
529,62
530,62
531,61
532,60
533,61
534,61
535,61
536,61
537,61
538,61
539,61
540,61
541,62
542,63
543,61
544,62
545,62
546,61
547,61
548,62
549,61
550,60
551,63
552,62
553,61
554,61
555,61
556,62
557,60
558,61
559,62
560,61
561,62
562,61
563,61
564,61
565,61
566,61
567,61
568,62
569,62
570,61
571,63
572,61
573,61
574,61
575,62
576,61
577,61
578,61
579,61
580,61
581,60
582,62
583,63
584,62
585,62
586,61
587,62
588,61
589,61
590,62
591,61
592,61
593,61
594,62
595,61
596,60
597,61
598,61
599,60
600,60
601,61
602,60
603,61
604,61
605,60
606,62
607,61
608,61
609,60
610,61
611,61
612,61
613,60
614,61
615,62
616,60
617,61
618,61
619,61
620,61
621,61
622,61
623,62
624,60
625,62
626,61
627,61
628,61
629,61
630,61
631,60
632,61
633,60
634,61
635,61
636,61
637,60
638,61
639,61
640,61
641,61
642,61
643,61
644,62
645,62
646,61
647,61
648,61
649,62
650,61
651,60
652,61
653,60
654,61
655,61
656,60
657,61
658,62
659,60
660,60
661,62
662,61
663,61
664,61
665,62
666,61
667,62
668,61
669,60
670,62
671,61
672,62
673,61
674,61
675,61
676,62
677,62
678,61
679,62
680,62
681,62
682,61
683,61
684,62
685,62
686,60
687,62
688,62
689,62
690,62
691,61
692,62
693,61
694,62
695,61
696,62
697,61
698,61
699,62
700,62
701,62
702,61
703,61
704,61
705,62
706,61
707,61
708,61
709,61
710,61
711,62
712,61
713,62
714,61
715,61
716,61
717,61
718,61
719,60
720,62
721,61
722,61
723,61
724,61
725,60
726,61
727,62
728,61
729,59
730,62
731,61
732,61
733,61
734,61
735,61
736,62
737,62
738,62
739,61
740,61
741,60
742,62
743,62
744,61
745,61
746,61
747,62
748,62
749,60
750,62
751,61
752,63
753,62
754,61
755,61
756,60
757,62
758,61
759,63
760,62
761,62
762,61
763,62
764,61
765,62
766,62
767,63
768,62
769,61
770,61
771,61
772,61
773,61
774,60
775,62
776,61
777,61
778,62
779,61
780,62
781,62
782,61
783,62
784,60
785,61
786,61
787,62
788,62
789,61
790,61
791,60
792,61
793,61
794,62
795,62
796,61
797,60
798,62
799,62
800,61
801,62
802,61
803,61
804,62
805,61
806,62
807,61
808,62
809,60
810,62
811,62
812,63
813,61
814,62
815,62
816,61
817,62
818,61
819,62
820,61
821,62
822,61
823,61
824,62
825,61
826,61
827,62
828,60
829,61
830,62
831,62
832,61
833,62
834,63
835,61
836,63
837,62
838,61
839,63
840,62
841,61
842,62
843,61
844,62
845,61
846,61
847,61
848,63
849,61
850,61
851,62
852,62
853,-1938
854,61
855,61
856,61
857,61
858,61
859,62
860,62
861,61
862,62
863,62
864,62
865,61
866,61
867,62
