,0
0,95
1,94
2,94
3,96
4,97
5,95
6,96
7,96
8,95
9,96
10,96
11,96
12,96
13,95
14,96
15,95
16,95
17,95
18,96
19,95
20,96
21,95
22,95
23,96
24,95
25,95
26,95
27,95
28,95
29,95
30,96
31,95
32,95
33,94
34,96
35,96
36,96
37,96
38,95
39,95
40,95
41,95
42,96
43,96
44,96
45,96
46,96
47,95
48,96
49,95
50,96
51,95
52,96
53,95
54,96
55,95
56,96
57,95
58,95
59,96
60,96
61,96
62,95
63,95
64,96
65,95
66,95
67,96
68,95
69,96
70,96
71,96
72,96
73,96
74,96
75,96
76,95
77,96
78,96
79,96
80,95
81,96
82,97
83,96
84,96
85,96
86,95
87,96
88,96
89,95
90,96
91,96
92,95
93,95
94,95
95,96
96,96
97,95
98,96
99,96
100,97
101,96
102,96
103,96
104,97
105,95
106,96
107,96
108,96
109,96
110,96
111,96
112,96
113,96
114,95
115,96
116,95
117,96
118,96
119,97
120,96
121,96
122,96
123,95
124,96
125,96
126,95
127,96
128,95
129,96
130,96
131,96
132,95
133,96
134,96
135,96
136,95
137,95
138,96
139,96
140,96
141,97
142,95
143,96
144,97
145,95
146,97
147,96
148,95
149,95
150,96
151,96
152,96
153,96
154,96
155,97
156,96
157,95
158,96
159,97
160,96
161,96
162,96
163,96
164,97
165,97
166,96
167,96
168,96
169,96
170,96
171,96
172,96
173,96
174,95
175,96
176,96
177,96
178,96
179,97
180,96
181,96
182,97
183,96
184,97
185,96
186,96
187,96
188,96
189,96
190,96
191,97
192,95
193,96
194,97
195,96
196,96
197,96
198,96
199,96
200,96
201,96
202,96
203,96
204,97
205,96
206,96
207,96
208,96
209,96
210,95
211,96
212,97
213,96
214,96
215,96
216,96
217,96
218,99
219,104
220,108
221,107
222,102
223,100
224,97
225,97
226,99
227,99
228,100
229,99
230,101
231,101
232,100
233,99
234,98
235,99
236,98
237,96
238,96
239,96
240,97
241,96
242,97
243,96
244,96
245,96
246,96
247,97
248,97
249,96
250,95
251,96
252,96
253,96
254,96
255,95
256,96
257,94
258,93
259,94
260,95
261,96
262,96
263,95
264,96
265,96
266,93
267,93
268,92
269,91
270,90
271,91
272,93
273,96
274,98
275,111
276,122
277,130
278,132
279,131
280,133
281,131
282,131
283,131
284,133
285,138
286,144
287,147
288,148
289,144
290,144
291,144
292,146
293,148
294,149
295,153
296,155
297,157
298,159
299,164
300,170
301,174
302,180
303,184
304,189
305,193
306,194
307,199
308,203
309,205
310,211
311,217
312,225
313,235
314,244
315,248
316,251
317,252
318,253
319,256
320,261
321,269
322,278
323,286
324,295
325,302
326,307
327,310
328,311
329,313
330,315
331,317
332,319
333,323
334,328
335,332
336,335
337,336
338,336
339,336
340,336
341,338
342,343
343,349
344,353
345,355
346,354
347,353
348,352
349,352
350,353
351,354
352,356
353,359
354,360
355,358
356,358
357,357
358,354
359,355
360,355
361,355
362,357
363,358
364,359
365,357
366,356
367,355
368,354
369,355
370,356
371,357
372,359
373,360
374,359
375,356
376,355
377,354
378,354
379,354
380,357
381,357
382,358
383,358
384,358
385,355
386,355
387,354
388,354
389,357
390,358
391,360
392,359
393,357
394,357
395,354
396,354
397,355
398,355
399,357
400,358
401,360
402,358
403,357
404,355
405,355
406,354
407,356
408,357
409,359
410,358
411,359
412,357
413,355
414,355
415,354
416,355
417,357
418,356
419,358
420,358
421,358
422,357
423,353
424,356
425,356
426,357
427,358
428,359
429,358
430,358
431,357
432,355
433,354
434,355
435,355
436,357
437,358
438,357
439,358
440,357
441,356
442,356
443,355
444,356
445,358
446,358
447,359
448,358
449,357
450,357
451,356
452,356
453,355
454,356
455,357
456,359
457,358
458,358
459,357
460,357
461,356
462,355
463,357
464,358
465,360
466,359
467,358
468,357
469,356
470,355
471,355
472,355
473,357
474,359
475,359
476,359
477,357
478,356
479,355
480,355
481,356
482,357
483,359
484,359
485,359
486,358
487,357
488,356
489,356
490,356
491,356
492,358
493,358
494,358
495,359
496,357
497,356
498,356
499,356
500,356
501,357
502,359
503,359
504,358
505,358
506,356
507,356
508,356
509,356
510,357
511,357
512,357
513,358
514,358
515,356
516,355
517,355
518,356
519,355
520,358
521,358
522,359
523,358
524,356
525,355
526,355
527,356
528,357
529,357
530,358
531,358
532,358
533,357
534,356
535,355
536,356
537,357
538,356
539,357
540,358
541,358
542,357
543,357
544,356
545,355
546,355
547,357
548,357
549,357
550,358
551,358
552,357
553,356
554,356
555,355
556,357
557,357
558,359
559,358
560,358
561,356
562,355
563,355
564,355
565,356
566,357
567,357
568,358
569,357
570,357
571,356
572,355
573,355
574,355
575,357
576,357
577,358
578,357
579,358
580,357
581,356
582,355
583,356
584,357
585,357
586,357
587,358
588,358
589,356
590,355
591,356
592,355
593,356
594,357
595,358
596,358
597,357
598,357
599,356
600,356
601,355
602,356
603,356
604,357
605,357
606,358
607,358
608,357
609,354
610,355
611,356
612,355
613,358
614,357
615,358
616,357
617,356
618,356
619,356
620,354
621,355
622,357
623,356
624,357
625,357
626,356
627,356
628,356
629,355
630,356
631,357
632,357
633,358
634,357
635,356
636,355
637,356
638,355
639,356
640,356
641,356
642,357
643,357
644,356
645,356
646,356
647,355
648,355
649,356
650,357
651,357
652,357
653,357
654,357
655,356
656,355
657,355
658,354
659,356
660,355
661,356
662,357
663,356
664,356
665,355
666,355
667,355
668,357
669,357
670,357
671,357
672,356
673,355
674,355
675,354
676,355
677,355
678,357
679,356
680,357
681,357
682,355
683,355
684,354
685,356
686,355
687,356
688,356
689,356
690,356
691,356
692,354
693,354
694,354
695,355
696,356
697,355
698,356
699,356
700,356
701,354
702,354
703,354
704,356
705,356
706,356
707,357
708,355
709,355
710,356
711,353
712,354
713,354
714,356
715,355
716,355
717,356
718,355
719,355
720,354
721,353
722,353
723,354
724,355
725,356
726,356
727,355
728,355
729,354
730,353
731,354
732,354
733,355
734,356
735,356
736,356
737,356
738,355
739,354
740,354
741,355
742,354
743,354
744,356
745,355
746,355
747,356
748,355
749,353
750,354
751,355
752,355
753,354
754,357
755,356
756,356
757,355
758,355
759,354
760,354
761,356
762,355
763,356
764,355
765,356
766,354
767,355
768,354
769,354
770,356
771,355
772,355
773,357
774,356
775,355
776,355
777,354
778,354
779,355
780,356
781,356
782,356
783,356
784,355
785,354
786,355
787,355
788,355
789,355
790,356
791,355
792,356
793,356
794,355
795,356
796,354
797,354
798,354
799,356
800,356
801,357
802,356
803,355
804,354
805,355
806,354
807,355
808,355
809,355
810,356
811,356
812,356
