,0
0,99
1,99
2,99
3,99
4,99
5,98
6,99
7,99
8,98
9,100
10,99
11,100
12,99
13,98
14,100
15,98
16,99
17,99
18,100
19,99
20,99
21,99
22,99
23,99
24,100
25,99
26,98
27,99
28,99
29,99
30,98
31,98
32,100
33,98
34,99
35,99
36,99
37,100
38,99
39,99
40,99
41,99
42,99
43,99
44,99
45,99
46,99
47,99
48,98
49,99
50,99
51,99
52,99
53,99
54,100
55,100
56,99
57,99
58,98
59,99
60,99
61,99
62,100
63,99
64,98
65,100
66,99
67,99
68,98
69,99
70,99
71,99
72,100
73,99
74,99
75,100
76,98
77,101
78,99
79,100
80,98
81,99
82,100
83,99
84,100
85,98
86,100
87,99
88,99
89,100
90,99
91,99
92,99
93,100
94,99
95,99
96,98
97,99
98,100
99,100
100,99
101,100
102,100
103,99
104,99
105,100
106,99
107,99
108,99
109,98
110,98
111,99
112,98
113,100
114,99
115,98
116,98
117,99
118,98
119,99
120,100
121,99
122,99
123,99
124,99
125,99
126,99
127,98
128,99
129,98
130,99
131,97
132,99
133,99
134,99
135,98
136,98
137,99
138,99
139,99
140,98
141,100
142,98
143,99
144,99
145,99
146,99
147,99
148,100
149,99
150,99
151,98
152,98
153,100
154,100
155,99
156,99
157,99
158,99
159,99
160,100
161,99
162,99
163,99
164,98
165,97
166,99
167,99
168,99
169,98
170,98
171,98
172,99
173,98
174,99
175,99
176,99
177,99
178,99
179,99
180,99
181,98
182,99
183,99
184,99
185,98
186,99
187,98
188,99
189,98
190,99
191,99
192,98
193,99
194,98
195,98
196,98
197,98
198,98
199,99
200,99
201,99
202,98
203,100
204,99
205,98
206,99
207,99
208,99
209,98
210,99
211,99
212,98
213,98
214,99
215,98
216,99
217,99
218,98
219,98
220,99
221,99
222,98
223,99
224,98
225,98
226,98
227,98
228,98
229,98
230,98
231,98
232,98
233,98
234,98
235,99
236,97
237,98
238,98
239,99
240,98
241,98
242,97
243,98
244,99
245,98
246,99
247,98
248,97
249,97
250,98
251,98
252,98
253,98
254,98
255,98
256,98
257,98
258,97
259,98
260,97
261,98
262,98
263,98
264,98
265,97
266,97
267,97
268,98
269,99
270,98
271,99
272,98
273,99
274,98
275,98
276,98
277,98
278,97
279,98
280,99
281,97
282,98
283,99
284,98
285,99
286,97
287,99
288,98
289,97
290,98
291,98
292,97
293,98
294,98
295,97
296,98
297,99
298,98
299,98
300,98
301,98
302,98
303,97
304,98
305,99
306,97
307,98
308,98
309,97
310,96
311,97
312,98
313,96
314,97
315,98
316,98
317,97
318,97
319,98
320,97
321,97
322,98
323,97
324,97
325,98
326,98
327,98
328,96
329,96
330,97
331,99
332,97
333,97
334,97
335,97
336,97
337,98
338,97
339,96
340,98
341,96
342,97
343,98
344,98
345,98
346,98
347,97
348,96
349,98
350,97
351,99
352,97
353,97
354,97
355,98
356,98
357,96
358,98
359,97
360,98
361,97
362,97
363,98
364,98
365,97
366,96
367,97
368,97
369,96
370,97
371,97
372,98
373,97
374,98
375,97
376,98
377,98
378,98
379,97
380,98
381,98
382,97
383,98
384,97
385,97
386,97
387,98
388,97
389,96
390,98
391,96
392,97
393,97
394,97
