,0
0,368
1,368
2,368
3,368
4,368
5,368
6,368
7,368
8,368
9,369
10,369
11,368
12,368
13,368
14,368
15,368
16,369
17,368
18,367
19,368
20,368
21,369
22,368
23,366
24,366
25,368
26,367
27,369
28,368
29,369
30,367
31,367
32,368
33,367
34,368
35,368
36,368
37,368
38,368
39,367
40,368
41,368
42,367
43,367
44,367
45,367
46,368
47,368
48,367
49,368
50,368
51,368
52,367
53,367
54,367
55,367
56,366
57,367
58,368
59,368
60,367
61,368
62,368
63,367
64,367
65,367
66,368
67,366
68,368
69,368
70,367
71,367
72,367
73,368
74,369
75,367
76,367
77,368
78,367
79,368
80,367
81,368
82,368
83,368
84,367
85,368
86,368
87,367
88,367
89,367
90,367
91,367
92,368
93,367
94,367
95,367
96,368
97,368
98,368
99,369
100,367
101,367
102,368
103,367
104,367
105,367
106,369
107,369
108,369
109,367
110,367
111,368
112,368
113,368
114,368
115,368
116,368
117,367
118,368
119,368
120,367
121,367
122,368
123,367
124,368
125,368
126,368
127,368
128,367
129,368
130,368
131,367
132,368
133,368
134,367
135,369
136,369
137,367
138,368
139,369
140,367
141,368
142,368
143,370
144,367
145,368
146,369
147,368
148,367
149,367
150,368
151,368
152,368
153,369
154,368
155,367
156,368
157,369
158,368
159,369
160,367
161,369
162,368
163,367
164,368
165,368
166,368
167,369
168,368
169,368
170,368
171,369
172,368
173,368
174,367
175,369
176,369
177,368
178,368
179,368
180,368
181,368
182,369
183,368
184,370
185,369
186,369
187,368
188,369
189,369
190,368
191,369
192,369
193,368
194,368
195,368
196,369
197,367
198,368
199,370
200,368
201,369
202,369
203,369
204,367
205,368
206,368
207,370
208,369
209,368
210,368
211,369
212,368
213,368
214,369
215,368
216,368
217,370
218,369
219,368
220,369
221,368
222,368
223,369
224,369
225,370
226,368
227,368
228,369
229,369
230,370
231,368
232,369
233,368
234,370
235,370
236,369
237,368
238,369
239,369
240,368
241,369
242,369
243,369
244,368
245,368
246,369
247,369
248,368
249,369
250,369
251,369
252,368
253,369
254,368
255,369
256,369
257,370
258,369
259,368
260,370
261,369
262,369
263,370
264,368
265,369
266,369
267,370
268,369
269,370
270,369
271,369
272,370
273,368
274,369
275,369
276,368
277,369
278,369
279,368
280,369
281,369
282,369
283,369
284,369
285,369
286,369
287,370
288,369
289,370
290,371
291,369
292,370
293,369
294,370
295,370
296,370
297,369
298,370
299,370
300,369
301,369
302,370
303,370
304,370
305,369
306,369
307,368
308,369
309,369
310,369
311,369
312,370
313,370
314,370
315,369
316,370
317,368
318,370
319,370
320,370
321,369
322,370
323,370
324,369
325,370
326,370
327,369
328,369
329,370
330,370
331,370
332,368
333,365
334,358
335,351
336,347
337,350
338,353
339,348
340,324
