,weight_class,weight_value,strain_value,time_start,time_end,read_offset,read_load,linreg_1
39,x_c_0,0.0,0.0,14:10:03,14:10:23,116,119,-15.758666234565851
55,x_c_0,0.0,0.0,14:10:30,14:10:50,118,122,-7.1100029622978695
51,x_c_0,0.0,0.0,14:09:36,14:09:56,119,124,-1.3442274474525107
30,x_c_r_0,0.0,0.0,14:15:26,14:15:46,124,125,1.5386603099701688
9,x_c_r_0,0.0,0.0,14:15:58,14:16:18,127,127,7.304435824815471
40,x_c_1,0.13842000000000002,185.3061326365375,14:11:53,14:12:13,119,187,180.2777012701755
27,x_c_1,0.13842000000000002,185.3061326365375,14:12:20,14:12:40,120,188,183.16058902759812
21,x_c_1,0.13842000000000002,185.3061326365375,14:11:29,14:11:49,120,189,186.04347678502086
50,x_c_r_1,0.13842000000000002,185.3061326365375,14:17:41,14:18:01,123,189,186.04347678502086
47,x_c_r_1,0.13842000000000002,185.3061326365375,14:16:52,14:17:12,123,191,191.80925229986622
26,x_c_1,0.13842000000000002,185.3061326365375,14:11:01,14:11:21,122,191,191.80925229986622
49,x_c_r_1,0.13842000000000002,185.3061326365375,14:18:07,14:18:27,125,192,194.69214005728884
3,x_c_r_1,0.13842000000000002,185.3061326365375,14:17:15,14:17:35,125,192,194.69214005728884
19,x_c_r_2,0.25007,334.77463219490636,14:20:18,14:20:38,130,248,356.1338544729582
22,x_c_r_2,0.25007,334.77463219490636,14:19:23,14:19:43,126,248,356.1338544729582
35,x_c_r_2,0.25007,334.77463219490636,14:18:55,14:19:15,127,248,356.1338544729582
38,x_c_r_2,0.25007,334.77463219490636,14:19:51,14:20:11,128,250,361.89962998780356
52,x_c_r_1_2,0.3368,450.88213749447937,14:22:11,14:22:31,130,289,474.33225252728755
36,x_c_r_1_2,0.3368,450.88213749447937,14:21:49,14:22:09,131,290,477.2151402847102
23,x_c_r_1_2,0.3368,450.88213749447937,14:21:02,14:21:22,129,290,477.2151402847102
16,x_c_r_1_2,0.3368,450.88213749447937,14:21:25,14:21:45,133,292,482.98091579955553
24,x_c_r_3_a,0.5493499999999999,735.4278569851311,14:24:06,14:24:26,133,389,762.6210282695542
20,x_c_r_3_a,0.5493499999999999,735.4278569851311,14:24:28,14:24:48,129,390,765.5039160269769
42,x_c_r_3_a,0.5493499999999999,735.4278569851311,14:23:44,14:24:04,132,391,768.3868037843995
8,x_c_r_3_a,0.5493499999999999,735.4278569851311,14:23:15,14:23:35,127,392,771.2696915418223
33,x_c_r_3_a_p_1,0.6360799999999999,851.5353622847042,14:25:38,14:25:58,133,429,877.936538566461
10,x_c_r_3_a_p_1,0.6360799999999999,851.5353622847042,14:26:28,14:26:48,129,431,883.7023140813062
56,x_c_r_3_a_p_1,0.6360799999999999,851.5353622847042,14:25:14,14:25:34,132,432,886.5852018387288
54,x_c_r_3_a_p_1,0.6360799999999999,851.5353622847042,14:26:04,14:26:24,131,432,886.5852018387288
43,x_c_r_3_a_p_2,0.7477299999999999,1001.0038618430731,14:27:27,14:27:47,126,475,1010.5493754079037
13,x_c_r_3_a_p_2,0.7477299999999999,1001.0038618430731,14:27:49,14:28:09,131,477,1016.3151509227489
12,x_c_r_3_a_p_2,0.7477299999999999,1001.0038618430731,14:28:37,14:28:57,128,478,1019.1980386801715
17,x_c_r_3_a_p_2,0.7477299999999999,1001.0038618430731,14:28:11,14:28:31,130,478,1019.1980386801715
5,x_c_r_3_a_p_2_p_1,0.8344599999999999,1117.1113671426463,14:30:08,14:30:28,133,520,1140.2793244919237
41,x_c_r_3_a_p_2_p_1,0.8344599999999999,1117.1113671426463,14:29:22,14:29:42,130,522,1146.045100006769
53,x_c_r_3_a_p_2_p_1,0.8344599999999999,1117.1113671426463,14:29:46,14:30:06,132,523,1148.9279877641916
28,x_c_r_3_a_p_2_p_1,0.8344599999999999,1117.1113671426463,14:30:33,14:30:53,132,523,1148.9279877641916
46,x_c_4,1.04882,1404.0801765052254,14:14:31,14:14:51,125,611,1402.6221104173862
11,x_c_4,1.04882,1404.0801765052254,14:13:15,14:13:35,123,611,1402.6221104173862
7,x_c_4,1.04882,1404.0801765052254,14:14:06,14:14:26,127,612,1405.504998174809
37,x_c_4,1.04882,1404.0801765052254,14:13:38,14:13:58,106,612,1405.504998174809
18,x_c_r_4,1.04882,1404.0801765052254,14:31:27,14:31:47,134,618,1422.802324719345
45,x_c_r_4,1.04882,1404.0801765052254,14:36:53,14:37:14,133,619,1425.6852124767677
6,x_c_r_4,1.04882,1404.0801765052254,14:31:58,14:32:18,135,619,1425.6852124767677
25,x_c_r_4,1.04882,1404.0801765052254,14:32:37,14:32:57,133,620,1428.5681002341903
32,x_c_r_4_p_1,1.13555,1520.1876818047986,14:38:52,14:39:13,136,660,1543.883610531097
1,x_c_r_4_p_1,1.13555,1520.1876818047986,14:39:47,14:40:07,135,661,1546.7664982885196
31,x_c_r_4_p_1,1.13555,1520.1876818047986,14:40:14,14:40:34,134,662,1549.6493860459423
0,x_c_r_4_p_1,1.13555,1520.1876818047986,14:40:40,14:41:00,133,663,1552.532273803365
15,x_c_r_4_p_2,1.2472,1669.6561813631672,14:41:28,14:41:48,137,708,1682.262222887385
2,x_c_r_4_p_2,1.2472,1669.6561813631672,14:41:59,14:42:19,138,708,1682.262222887385
34,x_c_r_4_p_2,1.2472,1669.6561813631672,14:42:56,14:43:16,139,712,1693.793773917076
29,x_c_r_4_p_2,1.2472,1669.6561813631672,14:42:27,14:42:47,139,715,1702.4424371893435
44,x_c_r_4_p_2_p_1,1.33393,1785.7636866627402,14:43:55,14:44:15,136,750,1803.343508699137
48,x_c_r_4_p_2_p_1,1.33393,1785.7636866627402,14:44:20,14:44:40,141,750,1803.343508699137
4,x_c_r_4_p_2_p_1,1.33393,1785.7636866627402,14:45:02,14:45:22,139,753,1811.992171971405
