,0
0,91
1,90
2,92
3,90
4,91
5,91
6,92
7,92
8,91
9,91
10,92
11,91
12,91
13,90
14,91
15,90
16,91
17,92
18,92
19,92
20,92
21,92
22,91
23,92
24,90
25,91
26,90
27,92
28,91
29,91
30,91
31,92
32,91
33,91
34,91
35,91
36,91
37,92
38,91
39,91
40,90
41,92
42,91
43,91
44,92
45,91
46,90
47,90
48,91
49,91
50,91
51,91
52,91
53,91
54,91
55,91
56,90
57,91
58,91
59,91
60,91
61,91
62,91
63,92
64,91
65,92
66,91
67,91
68,91
69,91
70,91
71,91
72,91
73,91
74,92
75,91
76,91
77,91
78,91
79,91
80,91
81,92
82,91
83,90
84,92
85,91
86,91
87,91
88,91
89,91
90,91
91,91
92,92
93,92
94,91
95,92
96,92
97,91
98,92
99,92
100,91
101,92
102,90
103,91
104,91
105,92
106,91
107,92
108,92
109,91
110,92
111,92
112,91
113,91
114,92
115,92
116,90
117,92
118,91
119,92
120,93
121,91
122,91
123,91
124,90
125,91
126,92
127,90
128,91
129,91
130,91
131,92
132,92
133,91
134,92
135,92
136,91
137,91
138,91
139,92
140,90
141,91
142,91
143,91
144,90
145,91
146,90
147,92
148,91
149,92
150,92
151,91
152,91
153,91
154,92
155,91
156,91
157,91
158,93
159,92
160,92
161,91
162,91
163,91
164,91
165,91
166,92
167,91
168,91
169,91
170,90
171,93
172,91
173,92
174,90
175,92
176,91
177,92
178,91
179,91
180,92
181,92
182,91
183,92
184,91
185,91
186,91
187,91
188,91
189,91
190,91
191,92
192,92
193,92
194,91
195,92
196,92
197,92
198,91
199,92
200,91
201,91
202,91
203,91
204,92
205,92
206,93
207,92
208,91
209,91
210,91
211,91
212,92
213,92
214,91
215,91
216,92
217,91
218,91
219,91
220,91
221,91
222,92
223,92
224,91
225,92
226,92
227,92
228,91
229,91
230,91
231,91
232,91
233,92
234,92
235,92
236,93
237,92
238,91
239,92
240,92
241,92
242,91
243,92
244,92
245,92
246,91
247,92
248,92
249,92
250,92
251,92
252,91
253,91
254,92
255,92
256,91
257,92
258,92
259,91
260,93
261,91
262,93
263,93
264,92
265,92
266,92
267,93
268,90
269,92
270,93
271,93
272,91
273,91
274,92
275,92
276,90
277,92
278,92
279,91
280,92
281,93
282,92
283,91
284,92
285,92
286,92
287,92
288,91
289,92
290,91
291,91
292,93
293,91
294,92
295,91
296,92
297,91
298,91
299,92
300,92
301,91
302,91
303,91
304,92
305,92
306,91
307,92
308,91
309,92
310,92
311,93
312,93
313,92
314,92
315,91
316,91
317,92
318,92
319,91
320,92
321,92
322,91
323,91
324,91
325,92
326,93
327,91
328,91
329,92
330,92
331,91
332,91
333,92
334,92
335,92
336,92
337,91
338,91
339,91
340,92
341,92
342,92
343,91
344,92
345,92
346,92
347,92
348,92
349,92
350,92
351,92
352,90
353,91
354,92
355,91
356,91
357,92
358,91
359,92
360,92
361,92
362,93
363,92
364,92
365,92
366,92
367,91
368,92
369,92
370,93
371,92
372,92
373,91
374,92
375,92
376,92
377,92
378,93
379,92
380,92
381,92
382,92
383,91
384,91
385,92
386,91
387,91
388,92
389,91
390,93
391,92
392,90
393,92
394,91
395,91
396,92
397,91
398,93
399,92
400,92
401,92
402,92
403,92
404,91
405,91
406,92
407,91
408,91
409,91
410,92
411,92
412,93
413,92
414,92
415,92
416,91
417,92
418,91
419,91
420,92
421,92
422,92
423,91
424,93
425,91
426,92
427,91
428,92
429,92
430,91
431,91
432,91
433,92
434,92
435,91
436,93
437,91
438,91
439,92
440,91
441,93
442,92
443,92
444,91
445,92
446,92
447,92
448,92
449,91
450,91
451,92
452,92
453,92
454,92
455,91
456,92
457,92
458,91
459,92
460,92
461,92
462,91
463,92
464,92
465,91
466,92
467,93
468,92
469,91
470,92
471,92
472,92
473,92
474,90
475,92
476,92
477,93
478,92
479,91
480,92
481,91
482,92
483,91
484,92
485,92
486,92
487,93
488,92
489,93
490,91
491,93
492,92
493,93
494,93
495,92
496,92
497,92
498,92
499,93
500,93
501,92
502,92
503,91
504,93
505,93
506,92
507,92
508,92
509,92
510,93
511,92
512,93
513,92
514,92
515,92
516,91
517,92
518,92
519,92
520,93
521,92
522,92
523,92
524,92
525,92
526,92
527,93
528,93
529,91
530,91
531,92
532,92
533,91
534,92
535,92
536,91
537,92
538,91
539,92
540,93
541,92
542,92
543,92
544,91
545,92
546,92
547,94
548,92
549,92
550,91
551,92
552,93
553,92
554,93
555,93
556,92
557,92
558,92
559,93
560,91
561,92
562,91
563,92
564,92
565,92
566,92
567,92
568,92
569,92
570,92
571,92
572,93
573,91
574,93
575,92
576,92
577,92
578,93
579,92
580,92
581,91
582,92
583,92
584,92
585,92
586,93
587,92
588,91
589,92
590,92
591,92
592,93
593,92
594,92
595,92
596,91
597,92
598,92
599,92
600,93
601,91
602,91
603,93
604,93
605,92
606,93
607,92
608,92
609,91
610,92
611,91
612,92
613,91
614,92
615,92
616,92
617,92
618,92
619,93
620,92
621,93
622,92
623,92
624,91
625,92
626,92
627,91
628,93
629,92
630,91
631,91
632,92
633,92
634,92
635,92
636,91
637,92
638,92
639,92
640,93
641,92
642,93
643,92
644,91
645,92
646,93
647,93
648,92
649,92
650,92
651,92
652,92
653,93
654,91
655,93
656,92
657,93
658,91
659,92
660,93
661,93
662,92
663,93
664,92
665,92
666,92
667,92
668,92
669,92
670,92
671,92
672,91
673,92
674,92
675,94
676,92
677,92
678,92
679,92
680,92
681,92
682,92
683,92
684,93
685,91
686,93
687,91
688,92
689,92
690,91
691,92
692,92
693,92
694,92
695,92
696,92
697,91
698,92
699,92
700,92
701,92
702,93
703,92
704,92
705,92
706,92
707,93
708,92
709,92
710,93
711,92
712,92
713,92
714,91
715,91
716,92
717,91
718,93
719,93
720,92
721,92
722,92
723,93
724,91
725,91
726,92
727,92
728,91
729,93
730,92
731,92
732,93
733,92
734,92
735,92
736,92
737,92
738,92
739,91
740,92
741,93
742,93
743,93
744,92
745,93
746,92
747,92
748,92
749,93
750,92
751,92
752,92
753,93
754,93
755,92
756,93
757,92
758,92
759,92
760,93
761,93
762,93
763,93
764,91
765,92
766,93
767,92
768,93
769,91
770,92
771,92
772,92
773,93
774,92
775,92
776,92
777,92
778,93
779,92
780,92
781,93
782,92
783,92
784,93
785,93
786,92
787,91
788,92
789,92
790,92
791,92
792,92
793,93
794,92
795,92
796,92
797,93
798,92
799,93
800,92
801,93
802,93
803,93
804,92
805,92
806,91
807,92
808,92
809,93
810,93
811,92
812,92
813,92
814,92
815,92
816,93
817,92
818,93
819,92
820,92
821,92
822,93
823,93
824,92
825,92
826,93
827,93
828,92
829,92
830,92
831,92
832,92
833,93
834,92
835,93
836,92
837,92
838,92
839,92
840,92
841,93
842,91
843,92
844,92
845,92
846,91
847,93
848,92
849,92
850,92
851,92
852,94
853,93
854,93
855,92
856,92
857,91
858,92
859,93
860,92
861,92
862,93
863,93
864,92
865,92
866,93
867,92
868,92
869,92
870,92
871,93
872,92
873,94
874,92
875,92
876,92
877,93
878,91
879,92
880,92
881,91
882,93
883,93
884,92
885,92
886,92
887,92
888,93
889,93
890,92
891,93
892,93
893,92
894,93
895,92
896,93
897,92
898,93
899,94
900,93
901,93
902,92
903,93
904,92
905,93
906,92
907,93
908,93
909,93
910,92
911,92
912,93
913,93
914,93
915,93
916,92
917,92
918,92
919,92
920,93
921,92
922,93
923,92
924,93
925,93
926,92
927,91
928,92
929,91
930,93
931,92
932,93
933,92
934,92
935,93
936,93
937,94
938,93
939,92
940,92
941,87
942,80
943,80
944,84
945,94
946,104
947,107
948,104
949,103
950,101
951,96
952,93
953,93
954,92
955,94
956,98
957,100
958,99
