,0
0,343
1,344
2,346
3,349
4,348
5,348
6,346
7,344
8,344
9,344
10,344
11,348
12,348
13,348
14,347
15,346
16,344
17,344
18,344
19,345
20,347
21,347
22,349
23,348
24,347
25,346
26,343
27,344
28,345
29,345
30,346
31,347
32,349
33,347
34,348
35,345
36,343
37,344
38,344
39,347
40,348
41,348
42,348
43,346
44,344
45,344
46,344
47,345
48,347
49,348
50,348
51,348
52,347
53,345
54,342
55,342
56,343
57,345
58,349
59,350
60,350
61,348
62,345
63,342
64,341
65,343
66,346
67,347
68,347
69,346
70,344
71,347
72,349
73,349
74,348
75,346
76,344
77,341
78,340
79,342
80,347
81,350
82,352
83,350
84,345
85,341
86,339
87,341
88,345
89,349
90,352
91,352
92,348
93,344
94,340
95,339
96,342
97,347
98,349
99,351
100,350
101,347
102,343
103,342
104,341
105,343
106,345
107,348
108,351
109,350
110,348
111,345
112,343
113,342
114,343
115,345
116,348
117,350
118,350
119,348
120,345
121,343
122,340
123,341
124,345
125,347
126,351
127,352
128,349
129,344
130,341
131,340
132,342
133,346
134,348
135,349
136,350
137,348
138,345
139,342
140,340
141,342
142,345
143,347
144,349
145,349
146,348
147,346
148,343
149,342
150,342
151,344
152,347
153,349
154,349
155,348
156,345
157,343
158,341
159,342
160,345
161,348
162,350
163,349
164,349
165,345
166,342
167,342
168,342
169,345
170,347
171,350
172,348
173,347
174,344
175,342
176,342
177,343
178,345
179,347
180,348
181,349
182,349
183,345
184,344
185,342
186,344
187,345
188,346
189,348
190,348
191,347
192,346
193,342
194,343
195,344
196,344
197,347
198,348
199,348
200,347
201,346
202,345
203,344
204,344
205,345
206,347
207,348
208,348
209,347
210,345
211,344
212,344
213,344
214,346
215,347
216,347
217,348
218,346
219,346
220,346
221,345
222,344
223,344
224,347
225,347
226,347
227,347
228,346
229,345
230,345
231,344
232,345
233,346
234,346
235,347
236,347
237,347
238,346
239,345
240,345
241,346
242,345
243,346
244,347
245,347
246,347
247,346
248,346
249,346
250,345
251,345
252,346
253,348
254,347
255,347
256,347
257,347
258,346
259,345
260,346
261,345
262,346
263,346
264,346
265,346
266,347
267,348
268,346
269,346
270,345
271,345
272,347
273,346
274,347
275,347
276,347
277,347
278,347
279,346
280,346
281,345
282,346
283,347
284,347
285,347
286,346
287,345
288,347
289,346
290,347
291,347
292,348
293,347
294,347
295,346
296,345
297,346
298,347
299,346
300,346
301,348
302,347
303,345
304,346
305,345
306,346
307,347
308,347
309,346
310,346
311,346
312,345
313,346
314,346
315,345
316,346
317,347
318,346
319,346
320,347
321,346
322,346
323,345
324,347
325,346
326,346
327,346
328,346
329,345
330,346
331,346
332,346
333,346
334,347
335,346
336,345
337,346
338,346
339,345
340,346
341,346
342,346
343,346
344,345
345,346
346,347
347,345
348,347
349,346
350,345
351,346
352,345
353,345
354,345
355,347
356,346
357,345
358,346
359,346
360,345
361,345
362,346
363,346
364,347
365,346
366,346
367,345
368,345
369,345
370,345
371,346
372,345
373,345
374,345
375,345
376,346
377,346
378,345
379,345
380,345
381,346
382,346
383,345
384,346
385,346
386,345
387,346
388,345
389,345
390,345
391,346
392,345
393,346
394,345
395,345
396,346
397,345
398,345
399,346
400,345
401,346
402,345
403,345
404,345
405,344
406,345
407,345
408,345
409,346
410,345
411,346
412,346
413,345
414,346
415,346
416,345
417,347
418,346
419,346
420,345
421,345
422,346
423,346
424,345
425,346
426,345
427,347
428,346
429,345
430,346
431,346
432,347
433,347
434,347
435,346
436,345
437,346
438,346
439,347
440,347
441,346
442,348
443,346
444,345
445,346
446,345
447,346
448,347
449,347
450,347
451,346
452,347
453,347
454,347
455,347
456,346
457,346
458,346
459,347
460,347
461,347
462,347
463,346
464,346
465,346
466,347
467,347
468,346
469,347
470,348
471,347
472,347
473,346
474,346
475,347
476,347
477,347
478,347
479,346
480,346
481,348
482,346
483,347
484,347
485,347
486,347
487,347
488,347
489,348
490,347
491,347
492,346
493,347
494,347
495,347
496,348
497,347
498,346
499,347
500,347
501,347
502,347
503,346
504,347
505,347
506,347
507,348
508,346
509,348
510,348
511,348
512,347
513,346
514,346
515,349
516,350
517,348
518,347
519,345
520,345
521,346
522,348
523,349
524,350
525,349
526,348
527,347
528,345
529,346
530,346
531,349
532,349
533,349
534,348
535,347
536,346
537,346
538,347
539,348
540,349
541,349
542,348
543,348
544,348
545,348
546,348
547,348
548,347
549,347
550,348
551,349
552,348
553,349
554,348
555,348
556,347
557,346
558,347
559,349
560,349
561,350
562,349
563,348
564,347
565,346
566,347
567,347
568,349
569,351
570,350
571,349
572,348
573,348
574,347
575,347
576,348
577,349
578,350
579,350
580,350
581,349
582,348
583,349
584,347
585,348
586,348
587,350
588,350
589,351
590,350
591,349
592,348
593,347
594,347
595,349
596,348
597,350
598,352
599,351
600,349
601,349
602,348
603,347
604,346
605,348
606,350
607,350
608,352
609,352
610,350
611,347
612,346
613,345
614,348
615,350
616,351
617,352
618,351
619,350
620,349
621,347
622,348
623,347
624,348
625,350
626,352
627,352
628,351
629,348
630,347
631,348
632,348
633,348
634,350
635,353
636,352
637,352
638,351
639,350
640,348
641,347
642,349
643,349
644,350
645,352
646,352
647,350
648,349
649,347
650,347
651,348
652,350
653,351
654,353
655,353
656,350
657,349
658,348
659,348
660,349
661,350
662,352
663,352
664,352
665,351
666,350
667,347
668,348
669,349
670,350
671,352
672,352
673,352
674,352
675,350
676,348
677,348
678,348
679,350
680,350
681,352
682,353
683,352
684,350
685,348
686,348
687,347
688,349
689,352
690,353
691,352
692,352
693,350
694,349
695,348
696,348
697,348
698,351
699,352
700,353
701,352
702,351
703,350
704,349
705,348
706,350
707,351
708,352
709,353
710,353
711,351
712,351
713,348
714,349
715,350
716,350
717,352
718,353
719,353
720,351
721,350
722,349
723,349
724,350
725,350
726,351
727,353
728,352
729,352
730,350
731,350
732,349
733,348
734,351
735,351
736,352
737,352
738,352
739,351
740,349
741,350
742,349
743,350
744,350
745,353
746,352
747,352
748,351
749,350
750,348
751,349
752,349
753,351
754,352
755,353
756,352
757,351
758,350
759,350
760,350
761,350
762,350
763,352
764,352
765,353
766,353
767,351
768,348
769,349
770,350
771,349
772,352
773,353
774,352
775,352
776,351
777,350
778,350
779,349
780,349
781,352
782,353
783,353
784,352
785,352
786,350
787,350
788,349
789,350
790,350
791,353
792,352
793,353
794,352
795,350
796,351
797,349
798,349
799,351
800,352
801,353
802,354
803,352
804,351
805,350
806,350
807,349
808,349
809,352
810,352
811,354
812,352
813,351
814,351
815,350
816,349
817,351
818,352
819,353
820,352
821,352
822,351
823,350
824,350
825,349
826,350
827,352
828,353
829,353
830,353
831,352
832,351
833,350
834,350
835,351
836,353
837,354
838,353
839,353
840,353
841,351
842,350
843,351
844,351
845,351
846,352
847,353
848,353
849,352
850,351
851,350
852,350
853,350
854,350
855,353
856,353
857,356
858,352
859,351
860,349
861,350
862,350
863,352
864,351
865,353
866,355
867,353
868,353
869,350
870,349
871,350
872,351
873,353
874,353
875,354
876,354
877,352
878,350
879,348
880,349
881,350
882,351
883,353
884,355
885,352
886,353
887,351
888,350
889,350
890,350
891,351
892,353
893,354
894,354
895,352
896,351
897,349
898,349
899,350
900,351
901,354
902,353
903,354
904,352
905,350
906,349
907,350
908,350
909,351
910,353
911,354
912,353
913,352
914,350
915,350
916,348
917,350
918,350
919,351
920,350
921,344
922,328
923,305
924,279
925,255
926,230
927,204
928,182
929,170
930,170
931,181
932,196
933,205
934,202
935,193
936,178
937,158
938,141
939,132
940,132
941,139
942,148
943,158
944,167
945,171
946,168
947,159
948,145
949,123
950,112
951,110
952,108
953,104
954,102
955,98
956,95
957,92
958,88
959,86
960,84
961,82
962,80
963,79
964,77
965,77
966,77
967,78
968,79
969,80
970,81
971,83
972,84
973,88
974,88
975,91
976,93
977,94
978,96
979,97
980,98
981,100
982,100
983,101
984,101
985,101
986,101
987,100
988,99
989,99
990,97
991,96
992,96
993,94
994,93
995,92
996,91
997,89
998,88
999,88
1000,87
1001,88
1002,87
1003,87
1004,87
1005,87
1006,87
1007,88
1008,89
1009,89
1010,89
1011,89
1012,90
1013,91
1014,91
1015,93
1016,93
1017,93
1018,95
1019,95
1020,96
1021,95
1022,96
1023,95
1024,95
1025,95
1026,95
1027,94
1028,94
1029,95
1030,95
1031,94
1032,94
1033,93
1034,92
1035,92
1036,92
1037,92
1038,92
1039,92
1040,88
1041,91
1042,89
1043,90
1044,89
1045,88
1046,90
1047,89
1048,90
1049,88
1050,90
1051,90
1052,91
1053,91
1054,93
1055,92
1056,93
1057,93
1058,94
1059,93
1060,95
1061,94
1062,95
1063,94
1064,95
1065,95
1066,95
1067,96
1068,94
1069,94
1070,95
1071,93
1072,93
1073,93
1074,93
1075,93
1076,92
1077,93
1078,92
1079,93
1080,92
1081,91
1082,92
1083,92
1084,90
1085,91
1086,91
1087,91
1088,91
1089,92
1090,93
1091,91
1092,91
1093,91
1094,92
1095,91
1096,93
1097,92
1098,93
1099,93
1100,93
1101,92
1102,94
1103,93
1104,94
1105,93
1106,93
1107,93
1108,93
1109,93
1110,93
1111,92
1112,93
1113,93
1114,93
1115,93
1116,93
1117,92
1118,92
1119,93
1120,92
1121,92
1122,91
1123,93
1124,92
1125,92
1126,93
1127,92
1128,92
1129,94
1130,93
1131,94
1132,93
1133,93
1134,93
1135,93
1136,92
1137,93
1138,94
1139,93
1140,92
1141,93
1142,93
1143,92
1144,93
1145,92
1146,93
1147,93
1148,92
1149,93
1150,93
1151,92
1152,92
1153,93
1154,91
1155,93
1156,92
1157,93
1158,92
1159,93
1160,93
1161,92
1162,92
1163,93
1164,92
1165,92
1166,92
1167,92
1168,93
1169,92
1170,92
1171,92
1172,92
1173,93
1174,92
1175,92
1176,93
1177,91
1178,93
1179,93
1180,92
1181,92
1182,93
1183,93
1184,92
1185,93
1186,93
1187,92
1188,92
1189,93
1190,91
1191,93
1192,91
1193,93
1194,92
1195,92
1196,92
1197,92
1198,91
1199,92
1200,93
1201,92
1202,91
1203,92
1204,92
1205,92
1206,90
1207,91
1208,90
1209,90
1210,91
1211,91
1212,92
1213,91
1214,91
1215,91
1216,91
1217,92
1218,92
1219,92
1220,90
1221,91
1222,93
1223,91
1224,92
1225,91
1226,90
1227,91
1228,91
1229,90
1230,90
1231,91
1232,93
1233,91
1234,90
1235,92
1236,91
1237,91
1238,90
1239,91
1240,91
1241,91
1242,90
1243,91
1244,91
1245,90
1246,90
1247,91
1248,90
1249,90
1250,91
1251,90
1252,90
1253,90
1254,91
1255,90
1256,89
1257,90
1258,90
1259,90
1260,91
1261,90
1262,90
1263,90
1264,90
1265,90
1266,90
1267,90
1268,90
1269,91
1270,90
1271,90
1272,90
1273,90
1274,90
1275,90
1276,90
1277,89
1278,90
1279,91
1280,90
1281,90
1282,90
1283,90
1284,89
1285,89
1286,90
1287,90
1288,90
1289,88
1290,89
1291,88
1292,90
1293,90
1294,90
1295,90
1296,89
1297,90
1298,89
1299,91
1300,89
1301,89
1302,90
1303,90
1304,89
1305,91
1306,91
1307,89
1308,89
1309,92
1310,89
1311,90
1312,90
1313,90
1314,90
1315,89
1316,89
1317,90
1318,90
1319,89
1320,89
1321,91
1322,90
1323,89
1324,90
1325,90
1326,90
1327,90
1328,90
1329,90
1330,90
1331,90
1332,90
1333,89
1334,90
1335,89
1336,89
1337,90
1338,89
1339,90
1340,89
1341,89
1342,89
1343,90
1344,90
1345,90
1346,90
1347,90
1348,89
1349,89
1350,89
1351,90
1352,89
1353,89
1354,89
1355,89
1356,90
1357,89
1358,90
1359,89
1360,88
1361,89
1362,89
1363,89
1364,90
1365,90
1366,89
1367,89
1368,90
1369,89
1370,89
1371,90
1372,89
1373,90
1374,89
1375,89
1376,89
1377,89
1378,89
1379,88
1380,90
1381,89
1382,89
1383,89
1384,90
1385,89
1386,89
1387,89
1388,89
1389,89
1390,89
1391,90
1392,90
1393,90
1394,89
1395,89
1396,90
1397,90
1398,90
1399,89
1400,90
1401,89
1402,90
1403,90
1404,89
1405,88
1406,89
1407,91
1408,90
1409,90
1410,89
1411,89
1412,89
1413,89
1414,89
1415,90
1416,89
1417,91
1418,89
1419,89
1420,89
1421,90
1422,91
1423,90
1424,90
1425,89
1426,90
1427,88
1428,90
1429,90
1430,89
1431,89
1432,89
1433,89
1434,89
1435,90
1436,89
1437,89
1438,90
1439,89
1440,89
1441,91
1442,89
1443,90
1444,90
1445,90
1446,89
1447,89
1448,90
1449,89
1450,90
1451,90
1452,90
1453,90
1454,91
1455,89
1456,90
1457,89
1458,90
1459,90
1460,90
1461,90
1462,90
1463,91
1464,89
1465,89
1466,90
1467,90
1468,90
1469,91
1470,90
1471,89
1472,90
1473,90
1474,91
1475,90
1476,91
1477,90
1478,89
1479,89
1480,90
1481,90
1482,90
1483,90
1484,90
1485,90
1486,90
1487,90
1488,90
1489,90
1490,90
1491,90
1492,90
1493,90
1494,90
1495,91
1496,90
1497,90
1498,90
1499,90
1500,91
1501,91
1502,91
1503,91
1504,90
1505,90
1506,91
1507,91
1508,91
1509,91
1510,90
1511,90
1512,91
1513,91
1514,90
1515,91
1516,92
1517,90
1518,91
1519,91
1520,91
1521,90
1522,92
1523,91
1524,92
1525,91
1526,92
1527,91
1528,90
1529,92
1530,93
1531,91
1532,92
1533,91
1534,91
1535,91
1536,91
1537,92
1538,90
1539,91
1540,90
1541,91
1542,91
1543,92
1544,91
1545,91
1546,91
1547,92
1548,91
1549,91
1550,92
1551,92
1552,92
1553,90
1554,91
1555,92
1556,92
1557,91
1558,91
1559,91
1560,92
1561,90
1562,92
1563,91
1564,92
1565,91
1566,93
1567,91
1568,91
1569,92
1570,91
1571,92
1572,92
1573,91
1574,92
1575,91
1576,92
1577,94
1578,91
1579,91
1580,92
1581,91
1582,92
1583,92
1584,91
1585,92
1586,92
1587,91
1588,91
1589,91
1590,92
1591,93
1592,92
1593,92
1594,90
1595,92
1596,91
1597,91
1598,91
1599,93
1600,93
1601,92
1602,92
1603,92
1604,91
1605,91
1606,92
1607,92
1608,92
1609,92
1610,92
1611,92
1612,92
1613,92
1614,93
1615,92
1616,92
1617,92
1618,91
1619,92
1620,91
1621,93
1622,93
1623,93
1624,92
1625,92
1626,92
1627,93
1628,94
1629,93
1630,93
1631,93
1632,93
1633,93
1634,93
1635,94
1636,93
1637,94
1638,93
1639,93
1640,93
1641,93
1642,94
1643,93
1644,92
1645,92
1646,92
1647,92
1648,93
1649,92
1650,91
1651,93
1652,91
1653,92
1654,92
1655,94
1656,92
1657,93
1658,93
1659,93
1660,92
