,0
0,128
1,127
2,128
3,127
4,127
5,128
6,129
7,127
8,127
9,127
10,127
11,128
12,127
13,128
14,128
15,128
16,128
17,128
18,127
19,128
20,129
21,127
22,128
23,127
24,128
25,127
26,128
27,128
28,128
29,127
30,128
31,128
32,127
33,128
34,127
35,127
36,127
37,128
38,126
39,127
40,128
41,128
42,128
43,127
44,127
45,127
46,126
47,127
48,127
49,127
50,127
51,126
52,128
53,128
54,128
55,127
56,128
57,127
58,126
59,127
60,128
61,127
62,128
63,127
64,128
65,127
66,127
67,126
68,128
69,127
70,127
71,127
72,127
73,127
74,128
75,127
76,127
77,127
78,127
79,127
80,127
81,127
82,127
83,127
84,128
85,127
86,126
87,127
88,126
89,126
90,127
91,127
92,126
93,127
94,126
95,126
96,127
97,127
98,126
99,125
100,125
101,126
102,125
103,126
104,127
105,125
106,125
107,126
108,126
109,125
110,125
111,126
112,125
113,125
114,125
115,126
116,126
117,125
118,125
119,126
120,125
121,126
122,125
123,126
124,125
125,125
126,125
127,125
128,125
129,125
130,124
131,125
132,125
133,124
134,125
135,125
136,125
137,124
138,125
139,125
140,125
141,126
142,124
143,124
144,125
145,125
146,125
147,125
148,125
149,125
150,125
151,126
152,125
153,125
154,126
155,125
156,125
157,126
158,125
159,124
160,125
161,125
162,125
163,126
164,126
165,125
166,125
167,124
168,125
169,126
170,125
171,125
172,126
173,125
174,125
175,125
176,125
177,125
178,125
179,125
180,125
181,125
182,125
183,126
184,126
185,126
186,125
187,126
188,125
189,126
190,126
191,125
192,125
193,126
194,125
195,125
196,125
197,125
198,125
199,126
200,125
201,126
202,126
203,126
204,125
205,125
206,125
207,125
208,125
209,126
210,126
211,125
212,126
213,124
214,125
215,126
216,125
217,126
218,124
219,125
220,125
221,125
222,124
223,126
224,126
225,126
226,125
227,125
228,123
229,124
230,126
231,128
232,132
233,135
234,121
235,130
236,123
237,122
238,123
239,140
240,152
241,156
242,154
243,148
244,136
245,125
246,125
247,126
248,123
249,114
250,108
251,110
252,112
253,121
254,126
255,129
256,146
257,162
258,174
259,180
260,180
261,174
262,162
263,148
264,135
265,124
266,124
267,124
268,125
269,126
270,132
271,143
272,155
273,165
274,168
275,163
276,153
277,140
278,127
279,120
280,119
281,115
282,112
283,112
284,116
285,120
286,125
287,130
288,135
289,138
290,141
291,143
292,145
293,145
294,144
295,143
296,144
297,145
298,147
299,150
300,150
301,153
302,152
303,152
304,149
305,146
306,142
307,140
308,138
309,139
310,142
311,147
312,153
313,160
314,169
315,179
316,187
317,194
318,201
319,208
320,217
321,223
322,230
323,238
324,247
325,258
326,268
327,280
328,290
329,300
330,309
331,314
332,320
333,326
334,332
335,340
336,349
337,360
338,373
339,384
340,397
341,408
342,416
343,423
344,431
345,440
346,450
347,459
348,469
349,477
350,487
351,496
352,504
353,514
354,522
355,530
356,535
357,539
358,544
359,546
360,548
361,549
362,549
363,551
364,555
365,560
366,568
367,573
368,579
369,585
370,590
371,592
372,595
373,596
374,596
375,595
376,596
377,596
378,596
379,598
380,602
381,606
382,611
383,614
384,618
385,621
386,622
387,622
388,623
389,622
390,623
391,622
392,620
393,617
394,613
395,611
396,613
397,613
398,614
399,613
400,614
401,613
402,612
403,611
404,611
405,611
406,610
407,611
408,612
409,612
410,614
411,614
412,614
413,614
414,613
415,613
416,613
417,611
418,611
419,611
420,611
421,612
422,613
423,613
424,613
425,614
426,614
427,613
428,613
429,612
430,612
431,611
432,612
433,613
434,615
435,614
436,615
437,615
438,613
439,613
440,612
441,612
442,611
443,611
444,612
445,612
446,613
447,614
448,614
449,614
450,613
451,614
452,614
453,614
454,611
455,611
456,609
457,612
458,612
459,613
460,613
461,614
462,613
463,613
464,613
465,612
466,611
467,612
468,612
469,612
470,613
471,615
472,614
473,615
474,614
475,613
476,613
477,612
478,612
479,611
480,610
481,612
482,612
483,613
484,614
485,614
486,615
487,615
488,614
489,612
490,611
491,611
492,610
493,612
494,612
495,612
496,613
497,614
498,614
499,613
500,613
501,613
502,613
503,612
504,612
505,613
506,614
507,613
508,614
509,614
510,614
511,614
512,613
513,613
514,611
515,612
516,612
517,611
518,612
519,612
520,613
521,614
522,614
523,615
524,614
525,614
526,612
527,612
528,612
529,611
530,611
531,612
532,611
533,612
534,613
535,613
536,613
537,614
538,614
539,615
540,614
541,614
542,612
543,610
544,611
545,611
546,611
547,612
548,614
549,615
550,615
551,616
552,614
553,613
554,610
555,609
556,608
