,0
0,288
1,291
2,290
3,291
4,289
5,288
6,287
7,288
8,289
9,290
10,291
11,289
12,289
13,288
14,289
15,288
16,289
17,290
18,289
19,289
20,288
21,287
22,290
23,290
24,290
25,290
26,289
27,288
28,287
29,289
30,290
31,292
32,290
33,290
34,288
35,287
36,287
37,290
38,290
39,290
40,290
41,289
42,289
43,287
44,289
45,291
46,291
47,290
48,289
49,287
50,287
51,288
52,291
53,290
54,290
55,289
56,288
57,287
58,289
59,290
60,290
61,290
62,289
63,289
64,288
65,288
66,290
67,291
68,290
69,290
70,287
71,287
72,289
73,288
74,289
75,290
76,289
77,288
78,287
79,287
80,289
81,290
82,290
83,290
84,288
85,289
86,288
87,289
88,289
89,289
90,290
91,289
92,288
93,288
94,288
95,288
96,290
97,289
98,290
99,288
100,287
101,287
102,289
103,290
104,290
105,290
106,289
107,289
108,288
109,288
110,288
111,291
112,289
113,288
114,288
115,287
116,288
117,290
118,291
119,291
120,288
121,288
122,287
123,288
124,288
125,289
126,290
127,290
128,289
129,288
130,289
131,288
132,290
133,290
134,290
135,289
136,288
137,287
138,289
139,290
140,291
141,292
142,290
143,288
144,288
145,287
146,288
147,290
148,290
149,289
150,288
151,287
152,288
153,289
154,289
155,289
156,289
157,289
158,288
159,288
160,288
161,289
162,291
163,290
164,290
165,289
166,288
167,288
168,290
169,290
170,290
171,290
172,288
173,287
174,289
175,289
176,290
177,290
178,289
179,289
180,290
181,288
182,289
183,290
184,291
185,290
186,290
187,288
188,288
189,289
190,289
191,292
192,290
193,289
194,288
195,288
196,288
197,290
198,291
199,291
200,289
201,289
202,289
203,289
204,290
205,291
206,290
207,291
208,289
209,288
210,289
211,288
212,290
213,290
214,290
215,289
216,289
217,288
218,288
219,291
220,290
221,290
222,290
223,290
224,288
225,289
226,289
227,289
228,291
229,291
230,288
231,288
232,288
233,289
234,290
235,291
236,290
237,290
238,289
239,289
240,289
241,290
242,290
243,290
244,291
245,288
246,289
247,289
248,290
249,290
250,291
251,289
252,288
253,289
254,289
255,289
256,290
257,290
258,290
259,289
260,288
261,286
262,285
263,279
264,275
265,272
266,273
267,274
268,273
269,271
270,265
271,258
272,253
273,246
274,236
275,223
276,208
277,194
278,187
279,183
280,178
281,175
282,173
283,173
284,171
285,169
286,165
287,159
288,152
289,148
290,145
291,144
292,146
293,151
294,155
295,157
296,159
297,160
298,158
299,153
300,147
301,142
302,136
303,133
304,129
305,128
306,128
307,127
308,128
309,128
310,128
311,128
312,128
313,128
314,128
315,128
316,128
317,127
318,128
319,128
320,128
321,128
322,127
323,128
324,128
325,129
326,128
327,128
328,127
329,127
330,128
331,127
332,128
333,128
334,128
335,128
336,128
337,127
338,127
339,127
340,128
341,128
342,127
343,128
344,127
345,128
346,128
347,128
348,126
349,128
350,128
351,128
352,128
353,128
354,129
355,128
356,128
357,128
358,129
359,127
360,128
361,128
362,128
363,129
364,129
365,127
366,128
367,128
368,128
369,127
370,127
371,128
372,128
373,128
374,128
375,128
376,128
377,128
378,128
379,128
380,128
381,128
382,128
383,128
384,128
385,127
386,128
387,128
388,128
389,128
390,128
391,128
392,129
393,128
394,128
395,128
396,128
397,128
398,128
399,128
400,128
401,127
402,127
403,127
404,127
405,128
406,128
407,128
408,128
409,127
410,128
411,128
412,128
413,127
414,128
415,128
416,128
417,128
418,128
419,128
420,129
421,129
422,128
423,128
424,128
425,129
426,128
427,128
428,128
429,127
430,129
431,128
432,129
433,128
434,128
435,128
436,129
437,128
438,129
439,128
440,128
441,128
442,129
443,128
444,128
445,128
446,129
447,128
448,128
449,128
450,128
451,128
452,129
453,128
454,128
455,128
456,128
457,127
458,129
459,128
460,129
461,128
462,128
463,129
464,129
465,129
466,129
467,128
468,128
469,129
470,128
471,128
472,128
473,128
474,129
475,128
476,128
477,129
478,128
479,128
480,127
481,128
482,128
483,128
484,128
485,128
486,129
487,128
488,128
489,129
490,128
491,128
492,129
493,129
494,129
495,128
496,128
497,128
498,128
499,128
500,129
501,128
502,128
503,127
504,129
505,128
506,128
507,127
508,127
509,128
510,128
511,129
512,128
513,128
514,128
515,127
516,128
517,127
518,128
519,127
520,127
521,128
522,128
523,127
524,127
525,128
526,128
527,128
528,128
529,128
530,128
531,128
532,129
533,127
534,128
535,128
536,128
537,128
538,128
539,128
540,128
541,128
542,127
543,128
544,128
545,128
546,127
547,126
548,128
549,128
550,128
551,128
552,128
553,128
554,128
555,128
556,128
557,127
558,128
559,128
560,128
561,128
562,127
563,127
564,127
565,128
566,128
567,128
568,128
569,128
570,128
571,128
572,128
573,128
574,128
575,128
576,128
577,127
578,128
579,129
580,128
581,128
582,128
583,128
584,128
585,128
586,128
587,128
588,127
589,128
590,127
591,128
592,128
593,127
594,129
595,127
596,128
597,128
598,127
599,128
600,128
601,127
602,128
603,127
604,128
605,128
606,128
607,128
608,128
609,127
610,128
611,127
612,127
613,127
614,128
615,129
616,127
617,127
618,128
619,127
620,128
621,128
622,127
623,128
624,127
625,128
626,128
627,129
628,128
629,128
630,128
631,129
632,128
633,128
634,128
635,128
636,129
637,129
638,129
639,127
640,128
641,128
642,129
643,129
644,128
645,128
646,129
647,128
648,128
649,129
650,129
651,128
652,129
653,127
654,127
655,128
656,127
657,128
658,128
659,127
660,127
661,128
662,128
663,128
664,128
665,128
666,128
667,128
668,127
669,126
670,128
671,128
672,128
673,128
674,128
675,128
676,127
677,127
678,127
679,128
680,127
681,129
682,127
683,127
684,128
685,128
686,128
687,127
688,128
689,128
690,129
691,129
692,129
693,128
694,128
695,127
696,129
697,128
698,127
699,128
700,129
701,128
702,129
703,128
704,127
705,128
706,128
707,128
708,128
709,128
710,129
711,128
712,128
713,128
714,129
715,128
716,128
717,128
718,128
719,128
720,128
721,129
722,129
723,129
724,129
725,128
726,128
727,128
728,128
729,128
730,128
731,128
732,129
733,129
734,129
735,128
736,127
737,129
738,128
739,129
740,128
741,129
742,128
743,128
744,129
745,129
746,129
747,128
748,128
749,129
750,130
751,128
752,128
753,128
754,129
755,129
756,128
757,130
758,128
759,129
760,129
761,128
762,129
763,130
764,128
765,129
766,128
767,129
768,130
769,129
770,130
771,128
772,129
773,130
774,129
775,129
776,129
777,129
778,129
779,130
780,130
781,129
782,130
783,130
784,129
785,130
786,129
787,129
788,130
789,130
790,130
791,129
792,130
793,129
794,130
795,130
796,129
797,130
798,130
799,130
800,130
801,130
802,129
803,130
804,129
805,130
806,130
807,131
808,130
809,130
810,131
811,131
812,129
813,129
814,130
815,129
816,130
817,129
818,129
819,129
820,130
821,130
822,129
823,129
824,130
825,130
826,130
827,130
828,131
829,130
830,129
831,130
832,130
833,130
834,130
835,130
836,130
837,130
838,130
839,130
840,130
841,129
842,129
843,129
844,129
845,129
846,130
847,130
848,130
849,130
850,129
851,130
852,130
853,129
854,130
855,131
856,130
857,130
858,130
859,130
860,130
861,130
862,130
863,130
864,129
865,130
866,130
867,129
868,129
869,130
870,130
871,130
872,130
873,130
874,130
875,129
876,130
877,129
878,129
879,130
880,131
881,131
882,130
883,130
884,130
885,129
886,129
887,130
888,130
889,130
890,129
891,129
892,129
893,130
894,129
895,130
896,130
897,130
898,130
899,130
900,130
901,130
902,130
903,130
904,130
905,130
906,129
907,130
908,130
909,130
910,130
911,131
912,130
913,130
914,130
915,130
916,130
917,130
918,129
919,131
920,130
921,130
922,130
923,130
924,130
925,130
926,130
927,130
928,130
929,130
930,130
931,130
932,130
933,131
934,130
935,130
936,130
937,130
938,131
939,131
940,131
941,129
942,130
943,130
944,131
945,130
946,130
947,130
948,130
949,131
950,130
951,130
952,130
953,130
954,131
955,130
956,130
957,130
958,131
959,130
960,130
961,131
962,131
963,131
964,130
965,130
966,130
967,131
968,130
969,130
970,130
971,130
972,131
973,130
974,131
975,130
976,130
977,131
978,131
979,131
980,131
981,130
982,131
983,130
984,131
985,131
986,130
987,132
988,131
989,130
990,131
991,130
992,130
993,130
994,131
995,131
996,130
997,131
998,131
999,131
1000,131
