,0
0,391
1,388
2,390
3,390
4,390
5,391
6,389
7,388
8,390
9,390
10,391
11,390
12,390
13,390
14,389
15,390
16,390
17,389
18,389
19,390
20,389
21,391
22,389
23,389
24,389
25,389
26,391
27,389
28,389
29,390
30,390
31,390
32,390
33,390
34,391
35,390
36,389
37,388
38,389
39,390
40,390
41,391
42,389
43,390
44,390
45,390
46,390
47,391
48,390
49,390
50,391
51,391
52,391
53,390
54,391
55,390
56,390
57,390
58,391
59,390
60,391
61,390
62,390
63,390
64,390
65,391
66,391
67,390
68,390
69,390
70,390
71,391
72,391
73,391
74,390
75,391
76,389
77,390
78,390
79,391
80,391
81,390
82,390
83,390
84,390
85,390
86,390
87,390
88,390
89,391
90,390
91,390
92,390
93,391
94,391
95,391
96,390
97,391
98,391
99,391
100,389
101,390
102,390
103,391
104,389
105,391
106,391
107,391
108,390
109,390
110,389
111,389
112,390
113,390
114,391
115,390
116,391
117,391
118,390
119,390
120,391
121,390
122,390
123,390
124,390
125,389
126,390
127,391
128,389
129,390
130,390
131,390
132,389
133,390
134,390
135,390
136,389
137,390
138,390
139,389
140,389
141,390
142,389
143,390
144,391
145,391
146,389
147,390
148,390
149,390
150,391
151,390
152,390
153,390
154,390
155,390
156,390
157,390
158,390
159,389
160,389
161,391
162,390
163,391
164,390
165,389
166,390
167,390
168,390
169,390
170,389
171,391
172,389
173,390
174,389
175,390
176,390
177,389
178,389
179,391
180,390
181,390
182,391
183,390
184,389
185,389
186,390
187,390
188,390
189,389
190,390
191,390
192,390
193,390
194,390
195,389
196,390
197,389
198,390
199,390
200,389
201,389
202,390
203,390
204,390
205,390
206,390
207,389
208,390
209,390
210,388
211,390
212,389
213,390
214,390
215,390
216,391
217,390
218,390
219,389
220,390
221,389
222,389
223,389
224,390
225,390
226,390
227,389
228,390
229,389
230,390
231,390
232,390
233,389
234,390
235,390
236,389
237,390
238,390
239,390
240,390
241,389
242,390
243,390
244,390
245,390
246,390
247,389
248,390
249,390
250,390
251,390
252,389
253,390
254,389
255,390
256,390
257,391
258,390
259,390
260,388
261,390
262,390
263,391
264,389
265,390
266,389
267,390
268,389
269,391
270,390
271,390
272,390
273,390
274,390
275,389
276,391
277,390
278,390
279,389
280,390
281,390
282,390
283,390
284,390
285,390
286,390
287,389
288,389
289,390
290,390
291,390
292,389
293,389
294,391
295,389
296,390
297,389
298,390
299,389
300,390
301,390
302,390
303,391
304,389
305,390
306,389
307,390
308,390
309,391
310,390
311,390
312,390
313,390
314,390
315,389
316,389
317,389
318,390
319,390
320,390
321,390
322,390
323,390
324,389
325,390
326,390
327,388
328,389
329,389
330,390
331,389
332,390
333,388
334,390
335,389
336,390
337,390
338,389
339,389
340,390
341,390
342,389
343,390
344,390
345,388
346,390
347,389
348,390
349,389
350,390
351,390
352,389
353,389
354,390
355,389
356,390
357,389
358,390
359,390
360,388
361,389
362,390
363,389
364,390
365,390
366,390
367,389
368,389
369,390
370,389
371,389
372,390
373,389
374,388
375,391
376,390
377,390
378,391
379,390
380,390
381,390
382,389
383,389
384,389
385,390
386,390
387,390
388,389
389,390
390,389
391,389
392,389
393,389
394,390
395,389
396,390
397,389
398,389
399,389
400,389
401,388
402,388
403,386
404,386
405,382
406,381
407,379
408,378
409,376
410,369
411,359
412,352
413,350
414,349
415,349
416,349
417,347
418,342
419,333
420,323
421,311
422,298
423,285
424,276
425,271
426,267
427,264
428,262
429,261
430,260
431,256
432,253
433,250
434,248
435,245
436,241
437,236
438,230
439,224
440,218
441,214
442,209
443,205
444,203
445,204
446,205
447,205
448,206
449,203
450,197
451,192
452,183
453,177
454,170
455,168
456,168
457,169
458,175
459,182
460,186
461,189
462,191
463,190
464,188
465,188
466,184
467,182
468,180
469,179
470,180
471,183
472,185
473,189
474,188
475,96
476,95
477,96
478,97
479,100
480,104
481,110
482,115
483,120
484,127
485,131
486,138
487,142
488,145
489,150
490,150
491,151
492,150
493,151
494,148
495,146
496,142
497,139
498,136
499,132
500,129
501,126
502,123
503,121
504,120
505,118
506,117
507,117
508,117
509,118
510,119
511,120
512,123
513,124
514,127
515,129
516,131
517,133
518,134
519,135
520,137
521,136
522,136
523,136
524,136
525,136
526,135
527,135
528,133
529,133
530,131
531,129
532,129
533,128
534,126
535,126
536,126
537,125
538,125
539,125
540,125
541,126
542,126
543,126
544,126
545,128
546,128
547,129
548,130
549,130
550,131
551,131
552,131
553,132
554,132
555,132
556,132
557,132
558,132
559,131
560,131
561,131
562,131
563,130
564,130
565,129
566,129
567,129
568,129
569,128
570,128
571,127
572,128
573,128
574,128
575,127
576,128
577,129
578,129
579,129
580,129
581,130
582,129
583,129
584,130
585,130
586,130
587,130
588,130
589,131
590,130
591,130
592,130
593,130
594,131
595,130
596,130
597,130
598,130
599,129
600,129
601,130
602,129
603,130
604,130
605,129
606,129
607,130
608,130
609,129
610,129
611,129
612,129
613,130
614,129
615,129
616,129
617,129
618,130
619,128
620,130
621,128
622,129
623,129
624,129
625,129
626,130
627,130
628,130
629,129
630,129
631,130
632,130
633,130
634,130
635,129
636,130
637,130
638,130
639,129
640,130
641,129
642,130
643,130
644,129
645,128
646,129
647,128
648,129
649,129
650,129
651,128
652,129
653,129
654,129
655,130
656,130
657,130
658,130
659,130
660,129
661,129
662,129
663,130
664,130
665,130
666,130
667,130
668,129
669,130
670,130
671,130
672,129
673,130
674,130
675,129
676,129
677,129
678,130
679,130
680,131
681,130
682,129
683,129
684,130
685,130
686,130
687,130
688,130
689,130
690,130
691,130
692,129
693,130
694,130
695,130
696,130
