,0
0,477
1,478
2,476
3,476
4,476
5,475
6,477
7,477
8,478
9,478
10,477
11,477
12,477
13,477
14,477
15,476
16,477
17,478
18,478
19,478
20,478
21,478
22,477
23,477
24,476
25,476
26,477
27,476
28,477
29,478
30,478
31,479
32,478
33,478
34,478
35,476
36,476
37,478
38,477
39,478
40,478
41,479
42,478
43,477
44,477
45,476
46,477
47,476
48,477
49,477
50,478
51,479
52,478
53,478
54,478
55,477
56,477
57,477
58,477
59,477
60,478
61,479
62,478
63,478
64,478
65,476
66,476
67,477
68,476
69,477
70,478
71,480
72,479
73,478
74,478
75,478
76,478
77,476
78,477
79,477
80,478
81,478
82,478
83,479
84,478
85,478
86,477
87,477
88,477
89,477
90,477
91,477
92,479
93,479
94,478
95,478
96,477
97,478
98,477
99,477
100,477
101,478
102,479
103,478
104,478
105,478
106,477
107,476
108,476
109,478
110,479
111,480
112,480
113,481
114,479
115,478
116,477
117,476
118,476
119,477
120,478
121,479
122,479
123,477
124,475
125,472
126,471
127,473
128,474
129,476
130,477
131,478
132,478
133,478
134,476
135,474
136,471
137,466
138,463
139,460
140,457
141,454
142,450
143,447
144,444
145,445
146,443
147,445
148,443
149,442
150,437
151,428
152,412
153,394
154,376
155,360
156,344
157,334
158,327
159,324
160,323
161,321
162,317
163,309
164,300
165,287
166,277
167,267
168,259
169,255
170,253
171,252
172,253
173,257
174,258
175,259
176,259
177,254
178,245
179,236
180,227
181,219
182,213
183,209
184,209
185,209
186,210
187,211
188,213
189,211
190,206
191,198
192,191
193,185
194,179
195,171
196,159
197,125
198,122
199,119
200,117
201,116
202,114
203,113
204,115
205,115
206,116
207,118
208,119
209,122
210,125
211,126
212,129
213,131
214,133
215,135
216,136
217,136
218,138
219,137
220,137
221,137
222,135
223,134
224,133
225,132
226,131
227,130
228,128
229,126
230,125
231,126
232,124
233,125
234,124
235,124
236,124
237,124
238,125
239,125
240,125
241,126
242,127
243,128
244,130
245,129
246,130
247,131
248,131
249,132
250,131
251,131
252,131
253,132
254,132
255,133
256,131
257,131
258,131
259,130
260,130
261,129
262,129
263,126
264,128
265,128
266,127
267,127
268,126
269,128
270,127
271,127
272,129
273,129
274,127
275,127
276,128
277,128
278,128
279,129
280,129
281,130
282,129
283,129
284,129
285,130
286,130
287,130
288,130
289,131
290,131
291,129
292,130
293,129
294,130
295,130
296,130
297,130
298,129
299,130
300,128
301,129
302,129
303,129
304,128
305,129
306,129
307,129
308,128
309,128
310,129
311,130
312,128
313,128
314,129
315,129
316,129
317,129
318,129
319,129
320,129
321,129
322,130
323,130
324,130
325,130
326,130
327,130
328,131
329,130
330,130
331,130
332,129
333,130
334,131
335,129
336,130
337,129
338,128
339,130
340,129
341,129
342,130
343,130
344,130
345,129
346,130
347,130
348,130
349,130
350,129
351,130
352,129
353,129
354,130
355,130
356,129
357,130
358,129
359,129
360,130
361,129
362,129
363,130
364,129
365,130
366,130
367,130
368,129
369,130
370,130
371,131
372,128
373,130
374,130
375,129
376,129
377,130
378,130
379,129
380,129
381,130
382,130
383,130
384,129
385,130
386,130
387,130
388,129
389,130
390,129
391,130
392,131
393,130
394,129
395,130
396,129
397,130
398,130
399,129
400,130
401,129
402,130
403,130
404,130
405,130
406,130
407,130
408,129
409,130
410,130
411,130
412,130
413,130
414,130
415,130
416,130
417,130
418,129
419,130
420,130
421,130
422,130
423,131
424,130
425,129
426,130
427,131
428,130
429,130
430,130
431,131
432,130
433,130
434,130
435,130
436,130
437,130
438,130
439,131
440,130
441,131
442,130
443,130
444,130
445,131
446,130
447,130
448,130
449,130
450,130
451,130
452,130
453,130
454,130
455,130
456,130
457,131
458,131
459,131
460,130
461,131
462,130
463,131
464,131
465,130
466,132
467,130
468,130
469,131
470,131
471,131
472,131
473,130
474,131
475,129
476,130
477,131
478,130
479,131
480,131
481,131
482,130
483,130
484,130
485,131
486,131
487,131
488,131
489,131
490,130
491,131
492,131
493,130
494,131
495,130
496,131
497,131
498,131
499,131
500,130
501,131
502,131
503,132
504,131
505,131
506,131
507,131
508,132
509,130
510,131
511,131
512,130
513,131
514,131
515,131
516,132
517,131
518,131
519,131
520,132
521,132
522,131
523,130
524,131
525,132
