,0
0,133
1,133
2,132
3,132
4,132
5,132
6,133
7,132
8,132
9,132
10,133
11,131
12,132
13,132
14,132
15,132
16,133
17,133
18,132
19,132
20,132
21,132
22,133
23,132
24,132
25,132
26,133
27,132
28,131
29,133
30,133
31,131
32,132
33,133
34,132
35,133
36,132
37,133
38,132
39,133
40,133
41,133
42,133
43,132
44,132
45,133
46,133
47,132
48,133
49,133
50,133
51,133
52,133
53,134
54,132
55,133
56,133
57,133
58,133
59,133
60,134
61,133
62,132
63,134
64,133
65,133
66,133
67,133
68,132
69,135
70,133
71,134
72,134
73,133
74,133
75,133
76,132
77,133
78,133
79,133
80,133
81,133
82,133
83,133
84,133
85,133
86,133
87,133
88,133
89,133
90,133
91,133
92,133
93,133
94,134
95,133
96,133
97,133
98,133
99,134
100,132
101,133
102,134
103,134
104,134
105,134
106,133
107,133
108,135
109,133
110,134
111,133
112,133
113,134
114,134
115,133
116,133
117,133
118,133
119,133
120,133
121,134
122,134
123,134
124,134
125,134
126,134
127,133
128,134
129,133
130,134
131,134
132,133
133,133
134,134
135,133
136,133
137,134
138,134
139,134
140,134
141,133
142,134
143,133
144,134
145,134
146,135
147,134
148,134
149,134
150,135
151,133
152,134
153,133
154,135
155,134
156,134
157,134
158,135
159,134
160,134
161,134
162,135
163,134
164,135
165,133
166,135
167,133
168,135
169,134
170,134
171,133
172,134
173,134
174,133
175,135
176,134
177,134
178,134
179,134
180,133
181,135
182,134
183,135
184,133
185,134
186,134
187,134
188,133
189,134
190,134
191,133
192,134
193,133
194,134
195,138
196,148
197,153
198,153
199,150
200,144
201,137
202,134
203,134
204,133
205,134
206,133
207,133
208,133
209,133
210,133
211,133
212,133
213,132
214,132
215,131
216,128
217,127
218,125
219,125
220,125
221,122
222,123
223,122
224,120
225,118
226,119
227,119
228,123
229,126
230,129
231,132
232,133
233,132
234,134
235,132
236,129
237,126
238,121
239,119
240,116
241,117
242,119
243,122
244,127
245,132
246,130
247,133
248,128
249,129
250,129
251,128
252,129
253,129
254,131
255,131
256,132
257,131
258,131
259,130
260,131
261,134
262,135
263,136
264,137
265,142
266,145
267,147
268,145
269,142
270,139
271,135
272,132
273,133
274,133
275,133
276,132
277,137
278,142
279,148
280,154
281,158
282,160
283,164
284,171
285,175
286,177
287,179
288,180
289,182
290,181
291,182
292,183
293,188
294,194
295,201
296,210
297,220
298,230
299,241
300,250
301,260
302,269
303,276
304,281
305,287
306,291
307,295
308,298
309,301
310,306
311,310
312,315
313,322
314,330
315,338
316,347
317,355
318,361
319,367
320,371
321,378
322,384
323,391
324,399
325,405
326,414
327,423
328,429
329,436
330,443
331,446
332,449
333,450
334,450
335,451
336,454
337,460
338,467
339,475
340,483
341,491
342,499
343,506
344,508
345,505
346,498
347,490
348,487
349,488
350,494
351,502
352,509
353,513
354,517
355,518
356,519
357,519
358,518
359,517
360,517
361,517
362,520
363,524
364,527
365,529
366,530
367,531
368,529
369,529
370,528
371,527
372,527
373,530
374,531
375,533
376,534
377,537
378,536
379,535
380,533
381,528
382,521
383,516
384,515
385,514
386,517
387,523
388,527
389,530
390,531
391,530
392,525
393,520
394,516
395,514
396,514
397,517
398,521
399,526
400,530
401,531
402,530
403,528
404,523
405,519
406,515
407,514
408,515
409,520
410,525
411,529
412,531
413,530
414,528
415,523
416,519
417,515
418,515
419,516
420,519
421,525
422,529
423,531
424,532
425,529
426,524
427,519
428,516
429,514
430,515
431,521
432,524
433,528
434,530
435,530
436,528
437,524
438,521
439,516
440,515
441,517
442,519
443,523
444,527
445,531
446,532
447,530
448,527
449,522
450,516
451,515
452,515
453,518
454,521
455,526
456,529
457,530
458,530
459,525
460,521
461,518
462,516
463,516
464,518
465,522
466,525
467,528
468,531
469,530
470,527
471,523
472,519
473,517
474,515
475,517
476,521
477,524
478,528
479,530
480,530
481,528
482,524
483,519
484,516
485,517
486,518
487,522
488,524
489,529
490,530
491,531
492,528
493,524
494,521
495,518
496,516
497,517
498,520
499,524
500,527
501,530
502,530
503,528
504,524
505,521
506,518
507,517
508,517
509,520
510,523
511,527
512,529
513,530
514,527
515,525
516,522
517,519
518,516
519,517
520,518
521,522
522,526
523,527
524,528
525,528
526,526
527,522
528,520
529,517
530,517
531,518
532,523
533,526
534,529
535,530
536,529
537,526
538,523
539,520
540,517
541,517
542,519
543,521
544,524
545,529
546,529
547,528
548,527
549,524
550,521
551,518
552,518
553,518
554,521
555,524
556,528
557,529
558,530
559,528
560,525
561,522
562,518
563,518
564,517
565,521
566,523
567,526
568,528
569,530
570,527
571,524
572,522
573,519
574,518
575,518
576,521
577,523
578,527
579,529
580,529
581,527
582,525
583,522
584,520
585,518
586,517
587,520
588,522
589,525
590,527
591,528
592,528
593,526
594,523
595,519
596,518
597,517
598,519
599,522
600,524
601,526
602,529
603,528
604,525
605,522
606,519
607,518
608,517
609,519
610,521
611,525
612,527
613,527
614,528
615,526
616,523
617,520
618,518
619,517
620,519
621,521
622,524
623,526
624,528
625,527
626,526
627,523
628,520
629,518
630,517
631,518
632,520
633,523
634,525
635,526
636,527
637,527
638,523
639,521
640,519
641,517
642,518
643,520
644,523
645,526
646,527
647,526
648,526
649,523
650,521
651,518
652,517
653,517
654,519
655,522
656,525
657,526
658,527
659,527
660,523
661,522
662,521
663,518
664,518
665,519
666,521
667,524
668,525
669,527
670,528
671,525
672,522
673,519
674,518
675,517
676,518
677,521
678,523
679,526
680,526
681,527
682,525
683,523
684,520
685,519
686,517
687,518
688,519
689,523
690,525
691,527
692,526
693,526
694,523
695,520
696,518
697,517
698,518
699,520
700,522
701,524
702,526
703,527
704,524
705,523
706,521
707,519
708,518
709,518
710,518
711,522
712,525
713,526
714,527
715,527
716,523
717,520
718,518
719,517
720,517
721,519
722,520
723,524
724,527
725,526
726,525
727,523
728,522
729,518
730,518
731,518
732,519
733,520
734,524
735,525
736,525
737,525
738,523
739,520
740,519
741,516
742,517
743,518
744,520
745,522
746,524
747,527
748,526
749,524
750,522
751,520
752,517
753,518
754,519
755,520
756,522
757,524
758,525
759,525
760,524
761,521
762,519
763,517
764,517
765,517
766,520
767,522
768,524
769,525
770,525
771,524
772,522
773,520
774,518
775,518
776,518
777,519
778,520
779,522
780,525
781,525
782,524
783,522
784,520
785,518
786,517
787,516
788,518
789,521
790,524
791,524
792,524
793,525
794,523
795,520
796,518
797,517
798,517
799,519
800,521
801,523
802,525
803,526
804,524
805,523
806,520
807,517
808,517
809,518
810,518
811,519
812,522
813,523
814,525
815,525
816,523
817,522
818,519
819,518
820,516
821,518
822,520
823,522
824,524
825,526
826,524
827,522
828,521
829,518
830,517
831,516
832,518
833,519
834,522
835,524
836,524
837,524
838,523
839,522
840,519
841,518
842,517
843,517
844,520
845,521
846,523
847,524
848,524
849,522
850,522
851,520
852,516
853,517
854,518
855,519
856,521
857,523
858,523
859,524
860,524
861,522
862,519
863,518
864,517
865,517
866,518
867,520
868,522
869,525
870,525
871,523
872,521
873,520
874,517
875,516
876,516
877,517
878,521
879,521
880,523
881,524
882,524
883,523
884,519
885,518
886,517
887,517
888,518
889,519
890,522
891,523
892,524
893,523
894,522
895,521
896,518
897,517
898,516
899,518
900,519
901,521
902,523
903,524
904,523
905,522
906,520
907,519
908,517
909,517
910,518
911,519
912,522
913,522
914,524
915,524
916,523
917,521
918,518
919,517
920,516
921,516
922,518
923,520
924,524
925,524
926,523
927,523
928,522
929,520
930,518
931,517
932,516
933,517
934,520
935,521
936,524
937,523
938,521
939,520
940,518
941,517
942,516
943,516
944,517
945,519
946,522
947,523
948,523
949,523
950,522
951,519
952,518
953,516
954,517
955,518
956,520
957,523
958,524
959,523
960,523
961,521
962,520
963,518
964,516
965,517
966,516
967,519
968,521
969,523
970,523
971,523
972,522
973,519
974,518
975,517
976,516
977,518
978,519
979,523
980,523
981,524
982,523
983,521
984,519
985,518
986,516
987,517
988,517
989,518
990,521
991,523
992,524
993,524
994,522
995,521
996,518
997,516
998,516
999,517
1000,519
