,0
0,751
1,752
2,752
3,751
4,751
5,751
6,752
7,750
8,750
9,750
10,750
11,750
12,751
13,749
14,749
15,751
16,748
17,751
18,751
19,752
20,752
21,752
22,751
23,751
24,749
25,750
26,749
27,751
28,750
29,749
30,750
31,751
32,751
33,752
34,752
35,750
36,750
37,751
38,750
39,750
40,750
41,751
42,750
43,750
44,751
45,750
46,750
47,750
48,750
49,750
50,751
51,751
52,751
53,751
54,752
55,751
56,749
57,749
58,748
59,750
60,750
61,750
62,752
63,751
64,751
65,750
66,749
67,750
68,750
69,750
70,750
71,750
72,750
73,749
74,750
75,750
76,750
77,750
78,750
79,749
80,750
81,751
82,750
83,750
84,751
85,750
86,751
87,751
88,750
89,749
90,750
91,750
92,750
93,750
94,750
95,751
96,751
97,750
98,750
99,749
100,750
101,750
102,750
103,751
104,750
105,750
106,749
107,748
108,750
109,750
110,750
111,751
112,750
113,751
114,750
115,750
116,751
117,750
118,750
119,749
120,750
121,750
122,749
123,748
124,749
125,749
126,750
127,751
128,750
129,750
130,750
131,749
132,747
133,747
134,744
135,741
136,742
137,742
138,744
139,744
140,746
141,746
142,747
143,745
144,745
145,742
146,738
147,734
148,731
149,726
150,719
151,711
152,702
153,691
154,678
155,664
156,649
157,634
158,618
159,603
160,588
161,576
162,564
163,553
164,540
165,527
166,513
167,499
168,484
169,469
170,454
171,439
172,425
173,415
174,403
175,396
176,387
177,377
178,366
179,355
180,342
181,329
182,314
183,301
184,285
185,273
186,260
187,246
188,234
189,225
190,216
191,211
192,207
193,205
194,202
195,198
196,193
197,188
198,183
199,179
200,176
201,170
202,167
203,163
204,158
205,154
206,150
207,147
208,144
209,142
210,141
211,141
212,140
213,138
214,139
215,139
216,138
217,138
218,138
219,138
220,134
221,134
222,139
223,140
224,139
225,139
226,138
227,139
228,138
229,138
230,138
231,139
232,137
233,137
234,138
235,137
236,137
237,137
238,137
239,137
240,137
241,138
242,138
243,137
244,137
245,138
246,137
247,138
248,138
249,137
250,138
251,138
252,137
253,138
254,139
255,138
256,138
257,139
258,137
259,138
260,139
261,139
262,138
263,137
264,138
265,138
266,138
267,138
268,138
269,138
270,138
271,137
272,137
273,138
274,137
275,138
276,137
277,138
278,137
279,138
280,137
281,139
282,138
283,137
284,137
285,137
286,137
287,137
288,138
289,138
290,137
291,138
292,138
293,138
294,138
295,136
296,139
297,138
298,138
299,137
300,138
301,138
302,137
303,138
304,137
305,138
306,137
307,137
308,138
309,138
310,139
311,139
312,137
313,137
314,139
315,138
316,138
317,139
318,138
319,138
320,138
321,139
322,139
323,138
324,138
325,138
326,139
327,138
328,138
329,138
330,138
331,138
332,139
333,139
334,138
335,140
336,137
337,137
338,139
339,137
340,139
341,139
342,140
343,139
344,139
345,139
346,139
347,138
348,140
349,139
350,138
351,139
352,140
353,139
354,139
355,139
356,139
357,139
358,140
359,139
360,139
361,139
362,140
363,139
364,138
365,139
366,139
367,140
368,139
369,139
370,140
371,140
372,140
373,139
374,139
375,139
376,139
377,140
378,140
379,140
380,139
381,139
382,139
383,140
384,140
385,140
386,140
387,139
388,140
389,139
390,140
391,139
392,140
393,139
394,139
395,139
396,139
397,140
398,139
399,139
400,139
401,140
402,140
403,139
404,140
405,140
406,140
407,140
408,140
409,139
410,139
411,140
412,139
413,139
414,139
415,140
416,139
417,139
418,140
419,140
420,141
421,140
422,139
423,139
424,139
425,140
426,140
427,139
428,139
429,138
430,139
431,139
432,140
433,139
434,140
435,140
436,139
437,139
438,140
439,139
440,139
441,140
442,139
443,139
444,140
445,140
446,139
447,139
448,140
449,140
450,139
451,139
452,139
453,139
454,140
455,140
456,140
457,140
458,139
459,139
460,140
461,139
462,141
463,140
464,140
465,139
466,139
467,139
468,139
469,140
470,140
471,140
472,140
473,140
474,139
475,139
476,140
477,140
478,140
479,140
480,139
481,140
482,139
483,139
484,139
485,139
486,139
487,140
488,140
489,139
490,140
491,139
492,139
493,139
494,139
495,139
496,139
497,139
498,139
499,139
500,139
501,139
502,139
503,139
504,139
505,139
506,140
507,140
508,139
509,140
510,139
511,140
512,140
513,139
514,138
515,139
516,139
517,138
518,139
519,139
520,139
521,139
522,138
523,139
524,139
525,139
526,140
527,139
528,139
529,140
530,140
531,138
532,139
533,140
534,139
535,140
536,139
537,138
538,139
539,139
540,139
541,139
542,139
543,139
544,139
545,139
546,140
547,139
548,139
549,139
550,139
551,139
552,139
553,139
554,139
555,140
556,139
557,139
558,141
559,139
560,139
561,138
562,139
563,140
564,140
565,139
566,139
567,140
568,139
569,139
570,139
571,139
572,139
573,140
574,139
575,139
576,139
577,140
578,140
579,139
580,139
581,140
582,140
583,140
584,139
585,139
586,140
587,140
588,140
589,140
590,140
591,140
592,140
593,140
594,140
595,140
596,140
597,139
598,140
599,139
600,140
601,139
602,140
603,140
604,140
605,140
606,140
607,140
608,139
609,139
610,139
611,139
612,140
613,139
614,139
615,141
616,141
617,140
618,140
619,140
620,140
621,139
622,139
623,140
624,140
625,139
626,140
627,140
628,140
629,140
630,139
631,140
632,140
633,139
634,139
635,140
636,139
637,139
638,140
639,140
640,140
641,139
642,140
643,140
644,140
645,140
646,140
647,140
648,140
649,139
650,139
651,139
652,140
653,140
654,141
655,139
656,140
657,141
658,139
659,140
660,140
661,140
662,140
663,140
664,140
665,140
666,139
667,140
668,139
669,141
670,140
671,140
672,140
673,140
674,141
675,142
676,143
677,144
678,144
679,145
680,144
681,145
682,145
683,143
684,145
685,144
686,144
687,144
688,145
689,144
690,144
691,144
692,143
693,142
694,143
695,143
696,143
697,145
698,145
699,145
700,144
701,144
702,144
703,144
704,145
705,144
706,145
707,144
708,143
709,144
710,144
711,143
712,144
713,144
714,144
715,144
716,144
717,143
718,143
719,143
720,143
721,142
722,143
723,143
724,142
725,142
726,143
727,143
728,144
729,142
730,143
731,143
732,143
733,143
734,143
735,143
736,143
737,143
738,143
739,142
740,143
741,142
742,142
743,143
744,142
745,142
746,142
747,143
748,141
749,142
750,143
751,142
752,142
753,142
754,142
755,143
756,142
757,142
758,141
759,143
760,142
761,142
762,142
763,142
764,143
765,142
766,143
767,142
768,142
769,142
770,142
771,142
772,141
773,142
774,142
775,143
776,141
777,141
778,142
779,141
780,141
781,141
782,141
783,142
784,141
785,141
786,142
787,141
788,142
789,141
790,141
791,142
792,142
793,142
794,142
795,141
796,142
797,143
798,142
799,141
800,142
801,140
802,141
803,141
804,142
805,142
806,140
807,141
808,140
809,141
810,142
811,141
812,142
813,141
814,141
815,141
816,141
817,141
818,140
819,141
820,140
821,141
822,141
823,141
824,141
825,141
826,140
827,140
828,141
829,140
830,142
831,141
832,141
833,140
834,141
835,140
836,140
837,141
838,141
839,140
840,140
841,141
842,141
843,140
844,140
845,141
846,142
847,140
848,141
849,141
850,141
851,141
852,140
853,141
854,141
855,140
856,140
857,140
858,139
859,141
860,140
861,140
862,141
863,141
864,141
865,140
866,140
867,142
868,141
869,141
870,142
871,140
872,141
873,141
874,141
875,141
876,142
877,141
878,141
879,141
880,142
881,141
882,142
883,141
884,141
885,141
886,142
887,142
888,141
889,140
890,142
891,142
892,140
893,141
894,141
895,141
896,142
897,141
898,142
899,142
900,142
901,141
902,142
903,142
904,142
905,142
906,142
907,142
908,141
909,141
910,142
911,142
912,141
913,142
914,141
915,141
916,142
917,142
918,142
919,142
920,141
921,142
922,142
923,141
924,142
925,141
926,141
927,142
928,141
929,142
930,141
931,142
932,141
933,142
934,142
935,141
936,141
937,142
938,142
939,142
940,141
941,141
942,142
943,141
944,142
945,142
946,143
947,141
948,142
949,141
950,141
951,142
952,142
953,142
954,141
955,142
956,141
957,142
958,141
959,141
960,141
961,141
962,142
963,142
964,141
965,142
966,141
967,141
968,141
969,141
970,141
971,142
972,141
973,141
974,141
975,140
976,141
977,142
978,142
979,141
980,140
981,141
982,140
983,142
984,140
985,140
986,141
987,140
988,142
989,141
990,141
991,141
992,140
993,141
994,141
995,140
996,140
997,140
998,141
999,141
1000,141
