,0
0,3
1,2
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,4
14,3
15,3
16,3
17,3
18,4
19,4
20,3
21,4
22,4
23,3
24,4
25,4
26,3
27,3
28,4
29,4
30,3
31,2
32,3
33,4
34,4
35,3
36,4
37,4
38,4
39,4
40,4
41,4
42,4
43,-1996
44,4
45,2
46,2
47,5
48,6
49,-1997
50,3
51,3
52,1
53,3
54,6
55,2
56,8
57,16
58,17
59,16
60,9
61,10
62,15
63,12
64,16
65,31
66,31
67,30
68,31
69,31
70,32
71,31
72,29
73,33
74,32
75,33
76,30
77,39
78,40
79,33
80,33
81,32
82,31
83,30
84,31
85,31
86,31
87,30
88,30
89,31
90,32
91,33
92,32
93,30
94,29
95,28
96,29
97,31
98,32
99,32
100,32
101,32
102,30
103,29
104,29
105,31
106,32
107,30
108,31
109,32
110,33
111,33
112,32
113,32
114,30
115,31
116,31
117,31
118,32
119,32
120,31
121,31
122,32
123,32
124,33
125,32
126,32
127,32
128,32
129,32
130,32
131,32
132,34
133,32
134,-1967
135,34
136,33
137,34
138,34
139,34
140,34
141,35
142,34
143,34
144,33
145,35
146,-1966
147,34
148,33
149,34
150,37
151,34
152,-1965
153,-1965
154,36
155,36
156,37
157,37
158,35
159,-1964
160,36
161,36
162,37
163,37
164,37
165,37
166,37
167,-1963
168,38
169,37
170,38
171,37
172,-1963
173,38
174,39
175,37
176,38
177,38
178,37
179,39
180,37
181,37
182,38
183,39
184,39
185,39
186,39
187,39
188,39
189,39
190,39
191,38
192,39
193,38
194,39
195,41
196,40
197,39
198,39
199,40
200,40
201,39
202,40
203,40
204,41
205,40
206,41
207,-1960
208,41
209,40
210,40
211,39
212,41
213,40
214,41
215,41
216,40
217,40
218,40
219,39
220,41
221,-1959
222,41
223,42
224,41
225,41
226,41
227,40
228,41
229,41
230,41
231,40
232,42
233,41
234,42
235,42
236,41
237,41
238,42
239,42
240,43
241,42
242,42
243,43
244,41
245,42
246,41
247,42
248,42
249,42
250,42
