,0
0,23
1,22
2,23
3,23
4,23
5,23
6,22
7,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,24
16,22
17,23
18,23
19,23
20,25
21,23
22,23
23,23
24,23
25,25
26,24
27,24
28,24
29,24
30,23
31,24
32,23
33,23
34,23
35,24
36,25
37,24
38,24
39,24
40,24
41,21
42,25
43,26
44,23
45,25
46,34
47,25
48,29
49,31
50,37
51,31
52,28
53,24
54,29
55,31
56,40
57,23
58,40
59,31
60,31
61,56
62,46
63,43
64,44
65,45
66,57
67,64
68,79
69,99
70,116
71,137
72,162
73,197
74,214
75,234
76,248
77,260
78,266
79,270
80,278
81,278
82,290
83,299
84,287
85,288
86,287
87,286
88,283
89,287
90,285
91,282
92,286
93,286
94,282
95,287
96,285
97,281
98,288
99,285
100,282
101,286
102,285
103,282
104,286
105,284
106,283
107,286
108,286
109,284
110,284
111,287
112,281
113,286
114,290
115,281
116,284
117,290
118,280
119,286
120,289
121,280
122,286
123,290
124,280
125,287
126,287
127,281
128,287
129,287
130,284
131,282
132,289
133,283
134,284
135,288
136,286
137,282
138,283
139,284
140,284
141,282
142,284
143,288
144,287
145,281
146,284
147,288
148,288
149,283
150,284
151,289
152,289
153,289
154,289
155,287
156,287
157,289
158,-1717
159,-1713
160,289
161,284
162,287
163,289
164,284
165,289
166,288
167,284
168,288
169,288
170,285
171,287
172,290
173,286
174,287
175,290
176,286
177,286
178,290
179,288
180,284
181,290
182,287
183,285
184,287
185,290
186,287
187,287
188,290
189,286
190,288
191,289
192,286
193,289
194,289
195,287
196,289
197,288
198,286
199,289
200,288
201,287
202,289
203,289
204,287
205,290
206,289
207,287
208,289
209,289
210,287
211,289
212,289
213,288
214,287
215,289
216,-1712
217,287
218,290
219,288
220,288
221,289
222,288
223,287
224,288
225,290
226,286
227,289
228,289
229,286
230,287
231,291
232,287
233,286
234,290
235,287
236,287
237,289
238,286
239,286
240,289
241,290
242,287
243,288
244,288
245,285
246,289
247,289
248,286
249,290
250,288
