,0
0,24
1,24
2,24
3,23
4,23
5,23
6,23
7,24
8,24
9,24
10,24
11,23
12,24
13,24
14,23
15,23
16,23
17,23
18,24
19,23
20,23
21,23
22,23
23,24
24,24
25,24
26,24
27,24
28,23
29,23
30,23
31,23
32,24
33,24
34,23
35,23
36,23
37,24
38,24
39,23
40,23
41,23
42,23
43,24
44,24
45,24
46,24
47,22
48,24
49,32
50,19
51,29
52,23
53,30
54,-1976
55,41
56,24
57,27
58,29
59,31
60,29
61,31
62,35
63,38
64,40
65,50
66,55
67,93
68,108
69,133
70,152
71,204
72,224
73,250
74,249
75,252
76,260
77,267
78,268
79,274
80,275
81,286
82,283
83,-1718
84,-1714
85,286
86,282
87,286
88,284
89,282
90,285
91,285
92,282
93,284
94,285
95,281
96,284
97,285
98,281
99,286
100,285
101,282
102,285
103,286
104,282
105,282
106,-1713
107,284
108,283
109,285
110,284
111,282
112,285
113,284
114,282
115,286
116,283
117,-1718
118,287
119,283
120,282
121,284
122,283
123,283
124,284
125,284
126,283
127,284
128,284
129,284
130,285
131,285
132,283
133,283
134,284
135,284
136,283
137,284
138,283
139,283
140,284
141,282
142,-1718
143,284
144,281
145,281
146,282
147,282
148,280
149,282
150,282
151,280
152,280
153,281
154,280
155,279
156,281
157,281
158,278
159,279
160,281
161,280
162,278
163,281
164,278
165,278
166,278
167,280
168,279
169,277
170,278
171,279
172,278
173,279
174,278
175,276
176,278
177,-1722
178,277
179,278
180,277
181,276
182,278
183,278
184,277
185,278
186,-2543
187,277
188,277
189,280
190,279
191,-2543
192,278
193,-2542
194,278
195,279
196,280
197,-2542
198,279
199,279
200,279
201,279
202,278
203,280
204,280
205,279
206,277
207,-1720
208,280
209,281
210,279
211,280
212,279
213,281
214,278
215,279
216,281
217,279
218,280
219,281
220,281
221,280
222,279
223,279
224,281
225,279
226,279
227,279
228,280
229,283
230,281
231,277
232,277
233,284
234,282
235,274
236,275
237,287
238,287
239,275
240,272
241,282
242,287
243,280
244,272
245,284
246,284
247,285
248,274
249,275
250,290
