,0
0,0
1,0
2,0
3,0
4,0
5,-1
6,-1
7,1
8,0
9,0
10,1
11,-2
12,0
13,-1
14,0
15,-1
16,-1
17,-1
18,-1
19,0
20,-1
21,0
22,0
23,-1
24,0
25,0
26,-1
27,0
28,0
29,-1
30,-1
31,0
32,-1
33,0
34,-2
35,0
36,-1
37,-1
38,0
39,-1
40,0
41,-1
42,-1
43,0
44,0
45,-1
46,-1
47,-1
48,-1
49,0
50,-2
51,0
52,-1
53,1
54,-1
55,0
56,-1
57,-1
58,-1
59,-2
60,0
61,-2
62,-1
63,-1
64,0
65,-1
66,0
67,-1
68,0
69,-1
70,0
71,0
72,-1
73,-1
74,-1
75,-1
76,-1
77,-1
78,0
79,-1
80,0
81,-2
82,-1
83,-1
84,-2
85,-1
86,0
87,0
88,0
89,-1
90,0
91,-1
92,0
93,-1
94,0
95,0
96,-1
97,-1
98,-2
99,-1
100,0
101,-1
102,-2
103,-3
104,0
105,-2
106,-2
107,-1
108,-1
109,0
110,-2
111,-1
112,-1
113,-2
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,-1
122,0
123,-1
124,-1
125,0
126,-2
127,-1
128,-1
129,-1
130,0
131,-1
132,-1
133,-1
134,0
135,-1
136,-1
137,0
138,-1
139,-1
140,-1
141,-2
142,-1
143,-1
144,0
145,0
146,-1
147,-2
148,-1
149,-1
150,0
151,-1
152,0
153,-1
154,0
155,-1
156,0
157,0
158,0
159,0
160,-1
161,0
162,-1
163,0
164,1
165,-1
166,-1
167,0
168,-1
169,0
170,0
171,-1
172,0
173,-1
174,-1
175,-1
176,-1
177,-2
178,-1
179,-1
180,0
181,0
182,0
183,-1
184,0
185,0
186,0
187,0
188,0
189,0
190,-1
191,-1
192,-1
193,1
194,0
195,0
196,0
197,-1
198,-1
199,0
200,0
201,0
202,1
203,-1
204,0
205,0
206,0
207,0
208,0
209,-1
210,0
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,-1
220,-1
221,0
222,0
223,-1
224,0
225,0
226,0
227,-1
228,-1
229,-1
230,0
231,-1
232,-1
233,0
234,0
235,-1
236,0
237,-1
238,-1
239,1
240,-1
241,0
242,-1
243,0
244,-1
245,0
246,-1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,-1
259,0
260,0
261,1
262,0
263,0
264,-1
265,0
266,0
267,0
268,-1
269,0
270,1
271,-1
272,0
273,0
274,0
275,0
276,0
277,0
278,-1
279,0
280,0
281,0
282,-1
283,0
284,0
285,0
286,0
287,0
288,-1
289,0
290,1
291,0
292,0
293,0
294,0
295,-1
296,0
297,-1
298,-1
299,-1
300,-1
301,-1
302,0
303,0
304,-1
305,0
306,0
307,0
308,0
309,-1
310,0
311,-1
312,-1
313,0
314,0
315,0
316,0
317,0
318,-1
319,0
320,0
321,0
322,0
323,0
324,0
325,-1
326,0
327,-1
328,-1
329,-1
330,0
331,-1
332,-1
333,0
334,-1
335,-1
336,0
337,0
338,-1
339,-1
340,-1
341,-1
342,-1
343,0
344,1
345,-1
346,0
347,0
348,0
349,0
350,-1
351,-1
352,0
353,0
354,0
355,0
356,0
357,0
358,-1
359,0
360,1
361,0
362,0
363,0
364,-1
365,0
366,0
367,0
368,-1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,-1
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,-1
395,1
396,0
397,0
398,0
399,0
400,-1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,-1
409,0
410,0
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,2
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,-1
478,0
479,0
480,0
481,0
482,-1
483,0
484,0
485,0
486,1
487,0
488,1
