,0
0,31
1,31
2,31
3,30
4,31
5,31
6,31
7,30
8,30
9,31
10,31
11,30
12,31
13,30
14,31
15,31
16,31
17,32
18,30
19,31
20,30
21,31
22,32
23,30
24,31
25,31
26,31
27,31
28,30
29,31
30,32
31,31
32,31
33,31
34,32
35,32
36,32
37,30
38,32
39,32
40,32
41,32
42,30
43,32
44,32
45,31
46,31
47,31
48,32
49,31
50,30
51,31
52,31
53,32
54,31
55,31
56,31
57,30
58,31
59,31
60,31
61,30
62,32
63,31
64,31
65,32
66,31
67,31
68,31
69,31
70,31
71,31
72,31
73,32
74,32
75,33
76,31
77,31
78,31
79,31
80,31
81,31
82,30
83,30
84,31
85,31
86,30
87,32
88,31
89,32
90,31
91,30
92,31
93,31
94,32
95,32
96,32
97,31
98,31
99,32
100,32
101,33
102,32
103,32
104,32
105,32
106,32
107,33
108,32
109,32
110,32
111,33
112,32
113,31
114,32
115,32
116,31
117,31
118,31
119,32
120,31
121,32
122,31
123,32
124,32
125,31
126,32
127,31
128,33
129,30
130,33
131,32
132,32
133,31
134,33
135,32
136,32
137,32
138,32
139,31
140,32
141,31
142,32
143,31
144,32
145,32
146,32
147,32
148,32
149,32
150,31
151,31
152,32
153,32
154,32
155,32
156,33
157,31
158,32
159,32
160,33
161,32
162,32
163,33
164,33
165,31
166,32
167,32
168,33
169,32
170,32
171,32
172,32
173,32
174,32
175,32
176,32
177,32
178,32
179,33
180,32
181,32
182,32
183,31
184,32
185,32
186,33
187,32
188,33
189,32
190,33
191,32
192,32
193,32
194,32
195,33
196,33
197,33
198,33
199,34
200,32
201,33
202,33
203,31
204,33
205,33
206,32
207,32
208,32
209,31
210,32
211,32
212,33
213,32
214,33
215,33
216,32
217,32
218,32
219,33
220,32
221,33
222,33
223,32
224,33
225,32
226,33
227,33
228,32
229,32
230,33
231,32
232,33
233,33
234,33
235,33
236,33
237,32
238,33
239,33
240,33
241,32
242,32
243,33
244,31
245,33
246,33
247,32
248,33
249,32
250,32
251,33
252,34
253,33
254,32
255,33
256,32
257,32
258,32
259,33
260,32
261,32
262,32
263,32
264,33
265,33
266,32
267,32
268,32
269,33
270,33
271,33
272,33
273,33
274,32
275,32
276,32
277,32
278,32
279,33
280,38
281,42
282,45
283,43
284,40
285,35
286,33
287,32
288,32
289,32
290,32
291,33
292,32
293,32
294,32
295,31
296,32
297,32
298,31
299,31
300,33
301,32
302,32
303,32
304,32
305,33
306,31
307,29
308,28
309,28
310,29
311,30
312,31
313,31
314,30
315,30
316,30
317,29
318,27
319,25
320,26
321,29
322,30
323,31
324,32
325,30
326,28
327,28
328,28
329,31
330,32
331,33
332,32
333,31
334,32
335,33
336,32
337,32
338,32
339,32
340,26
341,19
342,14
343,12
344,15
345,19
346,23
347,28
348,32
349,31
350,30
351,26
352,23
353,20
354,19
355,21
356,23
357,27
358,30
359,33
360,34
361,30
362,32
363,35
364,36
365,37
366,39
367,41
368,43
369,45
370,46
371,49
372,52
373,55
374,57
375,58
376,60
377,58
378,60
379,60
380,60
381,60
382,60
383,63
384,64
385,66
386,67
387,70
388,70
389,70
390,72
391,74
392,78
393,80
394,85
395,86
396,87
397,89
398,90
399,90
400,91
401,92
402,93
403,93
404,94
405,97
406,99
407,99
408,100
409,101
410,100
411,101
412,102
413,103
414,104
415,106
416,105
417,105
418,103
419,102
420,101
421,100
422,99
423,102
424,104
425,100
426,100
427,101
428,102
429,102
430,98
431,100
432,100
433,100
434,99
435,99
436,99
437,99
438,100
439,99
440,99
441,99
442,99
443,99
444,100
445,99
446,99
447,99
448,99
449,99
450,99
451,99
452,99
453,100
454,99
455,98
456,99
457,99
458,99
459,99
460,99
461,99
462,98
463,99
464,100
465,98
466,99
467,98
468,99
469,99
470,99
471,99
472,98
473,98
474,98
475,98
476,99
477,98
478,99
479,98
480,98
481,99
482,99
483,98
484,98
485,97
486,98
487,99
488,99
489,98
490,96
491,98
492,99
493,99
494,98
495,98
496,97
497,98
498,98
499,99
500,97
501,98
502,99
503,98
504,98
505,96
506,98
507,98
508,98
509,97
510,97
511,97
512,98
513,98
514,97
515,97
516,97
517,98
518,99
519,98
520,97
521,97
522,99
523,98
524,97
525,96
526,97
527,99
528,99
529,97
530,97
531,98
532,98
533,98
534,97
535,97
536,98
537,99
538,98
539,97
540,97
541,97
542,98
543,99
544,97
545,96
546,97
547,98
548,98
549,99
550,96
551,96
552,99
553,98
554,98
555,98
556,98
557,98
558,97
559,97
560,97
561,96
562,98
563,97
564,96
565,97
566,98
567,99
568,98
569,96
570,96
571,97
572,97
573,97
574,98
575,98
576,97
577,97
578,97
579,97
580,97
581,97
582,97
583,97
584,97
585,97
586,96
587,97
588,97
589,97
590,96
591,97
592,98
593,98
594,96
595,95
596,97
597,97
598,97
599,96
600,96
601,96
602,96
603,96
604,96
605,96
606,95
607,97
608,97
609,97
610,96
611,97
612,96
613,96
614,97
615,96
616,96
617,97
618,97
619,96
620,96
621,96
622,97
623,97
624,96
625,96
626,96
627,96
628,96
629,96
630,97
631,96
632,97
633,96
634,96
635,97
636,96
637,96
638,96
639,97
640,96
641,96
642,96
643,96
644,95
645,97
646,96
647,97
648,96
649,96
650,97
651,97
652,95
653,96
654,95
655,96
656,96
657,96
658,97
659,96
660,97
661,97
662,95
663,96
664,96
665,97
666,97
667,96
668,95
669,96
670,96
671,96
672,96
673,97
674,96
675,96
676,96
677,95
678,97
679,97
680,95
681,96
682,96
683,95
684,96
685,96
686,96
687,96
688,96
689,96
690,97
691,95
692,96
693,97
694,96
695,96
696,96
697,97
698,95
699,97
700,96
701,95
702,95
703,96
704,97
705,96
706,95
707,97
708,96
709,96
710,96
711,96
712,96
713,96
714,97
715,96
716,96
717,96
718,96
719,96
720,96
721,96
722,95
723,96
724,96
725,96
726,96
727,96
728,96
729,96
730,96
731,95
732,96
733,97
734,95
735,96
736,96
737,96
738,96
739,95
740,94
741,96
742,96
743,96
744,95
745,95
746,95
747,96
748,97
749,97
750,95
751,94
752,96
753,98
754,96
755,94
756,94
757,96
758,98
759,97
760,95
761,94
762,96
763,96
764,97
765,95
766,95
767,96
768,97
769,97
770,96
771,96
772,95
773,97
774,97
775,96
776,95
777,95
778,97
779,96
780,95
781,94
782,96
783,96
784,96
785,96
786,96
787,96
788,97
789,96
790,94
791,95
792,96
793,97
794,96
795,96
796,95
797,96
798,96
799,97
800,95
801,94
802,96
803,97
804,97
805,95
806,95
807,96
808,97
809,96
810,95
811,94
812,97
813,97
814,98
815,96
816,95
817,96
818,97
819,98
820,95
821,93
822,96
823,99
824,98
825,95
826,93
827,94
828,98
829,99
830,95
831,94
832,95
833,98
834,97
835,96
836,94
837,96
838,98
839,98
840,94
841,94
842,96
843,99
844,98
845,95
846,94
847,97
848,99
849,99
850,95
851,93
852,96
853,100
854,98
855,96
856,93
857,96
858,99
859,99
860,96
861,93
862,95
863,99
864,98
865,96
866,94
867,97
868,99
869,99
870,95
871,94
872,96
873,98
874,98
875,96
876,94
877,96
878,98
879,98
880,95
881,95
882,97
883,99
884,98
885,96
886,95
887,97
888,98
889,98
890,94
891,95
892,98
893,99
894,97
895,95
896,94
897,97
898,98
899,98
900,95
901,94
902,97
903,99
904,98
905,94
906,94
907,97
908,99
909,98
910,95
911,94
912,97
913,99
914,99
915,95
916,95
917,98
918,98
919,98
920,95
921,95
922,97
923,99
924,97
925,95
926,95
927,99
928,99
929,98
930,95
931,95
932,98
933,99
934,99
935,96
936,96
937,96
938,99
939,97
940,96
941,95
942,98
943,99
944,98
945,96
946,96
947,98
948,99
949,99
950,96
951,96
952,97
953,99
954,99
955,96
956,96
957,98
958,99
959,99
960,96
961,96
962,98
963,99
964,98
965,95
966,96
967,98
968,98
969,98
970,95
971,96
972,99
973,99
974,97
975,96
976,96
977,99
978,99
979,98
980,96
981,96
982,98
983,99
984,98
985,96
986,95
987,98
988,98
989,98
990,96
991,96
992,98
993,99
994,97
995,97
996,96
997,98
998,99
999,98
1000,95
1001,96
1002,98
1003,100
1004,98
1005,95
1006,96
1007,98
1008,100
1009,98
1010,96
1011,97
1012,98
1013,99
1014,98
1015,96
1016,96
1017,98
1018,99
1019,98
1020,96
1021,97
1022,99
1023,99
1024,98
1025,97
1026,97
1027,98
1028,100
1029,99
1030,96
1031,96
1032,98
1033,100
1034,98
1035,96
1036,97
1037,99
1038,99
1039,98
1040,96
1041,97
1042,98
1043,100
1044,98
1045,96
1046,97
1047,100
1048,100
1049,99
1050,96
1051,98
1052,99
1053,100
1054,98
1055,96
1056,97
1057,99
1058,100
1059,98
1060,97
1061,97
1062,97
1063,99
1064,98
1065,97
1066,98
1067,99
1068,99
1069,99
1070,97
1071,97
1072,99
1073,99
1074,99
1075,96
1076,97
1077,99
1078,99
1079,98
1080,97
1081,97
1082,99
1083,100
1084,98
1085,98
1086,97
1087,98
1088,100
1089,99
1090,97
1091,97
1092,99
1093,99
1094,98
1095,97
1096,97
1097,99
1098,99
1099,98
1100,97
1101,98
1102,98
1103,99
1104,99
1105,96
1106,97
1107,99
1108,99
1109,98
1110,97
1111,97
1112,99
1113,99
1114,99
1115,97
