weight_class,weight_value,strain_value,time_start,time_end,read_offset,read_load,linreg_1,linreg_2,linreg_3
0,0.0,0.0,16:10:19,16:12:19,20,16,-50.34848044936305,-45.55150114178531,-51.00310265343018
0,0.0,0.0,16:32:59,16:33:59,-1,17,-47.44787987149036,-42.65338261405503,-48.063458043238185
0,0.0,0.0,16:31:16,16:32:16,25,46,36.669536886817724,41.392054690123075,37.18623565232974
0,0.0,0.0,16:13:36,16:14:36,33,47,39.57013746469042,44.29017321785335,40.12588026252175
0,0.0,0.0,16:30:10,16:31:10,34,50,48.2719391983085,52.98452880104418,48.94481409309773
0,0.0,0.0,16:14:37,16:15:37,51,51,51.172539776181196,55.88264732877445,51.88445870328971
1,0.13842000000000002,185.3061326365375,16:28:44,16:29:44,37,95,178.79896520257967,183.39986254890675,181.2288215517376
1,0.13842000000000002,185.3061326365375,16:19:36,16:20:36,31,96,181.69956578045236,186.29798107663703,184.1684661619296
1,0.13842000000000002,185.3061326365375,16:27:35,16:28:35,31,101,196.20256866981583,200.7885737152884,198.86668921288958
2,0.25007,334.77463219490636,16:22:06,16:23:06,32,143,318.02779294046894,322.50955187996016,322.3317628409535
2,0.25007,334.77463219490636,16:23:21,16:24:21,23,143,318.02779294046894,322.50955187996016,322.3317628409535
2,0.25007,334.77463219490636,16:25:38,16:26:38,21,146,326.72959467408697,331.203907463151,331.1506966715295
2,0.25007,334.77463219490636,16:24:28,16:25:28,22,154,349.9343992970685,354.38885568499325,354.66785355306547
b,0.5469299999999999,732.1881456646545,16:38:26,16:39:26,23,265,671.9010634409374,676.0800122630542,680.9684052843772
b,0.5469299999999999,732.1881456646545,16:41:29,16:42:29,11,269,683.5034657524282,687.6724863739753,692.7269837251451
b,0.5469299999999999,732.1881456646545,16:36:22,16:37:22,24,270,686.4040663303009,690.5706049017056,695.6666283353372
a,0.5493499999999999,735.4278569851311,16:43:17,16:44:17,9,280,715.4100721090279,719.5517901790084,725.063074437257
a,0.5493499999999999,735.4278569851311,16:34:07,16:35:07,20,282,721.2112732647732,725.348027234469,730.9423636576412
a,0.5493499999999999,735.4278569851311,16:35:13,16:36:13,20,286,732.813675576264,736.9405013453901,742.7009420984091
3,1.04882,1404.0801765052254,16:45:49,16:46:49,30,512,1388.3494061754925,1391.9152886124332,1407.0606240018005
3,1.04882,1404.0801765052254,16:48:16,16:49:16,38,515,1397.0512079091106,1400.609644195624,1415.8795578323766
3,1.04882,1404.0801765052254,16:47:03,16:48:03,24,525,1426.0572136878375,1429.5908294729268,1445.2760039342966
